Variable:,tas
,Aruba,"Administrative unit not available"
1901,28.22,28.22
1902,27.79,27.79
1903,27.89,27.89
1904,27.62,27.62
1905,27.68,27.68
1906,27.58,27.58
1907,27.56,27.56
1908,27.46,27.46
1909,27.52,27.52
1910,27.52,27.52
1911,27.59,27.59
1912,27.65,27.65
1913,27.52,27.52
1914,27.56,27.56
1915,28.35,28.35
1916,28.10,28.10
1917,27.83,27.83
1918,27.82,27.82
1919,27.63,27.63
1920,27.50,27.50
1921,27.65,27.65
1922,27.52,27.52
1923,27.94,27.94
1924,28.09,28.09
1925,27.81,27.81
1926,28.35,28.35
1927,27.84,27.84
1928,28.00,28.00
1929,27.82,27.82
1930,27.98,27.98
1931,28.31,28.31
1932,28.51,28.51
1933,28.37,28.37
1934,28.49,28.49
1935,28.18,28.18
1936,28.41,28.41
1937,28.34,28.34
1938,28.16,28.16
1939,28.35,28.35
1940,28.93,28.93
1941,29.08,29.08
1942,28.79,28.79
1943,28.40,28.40
1944,28.45,28.45
1945,28.03,28.03
1946,28.18,28.18
1947,28.66,28.66
1948,28.31,28.31
1949,27.98,27.98
1950,27.56,27.56
1951,28.49,28.49
1952,28.71,28.71
1953,28.61,28.61
1954,28.22,28.22
1955,27.93,27.93
1956,28.03,28.03
1957,28.39,28.39
1958,29.27,29.27
1959,28.60,28.60
1960,28.63,28.63
1961,28.46,28.46
1962,28.54,28.54
1963,28.59,28.59
1964,28.37,28.37
1965,28.36,28.36
1966,28.56,28.56
1967,28.17,28.17
1968,28.36,28.36
1969,28.96,28.96
1970,28.53,28.53
1971,28.01,28.01
1972,28.50,28.50
1973,28.61,28.61
1974,27.94,27.94
1975,27.94,27.94
1976,27.86,27.86
1977,28.63,28.63
1978,28.61,28.61
1979,28.73,28.73
1980,28.85,28.85
1981,28.61,28.61
1982,28.49,28.49
1983,29.16,29.16
1984,28.51,28.51
1985,28.11,28.11
1986,28.24,28.24
1987,29.12,29.12
1988,28.40,28.40
1989,28.44,28.44
1990,28.59,28.59
1991,28.71,28.71
1992,28.94,28.94
1993,28.93,28.93
1994,28.90,28.90
1995,29.03,29.03
1996,28.95,28.95
1997,29.22,29.22
1998,29.60,29.60
1999,28.54,28.54
2000,28.54,28.54
2001,29.37,29.37
2002,29.36,29.36
2003,29.53,29.53
2004,28.98,28.98
2005,29.18,29.18
2006,29.07,29.07
2007,29.13,29.13
2008,28.89,28.89
2009,29.44,29.44
2010,29.67,29.67
2011,28.93,28.93
2012,29.14,29.14
2013,29.26,29.26
2014,29.29,29.29
2015,29.67,29.67
2016,29.79,29.79
2017,29.31,29.31
2018,29.00,29.00
2019,29.39,29.39
2020,29.37,29.37
2021,29.03,29.03
