Variable:,tas
,Afghanistan,Badakhshan,Badghis,Baghlan,Balkh,Bamyan,Farah,Faryab,Ghazni,Ghor,Hilmand,Hirat,Jawzjan,Kabul,Kandahar,Kapisa,Khost,Kunar,Kunduz,Laghman,Logar,Nangarhar,Nimroz,Nuristan,Paktika,Paktya,Samangan,Sar-e-Pul,Takhar,Wardak,Zabul,Daykundi,Panjsher,Parwan,Uruzgan
1901,12.75,1.27,11.48,9.23,15.60,3.73,18.14,13.08,7.77,7.17,19.29,14.64,17.06,10.62,17.98,8.99,14.27,12.72,16.62,14.25,8.87,17.01,22.06,3.46,12.44,9.43,9.72,8.61,10.11,5.21,12.80,8.24,1.56,5.52,11.95
1902,12.94,1.56,11.68,9.51,15.81,3.95,18.29,13.31,7.93,7.34,19.44,14.80,17.29,10.86,18.14,9.26,14.49,13.03,16.87,14.54,9.07,17.31,22.21,3.78,12.61,9.62,9.96,8.84,10.41,5.40,12.93,8.38,1.86,5.74,12.07
1903,11.76,0.28,10.31,8.17,14.34,2.55,17.10,11.89,6.80,5.98,18.51,13.50,15.83,9.75,17.24,8.12,13.50,11.93,15.45,13.43,8.03,16.21,21.35,2.62,11.70,8.63,8.50,7.38,9.11,4.17,11.95,7.10,0.67,4.51,10.94
1904,12.19,1.03,10.71,8.79,14.93,3.11,17.33,12.36,7.23,6.42,18.79,13.76,16.36,10.30,17.55,8.70,14.03,12.50,16.11,14.00,8.55,16.81,21.55,3.25,12.15,9.15,9.12,7.93,9.73,4.68,12.35,7.57,1.29,5.08,11.32
1905,11.99,0.54,10.66,8.41,14.66,2.83,17.34,12.25,6.95,6.31,18.69,13.78,16.17,9.85,17.40,8.26,13.67,12.05,15.73,13.58,8.14,16.39,21.53,2.80,11.76,8.76,8.82,7.73,9.29,4.34,12.06,7.35,0.84,4.67,11.12
1906,12.49,1.31,11.16,9.05,15.30,3.46,17.79,12.84,7.47,6.87,19.01,14.24,16.81,10.42,17.68,8.82,14.10,12.62,16.37,14.09,8.67,16.89,21.86,3.41,12.19,9.20,9.47,8.38,9.96,4.94,12.51,7.92,1.45,5.27,11.61
1907,11.87,0.56,10.34,8.35,14.51,2.75,17.11,11.94,6.93,6.08,18.61,13.45,15.95,9.78,17.34,8.16,13.57,11.98,15.64,13.48,8.08,16.29,21.41,2.77,11.74,8.68,8.71,7.52,9.25,4.32,12.08,7.28,0.75,4.62,11.07
1908,12.20,1.07,10.83,8.89,14.98,3.15,17.45,12.45,7.21,6.52,18.70,13.92,16.39,10.28,17.33,8.69,13.92,12.46,16.23,13.97,8.51,16.73,21.53,3.28,11.93,9.04,9.21,7.96,9.85,4.72,12.20,7.59,1.29,5.11,11.28
1909,12.71,1.54,11.61,9.46,15.83,3.79,18.11,13.30,7.57,7.25,19.02,14.70,17.28,10.60,17.52,8.98,14.03,12.68,16.91,14.20,8.79,16.94,21.89,3.54,12.02,9.23,9.96,8.81,10.36,5.19,12.42,8.11,1.64,5.54,11.68
1910,12.15,1.03,10.76,8.90,15.04,3.12,17.45,12.39,7.16,6.43,18.62,13.92,16.41,10.18,17.24,8.59,13.77,12.36,16.29,13.86,8.41,16.62,21.48,3.15,11.84,8.92,9.29,7.96,9.80,4.71,12.13,7.46,1.19,5.06,11.14
1911,12.00,0.91,10.43,8.63,14.76,2.97,17.08,12.09,7.17,6.23,18.63,13.44,16.13,10.06,17.41,8.43,13.87,12.27,15.96,13.76,8.37,16.60,21.34,2.98,11.98,8.99,8.98,7.72,9.51,4.57,12.25,7.45,1.00,4.88,11.18
1912,12.51,1.46,11.14,9.15,15.37,3.46,17.77,12.79,7.43,6.84,19.03,14.21,16.78,10.52,17.69,8.95,14.08,12.75,16.53,14.23,8.70,16.98,21.85,3.48,12.18,9.22,9.57,8.34,10.08,4.91,12.48,7.89,1.53,5.33,11.58
1913,12.42,1.14,11.19,9.06,15.38,3.45,17.75,12.84,7.26,6.86,18.93,14.25,16.84,10.29,17.52,8.73,13.92,12.48,16.49,14.00,8.50,16.77,21.76,3.30,11.92,9.03,9.55,8.41,9.98,4.81,12.26,7.85,1.35,5.19,11.48
1914,13.05,1.92,11.94,9.82,16.20,4.26,18.44,13.63,7.88,7.58,19.37,14.98,17.67,10.91,17.87,9.34,14.32,13.05,17.27,14.56,9.06,17.23,22.22,3.89,12.32,9.49,10.36,9.22,10.70,5.49,12.75,8.58,1.98,5.88,12.15
1915,13.62,2.42,12.63,10.36,16.91,4.82,19.04,14.32,8.46,8.27,19.79,15.66,18.35,11.49,18.33,9.92,14.98,13.64,17.90,15.17,9.68,17.85,22.61,4.47,12.92,10.15,11.04,9.90,11.29,6.08,13.25,9.16,2.58,6.45,12.68
1916,12.20,1.29,10.72,8.97,15.08,3.27,17.26,12.46,7.27,6.50,18.63,13.67,16.48,10.37,17.35,8.81,14.10,12.62,16.26,14.12,8.63,16.87,21.42,3.42,12.12,9.20,9.28,8.09,9.88,4.81,12.26,7.63,1.42,5.19,11.32
1917,12.78,1.82,11.77,9.51,16.12,3.95,18.06,13.52,7.52,7.39,19.02,14.70,17.56,10.60,17.46,9.06,13.99,12.82,17.15,14.30,8.73,16.98,21.94,3.68,11.94,9.17,10.17,9.07,10.56,5.16,12.36,8.23,1.74,5.56,11.77
1918,12.09,0.87,10.67,8.70,14.85,3.16,17.32,12.29,7.13,6.48,18.68,13.70,16.23,10.03,17.38,8.42,13.69,12.21,15.96,13.69,8.27,16.47,21.48,2.99,11.78,8.82,9.14,7.96,9.53,4.60,12.20,7.58,1.04,4.91,11.27
1919,12.09,0.72,10.71,8.59,14.78,3.07,17.53,12.26,7.03,6.50,18.75,13.90,16.18,9.85,17.40,8.24,13.50,11.93,15.88,13.48,8.11,16.26,21.64,2.76,11.67,8.66,9.06,7.89,9.42,4.47,12.16,7.53,0.88,4.78,11.25
1920,11.37,-0.03,9.56,7.85,13.83,2.34,16.47,11.25,6.63,5.56,18.34,12.59,15.20,9.33,17.13,7.68,13.11,11.41,14.98,12.92,7.59,15.76,21.08,2.20,11.37,8.20,8.17,6.97,8.63,3.94,11.88,6.91,0.29,4.22,10.81
1921,12.20,0.93,10.56,8.74,14.79,3.16,17.38,12.21,7.38,6.43,18.93,13.66,16.20,10.22,17.73,8.59,14.05,12.42,15.93,13.89,8.48,16.73,21.68,3.16,12.24,9.10,9.09,7.88,9.55,4.74,12.52,7.66,1.18,5.04,11.47
1922,12.78,1.72,11.59,9.44,15.79,3.80,18.12,13.26,7.60,7.20,19.16,14.68,17.28,10.65,17.76,9.09,14.22,12.88,16.85,14.34,8.85,17.10,22.04,3.70,12.24,9.36,9.93,8.79,10.36,5.18,12.60,8.14,1.74,5.56,11.73
1923,11.84,0.74,10.30,8.45,14.56,2.83,16.99,12.00,6.93,6.08,18.46,13.36,16.00,9.81,17.20,8.22,13.49,12.00,15.73,13.50,8.03,16.26,21.30,2.80,11.62,8.57,8.81,7.62,9.33,4.36,12.03,7.26,0.85,4.69,10.98
1924,12.03,0.96,10.52,8.63,14.82,3.01,17.21,12.23,7.06,6.28,18.64,13.59,16.26,9.98,17.35,8.39,13.67,12.18,15.95,13.68,8.22,16.43,21.46,3.00,11.78,8.76,9.04,7.85,9.57,4.51,12.15,7.42,1.04,4.86,11.15
1925,12.63,1.39,11.48,9.15,15.62,3.59,18.05,13.13,7.43,7.10,19.13,14.58,17.15,10.36,17.70,8.77,13.96,12.51,16.63,14.02,8.56,16.76,22.02,3.33,12.04,9.08,9.71,8.63,10.11,4.94,12.46,8.02,1.42,5.28,11.65
1926,12.41,1.25,11.19,8.96,15.44,3.36,17.74,12.89,7.22,6.83,18.94,14.22,16.93,10.19,17.52,8.60,13.77,12.38,16.46,13.86,8.40,16.61,21.82,3.23,11.87,8.91,9.50,8.40,9.95,4.73,12.27,7.78,1.24,5.08,11.42
1927,12.41,1.21,11.15,8.97,15.32,3.41,17.79,12.83,7.27,6.85,18.95,14.22,16.82,10.27,17.51,8.70,13.78,12.44,16.36,13.96,8.46,16.62,21.84,3.25,11.84,8.93,9.42,8.38,9.91,4.79,12.27,7.83,1.33,5.16,11.50
1928,11.87,0.70,10.11,8.51,14.41,2.84,16.91,11.81,7.11,5.97,18.62,13.17,15.84,9.99,17.45,8.42,13.78,12.21,15.64,13.71,8.27,16.49,21.39,3.00,11.98,8.84,8.73,7.47,9.36,4.47,12.27,7.36,1.02,4.79,11.18
1929,11.64,0.40,9.98,8.17,14.19,2.50,16.68,11.68,6.88,5.81,18.36,12.95,15.64,9.82,17.19,8.22,13.64,12.07,15.37,13.57,8.14,16.40,21.14,2.78,11.84,8.78,8.40,7.26,9.10,4.21,12.03,7.02,0.75,4.53,10.88
1930,11.60,0.49,10.00,8.29,14.38,2.48,16.62,11.70,6.73,5.77,18.24,13.00,15.77,9.80,17.03,8.19,13.54,11.95,15.61,13.46,8.04,16.30,21.03,2.74,11.67,8.68,8.55,7.33,9.21,4.16,11.86,6.86,0.80,4.61,10.63
1931,11.88,0.82,10.12,8.71,14.57,2.98,16.77,11.86,7.32,6.03,18.41,13.06,15.85,10.36,17.32,8.69,14.17,12.50,15.95,14.04,8.66,16.90,20.98,3.20,12.13,9.29,9.01,7.57,9.51,4.83,12.26,7.35,1.19,5.11,11.09
1932,12.10,1.09,10.31,8.98,14.91,3.28,16.95,12.05,7.59,6.27,18.52,13.27,16.10,10.62,17.50,8.95,14.38,12.77,16.22,14.27,8.90,17.11,21.06,3.42,12.38,9.50,9.35,7.92,9.80,5.07,12.55,7.61,1.43,5.37,11.30
1933,12.20,1.13,10.74,8.96,15.05,3.21,17.31,12.41,7.36,6.48,18.68,13.73,16.39,10.39,17.41,8.76,14.04,12.56,16.31,14.07,8.63,16.82,21.38,3.30,12.00,9.17,9.37,8.03,9.82,4.88,12.32,7.61,1.31,5.21,11.30
1934,11.74,0.44,9.93,8.38,14.16,2.64,16.78,11.59,7.09,5.92,18.55,12.95,15.41,10.08,17.36,8.40,13.95,12.29,15.50,13.77,8.40,16.66,21.19,2.97,12.04,9.05,8.63,7.21,9.09,4.49,12.20,7.19,0.87,4.80,10.99
1935,11.81,0.42,10.63,8.37,14.50,2.74,17.08,12.25,6.78,6.21,18.38,13.61,16.10,9.85,16.99,8.22,13.57,12.03,15.61,13.52,8.11,16.33,21.16,2.75,11.51,8.70,8.76,7.67,9.15,4.34,11.82,7.21,0.76,4.66,10.93
1936,12.45,1.20,11.11,9.22,15.44,3.56,17.65,12.78,7.51,6.78,18.90,14.11,16.79,10.55,17.59,8.98,14.20,12.75,16.54,14.22,8.77,16.98,21.68,3.51,12.16,9.32,9.67,8.40,10.02,5.08,12.46,7.85,1.60,5.47,11.54
1937,11.82,0.51,10.39,8.51,14.60,2.89,17.05,11.98,6.91,6.13,18.38,13.45,15.92,9.90,17.10,8.30,13.68,12.09,15.75,13.57,8.14,16.36,21.13,2.88,11.70,8.72,8.93,7.58,9.26,4.42,11.94,7.24,0.92,4.77,10.98
1938,12.55,1.18,11.34,9.15,15.42,3.57,17.86,12.95,7.54,6.96,19.10,14.37,16.91,10.39,17.74,8.77,14.06,12.47,16.48,14.00,8.66,16.77,21.91,3.29,12.22,9.21,9.62,8.49,9.97,5.03,12.58,7.96,1.43,5.33,11.65
1939,12.63,1.37,11.45,9.23,15.60,3.61,17.95,13.08,7.55,7.06,19.13,14.51,17.09,10.48,17.74,8.88,14.09,12.59,16.64,14.11,8.72,16.83,21.93,3.42,12.20,9.25,9.72,8.63,10.13,5.07,12.56,8.03,1.52,5.38,11.68
1940,13.17,1.91,12.13,9.71,16.20,4.12,18.55,13.78,7.98,7.64,19.65,15.15,17.77,10.93,18.14,9.34,14.50,13.05,17.15,14.57,9.17,17.29,22.53,3.90,12.52,9.70,10.23,9.25,10.66,5.53,12.93,8.52,1.99,5.84,12.12
1941,13.79,2.56,12.56,10.44,16.71,4.83,19.01,14.23,8.78,8.19,20.28,15.56,18.25,11.70,18.95,10.11,15.30,13.82,17.83,15.35,9.93,18.06,23.04,4.65,13.43,10.45,10.94,9.80,11.32,6.29,13.78,9.27,2.75,6.60,12.90
1942,12.85,1.61,11.54,9.50,15.79,3.93,18.08,13.18,7.88,7.20,19.35,14.58,17.19,10.83,18.00,9.22,14.51,12.98,16.85,14.48,9.09,17.25,22.16,3.80,12.50,9.65,9.97,8.79,10.36,5.41,12.83,8.28,1.86,5.69,11.92
1943,12.19,1.11,10.46,9.02,14.98,3.39,17.18,12.11,7.53,6.36,18.74,13.50,16.12,10.45,17.60,8.81,14.32,12.60,16.30,14.10,8.74,16.98,21.39,3.38,12.27,9.36,9.40,7.84,9.83,5.00,12.49,7.67,1.42,5.24,11.43
1944,12.83,1.68,11.85,9.47,15.91,3.82,18.18,13.49,7.60,7.36,19.20,14.78,17.51,10.65,17.72,9.08,14.15,12.81,16.92,14.33,8.83,16.97,22.09,3.65,12.17,9.34,9.97,9.04,10.47,5.21,12.56,8.22,1.74,5.58,11.76
