Variable:,tas
,Andorra,"Andorra La Vella",Canillo,Encamp,Escaldes-engordany,"La Massana",Ordino,"Sant Julia De Loria"
1901,6.19,6.16,5.93,5.94,6.53,5.56,5.84,7.32
1902,6.50,6.47,6.26,6.27,6.86,5.84,6.16,7.64
1903,6.50,6.47,6.23,6.24,6.83,5.88,6.14,7.63
1904,7.03,7.00,6.84,6.85,7.38,6.34,6.72,8.14
1905,6.28,6.25,6.03,6.04,6.62,5.64,5.93,7.39
1906,6.60,6.56,6.40,6.41,6.93,5.94,6.29,7.68
1907,6.47,6.43,6.26,6.27,6.81,5.80,6.15,7.56
1908,6.59,6.56,6.36,6.37,6.94,5.93,6.25,7.72
1909,6.08,6.05,5.84,5.85,6.44,5.41,5.73,7.23
1910,6.41,6.38,6.17,6.18,6.76,5.76,6.07,7.53
1911,7.05,7.02,6.79,6.80,7.39,6.43,6.70,8.16
1912,6.42,6.39,6.14,6.16,6.76,5.81,6.06,7.54
1913,6.93,6.91,6.64,6.66,7.27,6.34,6.57,8.07
1914,6.49,6.46,6.24,6.25,6.84,5.86,6.15,7.61
1915,6.49,6.47,6.22,6.24,6.84,5.86,6.13,7.64
1916,6.70,6.67,6.43,6.45,7.05,6.07,6.34,7.84
1917,5.99,5.96,5.73,5.75,6.35,5.32,5.63,7.14
1918,6.42,6.39,6.16,6.17,6.75,5.80,6.07,7.53
1919,6.18,6.15,5.94,5.95,6.52,5.53,5.84,7.30
1920,6.83,6.80,6.55,6.57,7.19,6.19,6.46,7.98
1921,7.20,7.16,7.00,7.01,7.53,6.55,6.89,8.27
1922,6.40,6.37,6.14,6.15,6.75,5.76,6.05,7.54
1923,7.02,6.98,6.87,6.88,7.30,6.41,6.76,8.01
1924,6.89,6.86,6.63,6.64,7.24,6.25,6.54,8.02
1925,6.24,6.21,5.99,6.00,6.59,5.59,5.89,7.36
1926,7.43,7.40,7.13,7.15,7.79,6.79,7.05,8.60
1927,7.17,7.15,6.89,6.91,7.54,6.53,6.80,8.33
1928,7.35,7.33,7.07,7.09,7.71,6.71,6.98,8.52
1929,6.84,6.81,6.54,6.56,7.19,6.22,6.46,8.00
1930,7.39,7.37,7.12,7.14,7.76,6.74,7.03,8.54
1931,6.66,6.64,6.38,6.40,7.03,6.02,6.29,7.82
1932,6.64,6.62,6.36,6.38,7.01,6.00,6.27,7.80
1933,6.86,6.83,6.55,6.57,7.20,6.25,6.48,8.03
1934,7.10,7.08,6.83,6.85,7.47,6.46,6.74,8.24
1935,6.67,6.64,6.43,6.44,7.01,6.02,6.33,7.79
1936,6.70,6.67,6.43,6.44,7.03,6.09,6.35,7.81
1937,7.37,7.34,7.10,7.12,7.72,6.74,7.01,8.52
1938,6.70,6.66,6.47,6.48,7.03,6.05,6.37,7.80
1939,6.64,6.61,6.39,6.40,6.97,6.01,6.30,7.73
1940,6.38,6.35,6.00,6.02,6.75,5.77,5.94,7.61
1941,6.10,6.07,5.79,5.81,6.47,5.46,5.71,7.29
1942,6.95,6.93,6.64,6.66,7.32,6.32,6.56,8.14
1943,7.62,7.60,7.35,7.37,8.00,6.97,7.26,8.77
1944,6.79,6.76,6.51,6.53,7.15,6.15,6.42,7.93
1945,7.65,7.62,7.33,7.35,8.01,7.03,7.26,8.83
1946,7.02,6.99,6.77,6.78,7.38,6.37,6.67,8.15
