Variable:,tas
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1901,7.69,8.27,10.13,9.46,6.67,7.19,7.44,5.62,7.82,9.38,6.89,8.48
1902,6.79,7.29,9.21,8.47,5.82,6.27,6.49,4.62,6.99,8.51,6.04,7.53
1903,6.91,7.49,9.33,8.67,5.88,6.40,6.68,4.83,7.03,8.63,6.09,7.68
1904,6.45,7.04,8.88,8.22,5.40,5.99,6.23,4.37,6.55,8.17,5.62,7.25
1905,6.90,7.54,9.34,8.73,5.82,6.42,6.71,4.88,6.96,8.62,6.02,7.72
1906,7.15,7.78,9.59,8.97,6.09,6.68,6.96,5.13,7.19,8.91,6.25,7.96
1907,6.26,6.83,8.68,8.02,5.23,5.76,6.01,4.17,6.39,7.95,5.45,7.04
1908,6.08,6.70,8.57,7.89,4.98,5.63,5.89,4.06,6.12,7.77,5.22,6.91
1909,7.22,7.82,9.65,9.01,6.17,6.72,7.01,5.18,7.32,8.94,6.40,8.01
1910,7.21,7.80,9.65,8.99,6.17,6.72,6.98,5.12,7.34,8.92,6.40,8.00
1911,5.39,6.00,7.84,7.19,4.34,4.90,5.18,3.33,5.46,7.11,4.55,6.19
1912,7.09,7.64,9.52,8.82,6.07,6.63,6.85,4.97,7.20,8.81,6.26,7.89
1913,6.67,7.21,9.11,8.40,5.65,6.15,6.39,4.55,6.86,8.38,5.91,7.43
1914,7.26,7.81,9.72,8.99,6.23,6.78,7.02,5.14,7.37,8.97,6.45,8.04
1915,7.61,8.19,10.04,9.37,6.57,7.11,7.37,5.53,7.71,9.33,6.77,8.39
1916,7.34,7.97,9.78,9.15,6.29,6.88,7.15,5.30,7.38,9.09,6.46,8.17
1917,7.70,8.23,10.13,9.41,6.70,7.22,7.43,5.56,7.85,9.44,6.91,8.48
1918,7.15,7.79,9.55,8.98,6.09,6.70,6.97,5.15,7.17,8.90,6.26,7.99
