Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1901,13.06,13.85,15.39,11.83,12.52,10.03,8.72,13.59,10.36,10.57,13.15,14.82
1902,12.31,13.17,14.66,11.11,11.68,9.29,7.90,12.92,9.50,9.76,12.36,14.17
1903,12.33,13.15,14.66,11.14,11.77,9.35,7.93,12.83,9.55,9.84,12.39,14.12
1904,11.84,12.68,14.17,10.62,11.25,8.82,7.45,12.42,9.08,9.30,11.90,13.67
1905,12.22,13.03,14.54,11.00,11.68,9.21,7.85,12.76,9.49,9.70,12.27,14.01
1906,12.49,13.32,14.82,11.29,11.96,9.49,8.10,12.99,9.73,10.02,12.55,14.28
1907,11.65,12.46,13.99,10.45,11.08,8.60,7.29,12.23,8.93,9.11,11.74,13.44
1908,11.39,12.19,13.75,10.18,10.80,8.33,7.01,11.99,8.73,8.85,11.48,13.19
1909,12.58,13.40,14.91,11.36,11.99,9.56,8.23,13.13,9.85,10.04,12.67,14.39
1910,12.60,13.44,14.95,11.41,12.00,9.60,8.25,13.16,9.86,10.07,12.70,14.42
1911,10.69,11.51,13.01,9.47,10.10,7.65,6.36,11.28,8.01,8.13,10.81,12.49
1912,12.46,13.28,14.80,11.23,11.91,9.42,8.10,13.06,9.73,9.94,12.54,14.26
1913,12.18,13.05,14.51,10.98,11.55,9.19,7.75,12.73,9.37,9.67,12.22,14.04
1914,12.68,13.54,15.02,11.46,12.09,9.65,8.28,13.27,9.92,10.16,12.74,14.54
1915,13.04,13.92,15.38,11.81,12.44,10.02,8.61,13.64,10.24,10.51,13.07,14.92
1916,12.54,13.27,14.86,11.31,12.10,9.49,8.27,13.07,9.92,10.04,12.67,14.23
1917,13.12,13.92,15.47,11.92,12.57,10.09,8.76,13.69,10.36,10.63,13.21,14.89
1918,12.39,13.16,14.72,11.15,11.93,9.36,8.06,12.92,9.71,9.94,12.49,14.13
1919,12.80,13.64,15.15,11.61,12.20,9.80,8.42,13.35,10.03,10.27,12.88,14.60
1920,11.27,12.11,13.61,10.07,10.69,8.28,6.87,11.85,8.47,8.76,11.32,13.10
1921,11.80,12.63,14.14,10.60,11.21,8.80,7.41,12.35,9.02,9.30,11.86,13.63
1922,12.96,13.77,15.29,11.74,12.41,9.95,8.60,13.53,10.20,10.45,13.03,14.77
1923,12.91,13.71,15.24,11.71,12.42,9.92,8.55,13.39,10.16,10.46,12.99,14.66
1924,12.56,13.33,14.88,11.31,12.08,9.50,8.27,13.12,9.89,10.04,12.66,14.31
1925,12.91,13.74,15.25,11.73,12.33,9.95,8.51,13.44,10.11,10.44,12.97,14.71
1926,12.38,13.18,14.70,11.15,11.85,9.35,8.00,12.93,9.69,9.87,12.45,14.17
1927,12.45,13.27,14.79,11.25,11.91,9.45,8.06,12.97,9.72,9.96,12.51,14.24
1928,11.22,12.02,13.55,9.97,10.67,8.16,6.88,11.80,8.54,8.68,11.30,13.02
1929,11.67,12.42,14.00,10.40,11.21,8.54,7.43,12.19,9.07,9.15,11.86,13.38
1930,12.64,13.24,14.95,11.40,12.35,9.49,8.60,13.02,10.24,10.25,12.94,14.09
1931,11.63,12.38,13.94,10.39,11.16,8.59,7.39,12.11,9.03,9.17,11.78,13.34
1932,11.80,12.62,14.12,10.58,11.23,8.76,7.45,12.37,9.09,9.28,11.87,13.62
1933,11.61,12.50,13.95,10.42,10.94,8.63,7.18,12.18,8.78,9.07,11.66,13.51
1934,11.89,12.72,14.20,10.69,11.39,8.98,7.54,12.26,9.14,9.53,11.99,13.62
1935,12.80,13.56,15.09,11.56,12.39,9.83,8.57,13.16,10.13,10.43,12.96,14.46
1936,12.58,13.39,14.91,11.35,12.04,9.60,8.23,13.06,9.77,10.14,12.71,14.36
1937,12.91,13.62,15.23,11.67,12.49,9.87,8.66,13.30,10.29,10.56,13.11,14.54
1938,13.05,13.93,15.39,11.87,12.47,10.14,8.64,13.51,10.12,10.60,13.14,14.87
1939,12.77,13.58,15.11,11.54,12.16,9.73,8.40,13.37,10.03,10.25,12.85,14.61
1940,12.95,13.73,15.29,11.70,12.33,9.89,8.59,13.59,10.30,10.42,13.04,14.78
1941,12.59,13.44,14.95,11.38,11.91,9.53,8.15,13.32,9.81,9.99,12.61,14.52
1942,12.17,12.92,14.55,10.96,11.58,9.01,7.83,12.86,9.45,9.64,12.30,13.95
1943,12.25,12.99,14.59,11.02,11.74,9.18,7.95,12.81,9.58,9.80,12.39,13.96
1944,12.89,13.76,15.24,11.69,12.23,9.93,8.46,13.48,10.04,10.35,12.93,14.77
1945,11.65,12.44,14.01,10.43,11.07,8.56,7.29,12.28,8.93,9.12,11.75,13.45
1946,12.13,13.01,14.45,10.94,11.53,9.19,7.71,12.60,9.33,9.65,12.18,13.96
1947,12.94,13.69,15.27,11.72,12.46,9.89,8.65,13.43,10.32,10.49,13.08,14.64
1948,12.42,13.30,14.77,11.26,11.77,9.48,7.94,12.98,9.50,9.94,12.43,14.28
1949,11.73,12.54,14.07,10.52,11.17,8.73,7.40,12.22,9.04,9.25,11.84,13.49
1950,11.98,12.79,14.33,10.76,11.45,8.98,7.62,12.49,9.16,9.51,12.09,13.76
1951,12.53,13.34,14.89,11.34,11.98,9.50,8.17,13.05,9.73,10.04,12.65,14.29
1952,12.88,13.64,15.25,11.67,12.41,9.81,8.61,13.32,10.19,10.42,13.08,14.55
1953,12.27,13.17,14.62,11.10,11.65,9.29,7.89,12.78,9.41,9.72,12.35,14.12
1954,12.55,13.28,14.89,11.27,12.09,9.50,8.30,12.97,9.98,10.12,12.74,14.22
1955,13.49,14.28,15.84,12.29,13.00,10.50,9.19,13.89,10.87,11.04,13.63,15.17
