Variable:,tas
,Burundi,Bubanza,"Bujumbura Mairie","Bujumbura Rural",Bururi,Cankuzo,Cibitoke,Gitega,Karuzi,Kayanza,Kirundo,Makamba,Muramvya,Muyinga,Mwaro,Ngozi,Rutana,Ruyigi
1901,20.13,21.36,22.10,21.20,19.86,20.69,19.50,18.53,20.04,18.90,20.46,21.23,18.58,20.54,18.15,19.58,20.33,20.46
1902,20.29,21.50,22.24,21.34,20.01,20.88,19.62,18.70,20.19,19.05,20.61,21.39,18.74,20.70,18.31,19.73,20.51,20.63
1903,20.13,21.33,22.07,21.18,19.85,20.70,19.47,18.54,20.03,18.89,20.45,21.22,18.58,20.53,18.15,19.56,20.35,20.46
1904,19.90,21.18,21.94,21.04,19.69,20.36,19.31,18.32,19.74,18.66,20.13,21.06,18.36,20.22,17.93,19.31,20.12,20.18
1905,19.79,21.03,21.78,20.89,19.54,20.32,19.17,18.20,19.66,18.55,20.07,20.92,18.24,20.15,17.81,19.21,20.00,20.09
1906,19.42,20.70,21.45,20.54,19.19,19.93,18.85,17.83,19.29,18.17,19.67,20.56,17.87,19.76,17.44,18.82,19.64,19.73
1907,19.40,20.66,21.41,20.50,19.15,19.94,18.80,17.81,19.28,18.17,19.69,20.52,17.86,19.76,17.43,18.84,19.62,19.71
1908,19.97,21.19,21.93,21.03,19.69,20.56,19.32,18.38,19.87,18.73,20.29,21.07,18.42,20.37,17.99,19.42,20.20,20.31
1909,19.23,20.56,21.33,20.45,19.10,19.61,18.70,17.66,19.02,17.99,19.38,20.48,17.69,19.46,17.29,18.60,19.48,19.47
1910,19.22,20.58,21.35,20.45,19.10,19.58,18.71,17.66,19.01,17.99,19.38,20.47,17.70,19.46,17.29,18.59,19.45,19.45
1911,19.31,20.62,21.38,20.47,19.11,19.76,18.76,17.72,19.14,18.08,19.56,20.47,17.77,19.63,17.34,18.73,19.52,19.58
1912,19.29,20.62,21.38,20.49,19.14,19.69,18.76,17.71,19.09,18.04,19.43,20.53,17.74,19.52,17.33,18.65,19.52,19.54
1913,19.21,20.58,21.35,20.45,19.09,19.52,18.73,17.65,18.97,17.98,19.36,20.46,17.69,19.43,17.28,18.59,19.42,19.41
1914,19.43,20.76,21.52,20.61,19.25,19.84,18.90,17.85,19.24,18.21,19.63,20.64,17.91,19.70,17.48,18.84,19.64,19.68
1915,19.38,20.72,21.49,20.58,19.22,19.77,18.85,17.81,19.19,18.15,19.56,20.58,17.85,19.63,17.43,18.77,19.60,19.63
1916,19.15,20.55,21.33,20.41,19.03,19.45,18.67,17.58,18.91,17.94,19.29,20.40,17.64,19.36,17.22,18.54,19.36,19.34
1917,18.89,20.35,21.13,20.21,18.83,19.12,18.48,17.34,18.61,17.69,18.98,20.19,17.39,19.05,16.98,18.27,19.09,19.05
1918,19.11,20.52,21.30,20.38,18.99,19.41,18.64,17.55,18.87,17.90,19.23,20.36,17.61,19.30,17.18,18.49,19.31,19.30
1919,19.23,20.60,21.37,20.47,19.11,19.58,18.74,17.67,19.02,18.01,19.38,20.48,17.71,19.45,17.30,18.62,19.44,19.45
1920,19.22,20.60,21.37,20.46,19.09,19.55,18.74,17.65,18.99,18.00,19.38,20.45,17.70,19.45,17.29,18.60,19.42,19.42
1921,19.91,21.12,21.86,20.97,19.64,20.49,19.26,18.32,19.82,18.66,20.22,21.01,18.35,20.30,17.92,19.34,20.14,20.26
1922,19.85,21.09,21.84,20.93,19.59,20.42,19.21,18.25,19.75,18.60,20.14,20.96,18.29,20.23,17.86,19.28,20.08,20.19
1923,19.82,21.07,21.83,20.92,19.56,20.34,19.19,18.22,19.71,18.57,20.10,20.94,18.26,20.18,17.83,19.24,20.04,20.14
1924,19.99,21.19,21.93,21.03,19.70,20.58,19.33,18.39,19.89,18.74,20.31,21.08,18.43,20.39,18.00,19.42,20.22,20.33
1925,19.92,21.14,21.88,20.98,19.65,20.50,19.27,18.33,19.82,18.68,20.23,21.03,18.37,20.32,17.94,19.35,20.15,20.26
