Variable:,tas
,Bermuda,"Administrative unit not available"
1901,21.30,21.30
1902,21.34,21.34
1903,21.35,21.35
1904,21.27,21.27
1905,21.35,21.35
1906,21.42,21.42
1907,21.37,21.37
1908,21.42,21.42
1909,21.41,21.41
1910,21.40,21.40
1911,21.42,21.42
1912,21.40,21.40
1913,21.44,21.44
1914,21.36,21.36
1915,21.38,21.38
1916,21.38,21.38
1917,21.33,21.33
1918,21.36,21.36
1919,21.41,21.41
1920,21.32,21.32
1921,21.45,21.45
1922,21.43,21.43
1923,21.40,21.40
1924,21.35,21.35
1925,21.45,21.45
1926,21.39,21.39
1927,21.41,21.41
1928,21.40,21.40
1929,21.44,21.44
1930,21.42,21.42
1931,20.96,20.96
1932,21.03,21.03
1933,21.33,21.33
1934,21.20,21.20
1935,20.76,20.76
1936,21.21,21.21
1937,21.41,21.41
1938,21.48,21.48
1939,21.15,21.15
1940,20.14,20.14
1941,20.70,20.70
1942,21.05,21.05
1943,21.01,21.01
1944,20.76,20.76
1945,21.09,21.09
1946,21.18,21.18
1947,21.21,21.21
1948,21.05,21.05
1949,21.35,21.35
1950,21.22,21.22
1951,21.46,21.46
1952,21.52,21.52
1953,21.75,21.75
1954,21.68,21.68
1955,21.05,21.05
1956,21.46,21.46
1957,20.99,20.99
1958,20.75,20.75
1959,21.35,21.35
1960,21.07,21.07
1961,21.13,21.13
1962,21.08,21.08
1963,20.72,20.72
1964,20.67,20.67
1965,20.53,20.53
1966,20.75,20.75
1967,20.65,20.65
1968,20.74,20.74
1969,20.89,20.89
1970,20.54,20.54
1971,21.18,21.18
1972,21.38,21.38
1973,21.20,21.20
1974,21.86,21.86
1975,21.98,21.98
1976,21.76,21.76
1977,21.24,21.24
1978,21.39,21.39
1979,21.38,21.38
1980,21.37,21.37
1981,20.63,20.63
1982,22.23,22.23
1983,21.91,21.91
1984,21.71,21.71
1985,21.58,21.58
1986,21.77,21.77
1987,21.38,21.38
1988,22.27,22.27
1989,22.62,22.62
1990,22.51,22.51
1991,22.54,22.54
1992,22.18,22.18
1993,22.29,22.29
1994,22.32,22.32
1995,21.59,21.59
1996,21.36,21.36
1997,21.38,21.38
1998,21.43,21.43
1999,21.44,21.44
2000,21.39,21.39
2001,21.38,21.38
2002,21.50,21.50
2003,21.41,21.41
2004,21.46,21.46
2005,21.32,21.32
2006,21.41,21.41
2007,21.40,21.40
2008,21.37,21.37
2009,21.49,21.49
2010,20.94,20.94
2011,21.54,21.54
2012,21.66,21.66
2013,21.25,21.25
2014,21.92,21.92
2015,22.02,22.02
2016,22.12,22.12
2017,22.03,22.03
2018,22.04,22.04
2019,22.09,22.09
2020,21.88,21.88
2021,21.88,21.88
