Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1901,26.58,26.37,27.05,26.22,26.78
1902,26.58,26.37,27.05,26.22,26.78
1903,26.58,26.37,27.04,26.16,26.78
1904,26.55,26.36,26.96,26.11,26.72
1905,26.57,26.37,27.01,26.15,26.76
1906,26.58,26.37,27.04,26.17,26.78
1907,26.57,26.37,27.01,26.15,26.76
1908,26.58,26.37,27.03,26.17,26.78
1909,26.58,26.37,27.03,26.17,26.78
1910,26.57,26.37,27.02,26.17,26.76
1911,26.57,26.37,27.01,26.15,26.76
1912,26.58,26.37,27.05,26.19,26.78
1913,26.57,26.37,27.02,26.17,26.77
1914,26.58,26.37,27.05,26.20,26.78
1915,26.58,26.37,27.05,26.22,26.78
1916,26.58,26.37,27.03,26.16,26.78
1917,26.58,26.37,27.03,26.17,26.78
1918,26.57,26.36,27.00,26.14,26.75
1919,26.58,26.37,27.05,26.20,26.78
1920,26.58,26.37,27.05,26.19,26.78
1921,26.58,26.37,27.03,26.18,26.78
1922,26.58,26.37,27.05,26.20,26.78
1923,26.58,26.37,27.03,26.18,26.78
1924,26.58,26.37,27.05,26.20,26.78
1925,26.58,26.37,27.04,26.18,26.78
1926,26.58,26.37,27.05,26.20,26.78
1927,26.58,26.37,27.05,26.20,26.78
1928,26.58,26.37,27.05,26.22,26.78
1929,26.58,26.37,27.04,26.16,26.78
1930,26.58,26.37,27.05,26.21,26.78
1931,26.58,26.37,27.06,26.23,26.78
1932,26.58,26.37,27.05,26.20,26.78
1933,26.58,26.37,27.05,26.21,26.78
1934,26.58,26.37,27.05,26.19,26.78
1935,26.58,26.37,27.05,26.20,26.78
1936,26.58,26.37,27.06,26.23,26.78
1937,26.58,26.37,27.05,26.22,26.78
1938,26.58,26.37,27.05,26.20,26.78
1939,26.58,26.37,27.05,26.20,26.78
1940,26.65,26.44,27.11,26.29,26.85
1941,27.18,26.97,27.65,26.82,27.38
1942,26.58,26.37,27.05,26.22,26.78
1943,26.58,26.37,27.05,26.22,26.78
1944,26.58,26.37,27.05,26.22,26.78
1945,26.58,26.37,27.05,26.22,26.78
1946,26.58,26.37,27.05,26.22,26.78
1947,26.59,26.37,27.09,26.26,26.81
1948,26.57,26.37,27.03,26.19,26.77
1949,26.58,26.37,27.04,26.19,26.78
1950,26.86,26.65,27.30,26.46,27.05
