Variable:,tas
,"Congo (Democratic Republic of the)",Bandundu,Bas-Congo,Equateur,"Kasai Occidental","Kasai Oriental",Katanga,Kinshasa,Maniema,Nord-Kivu,Orientale,Sud-Kivu
1901,24.02,24.66,23.84,24.98,24.42,24.80,22.78,24.13,24.40,21.36,24.30,21.17
1902,24.07,24.69,23.89,24.99,24.43,24.83,22.88,24.18,24.48,21.46,24.32,21.29
1903,24.04,24.71,23.98,24.99,24.43,24.80,22.82,24.25,24.39,21.35,24.30,21.15
1904,24.02,24.64,23.79,24.98,24.41,24.84,22.80,24.09,24.48,21.22,24.27,21.15
1905,24.01,24.69,23.98,25.00,24.42,24.79,22.77,24.26,24.34,21.13,24.26,20.97
1906,23.92,24.61,23.85,24.99,24.39,24.74,22.61,24.14,24.17,20.89,24.21,20.69
1907,23.90,24.63,23.90,25.00,24.40,24.72,22.53,24.19,24.10,20.86,24.21,20.62
1908,23.99,24.63,23.75,24.98,24.41,24.78,22.74,24.06,24.31,21.24,24.28,21.02
1909,23.96,24.70,24.03,25.01,24.42,24.78,22.71,24.30,24.28,20.77,24.18,20.73
1910,23.94,24.70,23.88,24.97,24.43,24.78,22.67,24.17,24.28,20.77,24.17,20.73
1911,23.95,24.78,24.08,25.00,24.45,24.75,22.61,24.34,24.19,20.83,24.20,20.66
1912,23.98,24.74,24.13,25.01,24.43,24.78,22.74,24.38,24.28,20.79,24.18,20.75
1913,23.95,24.69,23.86,24.98,24.43,24.78,22.74,24.15,24.28,20.78,24.17,20.74
1914,23.98,24.66,23.94,25.00,24.40,24.78,22.80,24.23,24.29,20.91,24.21,20.82
1915,23.97,24.66,23.83,24.99,24.42,24.78,22.77,24.13,24.29,20.88,24.20,20.80
1916,23.95,24.63,23.77,24.99,24.41,24.78,22.76,24.08,24.28,20.75,24.16,20.71
1917,23.94,24.67,23.86,24.99,24.42,24.78,22.74,24.15,24.27,20.60,24.13,20.62
1918,23.91,24.66,23.83,24.99,24.42,24.78,22.55,24.13,24.28,20.72,24.17,20.70
1919,23.93,24.65,23.81,24.99,24.41,24.78,22.61,24.11,24.28,20.80,24.20,20.74
1920,23.95,24.66,23.84,24.99,24.42,24.78,22.74,24.14,24.28,20.79,24.16,20.74
1921,23.99,24.66,23.84,24.99,24.42,24.78,22.75,24.14,24.31,21.20,24.26,21.00
1922,24.01,24.65,23.81,24.99,24.42,24.78,22.88,24.11,24.30,21.16,24.25,20.97
1923,23.99,24.63,23.77,24.99,24.41,24.78,22.77,24.08,24.30,21.14,24.25,20.96
1924,24.01,24.74,23.98,24.99,24.44,24.78,22.73,24.26,24.31,21.24,24.29,21.02
1925,23.97,24.66,23.84,24.99,24.42,24.78,22.64,24.13,24.31,21.20,24.27,21.00
1926,24.00,24.67,23.85,24.99,24.42,24.78,22.71,24.15,24.31,21.31,24.30,21.06
1927,23.99,24.69,23.88,24.99,24.43,24.78,22.67,24.17,24.31,21.24,24.29,21.02
1928,24.04,24.73,23.96,24.99,24.44,24.78,22.82,24.24,24.31,21.32,24.32,21.07
1929,23.94,24.61,23.74,24.99,24.40,24.78,22.76,24.05,24.28,20.66,24.15,20.66
1930,23.94,24.68,23.88,24.99,24.42,24.78,22.68,24.17,24.28,20.75,24.17,20.72
1931,24.01,24.71,23.93,24.99,24.43,24.78,22.83,24.22,24.29,21.04,24.25,20.88
1932,23.94,24.60,23.73,24.99,24.40,24.76,22.68,24.04,24.23,20.89,24.22,20.74
1933,23.94,24.76,24.03,24.99,24.45,24.73,22.61,24.30,24.12,20.85,24.23,20.62
1934,23.93,24.79,24.07,24.99,24.45,24.70,22.58,24.34,24.07,20.81,24.20,20.60
1935,23.95,24.71,23.93,24.99,24.43,24.75,22.63,24.21,24.22,20.95,24.23,20.81
1936,23.92,24.64,23.79,24.99,24.41,24.74,22.58,24.10,24.17,20.84,24.21,20.71
1937,23.91,24.80,24.11,24.99,24.45,24.72,22.47,24.37,24.09,20.78,24.20,20.63
1938,23.98,24.70,23.90,24.99,24.43,24.77,22.76,24.19,24.22,20.92,24.23,20.82
1939,23.97,24.74,23.97,24.99,24.47,24.76,22.65,24.25,24.19,20.99,24.24,20.80
1940,24.04,24.70,23.88,24.99,24.49,24.81,22.90,24.17,24.35,21.19,24.28,21.01
1941,24.40,25.16,24.34,25.77,24.70,24.95,23.07,24.70,24.46,21.39,24.63,21.16
1942,24.24,24.98,24.12,25.58,24.59,24.87,22.94,24.53,24.23,21.10,24.49,20.77
1943,23.93,24.48,23.64,24.97,24.31,24.73,22.81,23.97,24.22,21.09,24.16,20.85
1944,24.13,25.08,24.42,25.32,24.61,24.85,22.84,24.70,24.25,21.06,24.20,20.87
1945,24.06,24.85,24.14,25.32,24.47,24.82,22.72,24.45,24.25,21.05,24.20,20.84
1946,24.04,24.72,23.87,25.32,24.40,24.82,22.75,24.25,24.29,21.01,24.19,20.88
1947,24.11,25.07,24.41,25.48,24.54,24.82,22.63,24.68,24.24,20.98,24.25,20.77
1948,23.97,24.65,23.89,25.12,24.32,24.77,22.67,24.19,24.33,21.10,24.17,20.96
1949,24.27,25.03,24.32,25.39,24.58,24.93,23.21,24.63,24.51,21.31,24.30,21.24
1950,23.87,24.68,24.00,25.10,24.34,24.70,22.56,24.30,24.12,20.83,23.97,20.60
1951,23.92,24.62,23.99,25.25,24.18,24.56,22.45,24.21,24.13,21.12,24.23,20.84
1952,24.11,24.74,24.08,25.32,24.40,24.80,22.81,24.31,24.33,21.28,24.39,21.03
1953,24.01,24.58,23.92,25.17,24.24,24.70,22.69,24.15,24.34,21.35,24.31,21.11
1954,23.81,24.33,23.71,24.95,24.01,24.49,22.53,23.94,24.16,21.18,24.15,20.95
1955,23.75,24.40,23.76,24.84,24.03,24.45,22.53,23.96,24.08,21.02,23.97,20.88
1956,23.72,24.45,23.83,24.88,24.07,24.43,22.26,24.06,24.08,21.00,24.00,20.82
1957,24.04,24.71,24.05,25.14,24.36,24.76,22.71,24.27,24.38,21.29,24.31,21.11
1958,24.24,24.78,23.96,25.39,24.48,24.93,22.82,24.29,24.61,21.62,24.69,21.34
1959,24.02,24.66,23.96,25.16,24.30,24.69,22.74,24.21,24.30,21.25,24.32,21.05
1960,23.92,24.58,23.99,25.02,24.18,24.55,22.61,24.14,24.14,21.13,24.27,20.86
1961,23.85,24.29,23.59,24.99,24.08,24.57,22.66,23.75,24.19,21.07,24.15,20.97
1962,23.85,24.50,23.82,25.07,24.21,24.62,22.42,24.01,24.16,20.98,24.16,20.84
1963,23.93,24.71,24.16,25.14,24.33,24.65,22.36,24.27,24.19,21.06,24.28,20.84
1964,23.85,24.51,23.77,25.01,24.23,24.63,22.45,24.00,24.19,21.05,24.15,20.86
1965,23.91,24.64,23.87,25.08,24.35,24.68,22.41,24.13,24.23,21.12,24.26,20.89
1966,24.08,24.83,24.29,25.14,24.44,24.80,22.80,24.47,24.38,21.28,24.31,21.11
1967,23.83,24.52,23.81,24.89,24.22,24.66,22.52,24.05,24.20,21.04,24.03,20.92
1968,23.82,24.59,23.92,24.95,24.22,24.58,22.48,24.16,24.09,20.87,24.05,20.73
1969,24.22,24.95,24.28,25.24,24.62,24.98,22.92,24.53,24.54,21.39,24.47,21.26
1970,24.13,24.86,24.13,25.27,24.49,24.86,22.81,24.39,24.35,21.24,24.41,21.00
