Variable:,tas
,"Cook Islands","Administrative unit not available"
1901,23.94,24.22
1902,23.94,24.24
1903,23.94,24.33
1904,23.95,24.17
1905,23.94,24.22
1906,23.94,24.22
1907,23.23,23.56
1908,23.76,24.03
1909,23.73,24.00
1910,23.67,23.94
1911,23.54,23.82
1912,23.47,23.74
1913,23.21,23.49
1914,23.12,23.40
1915,23.27,23.55
1916,23.78,24.05
1917,23.72,23.99
1918,22.82,23.10
1919,23.34,23.62
1920,23.67,23.94
1921,24.01,24.27
1922,24.01,24.26
1923,23.36,23.63
1924,24.04,24.29
1925,23.39,23.66
1926,23.49,23.76
1927,24.23,24.50
1928,23.59,23.87
1929,23.45,23.72
1930,23.31,23.59
1931,23.24,23.50
1932,23.63,23.90
1933,23.64,23.91
1934,23.69,23.96
1935,23.87,24.15
1936,23.93,24.19
1937,24.04,24.34
1938,24.28,24.55
1939,24.05,24.35
1940,23.50,23.89
1941,23.65,24.01
1942,24.34,24.65
1943,24.04,24.35
1944,23.62,23.95
1945,24.03,24.35
1946,23.86,24.20
1947,24.12,24.45
1948,23.40,23.71
1949,23.91,24.17
1950,24.08,24.30
1951,23.51,23.83
1952,24.14,24.41
1953,23.86,24.12
1954,24.03,24.27
1955,23.89,24.10
1956,23.66,23.89
1957,23.65,23.95
1958,23.30,23.66
1959,23.65,23.98
1960,23.80,24.09
1961,23.88,24.13
1962,23.46,23.76
1963,23.49,23.79
1964,23.92,24.16
1965,23.20,23.51
1966,23.55,23.84
1967,23.49,23.78
1968,23.81,24.03
1969,23.90,24.20
1970,24.32,24.56
1971,23.90,24.12
1972,23.93,24.19
1973,24.67,24.88
1974,24.05,24.26
1975,23.98,24.20
1976,23.77,24.04
1977,23.75,24.05
1978,23.96,24.24
1979,23.84,24.11
1980,24.20,24.49
1981,24.16,24.41
1982,23.81,24.09
1983,24.05,24.34
1984,23.96,24.25
1985,24.08,24.36
1986,24.11,24.42
1987,23.66,24.02
1988,24.30,24.57
1989,24.23,24.46
1990,24.26,24.52
1991,24.28,24.54
1992,24.22,24.51
1993,23.97,24.27
1994,23.92,24.23
1995,24.20,24.48
1996,24.42,24.66
1997,23.75,24.04
1998,24.01,24.31
1999,24.64,24.90
2000,24.40,24.68
2001,24.26,24.51
2002,24.16,24.49
2003,24.25,24.53
2004,24.38,24.66
2005,23.96,24.30
2006,23.98,24.34
2007,23.97,24.32
2008,23.96,24.30
2009,23.96,24.34
2010,23.98,24.38
2011,23.98,24.36
2012,23.96,24.28
2013,23.97,24.28
2014,23.94,24.29
2015,23.94,24.29
2016,23.98,24.34
2017,23.98,24.34
2018,23.95,24.30
2019,23.96,24.31
2020,23.98,24.36
2021,23.99,24.38
