Variable:,tas
,"Cape Verde","Boa Vista",Brava,Cima,Fogo,"Ilheu Branco","Ilheu Raso",Maio,Rombo,Sal,"Santa Luzia",Santiago,"Santo Antao","Sao Nicolau","Sao Vicente"
1901,22.74,23.26,23.54,23.54,19.05,23.13,23.13,23.75,23.54,23.81,23.13,22.84,20.65,22.64,22.52
1902,22.79,23.34,23.54,23.54,19.07,23.17,23.17,23.80,23.54,23.88,23.17,22.90,20.67,22.68,22.55
1903,23.06,23.66,23.75,23.75,19.32,23.34,23.34,24.10,23.75,24.18,23.34,23.17,20.80,22.90,22.70
1904,22.71,23.25,23.48,23.48,19.00,23.11,23.11,23.72,23.48,23.78,23.11,22.82,20.64,22.61,22.49
1905,22.89,23.47,23.63,23.63,19.17,23.23,23.23,23.93,23.63,23.98,23.23,22.99,20.71,22.76,22.60
1906,23.10,23.72,23.76,23.76,19.34,23.37,23.37,24.13,23.76,24.24,23.37,23.20,20.81,22.91,22.73
1907,22.15,22.59,23.09,23.09,18.53,22.76,22.76,23.08,23.09,23.14,22.76,22.25,20.36,22.18,22.16
1908,22.98,23.59,23.67,23.67,19.24,23.29,23.29,24.03,23.67,24.11,23.29,23.09,20.77,22.83,22.66
1909,22.82,23.34,23.58,23.58,19.11,23.19,23.19,23.84,23.58,23.86,23.19,22.93,20.69,22.71,22.56
1910,22.89,23.47,23.63,23.63,19.19,23.23,23.23,23.93,23.63,23.98,23.23,23.00,20.73,22.79,22.61
1911,22.85,23.40,23.60,23.60,19.13,23.25,23.25,23.87,23.60,23.96,23.25,22.96,20.74,22.76,22.62
1912,22.75,23.31,23.53,23.53,19.04,23.16,23.16,23.77,23.53,23.83,23.16,22.86,20.69,22.67,22.54
1913,23.04,23.67,23.74,23.74,19.30,23.36,23.36,24.08,23.74,24.19,23.36,23.15,20.81,22.91,22.72
1914,22.65,23.19,23.46,23.46,18.96,23.13,23.13,23.63,23.46,23.75,23.13,22.76,20.66,22.64,22.51
1915,23.14,23.75,23.81,23.81,19.38,23.43,23.43,24.19,23.81,24.29,23.43,23.25,20.88,22.98,22.79
1916,22.74,23.31,23.52,23.52,19.04,23.21,23.21,23.77,23.52,23.84,23.21,22.85,20.72,22.71,22.58
1917,22.65,23.14,23.47,23.47,18.98,23.08,23.08,23.63,23.47,23.68,23.08,22.75,20.60,22.57,22.46
1918,23.00,23.58,23.72,23.72,19.25,23.31,23.31,24.02,23.72,24.09,23.31,23.10,20.76,22.83,22.67
1919,23.43,24.09,24.03,24.03,19.64,23.59,23.59,24.52,24.03,24.61,23.59,23.54,21.00,23.19,22.94
1920,22.77,23.27,23.58,23.58,19.09,23.16,23.16,23.77,23.58,23.79,23.16,22.88,20.68,22.66,22.54
1921,22.73,23.28,23.51,23.51,19.04,23.17,23.17,23.76,23.51,23.82,23.17,22.84,20.68,22.66,22.55
1922,22.43,22.89,23.31,23.31,18.77,22.95,22.95,23.39,23.31,23.44,22.95,22.54,20.52,22.40,22.35
1923,22.76,23.36,23.51,23.51,19.05,23.19,23.19,23.80,23.51,23.90,23.19,22.87,20.70,22.69,22.57
1924,22.68,23.23,23.49,23.49,18.99,23.13,23.13,23.69,23.49,23.79,23.13,22.79,20.64,22.63,22.51
1925,22.83,23.35,23.58,23.58,19.11,23.20,23.20,23.81,23.58,23.85,23.20,22.93,20.71,22.70,22.58
1926,23.18,23.82,23.84,23.84,19.42,23.45,23.45,24.23,23.84,24.34,23.45,23.29,20.91,23.03,22.81
1927,22.98,23.60,23.71,23.71,19.23,23.39,23.39,24.01,23.71,24.18,23.39,23.08,20.88,22.93,22.76
1928,22.64,23.23,23.43,23.43,18.92,23.14,23.14,23.65,23.43,23.82,23.14,22.74,20.66,22.63,22.51
1929,22.69,23.20,23.50,23.50,19.02,23.14,23.14,23.66,23.50,23.74,23.14,22.80,20.68,22.64,22.52
1930,22.43,22.93,23.29,23.29,18.76,22.95,22.95,23.39,23.29,23.48,22.95,22.53,20.51,22.43,22.34
1931,22.78,23.32,23.52,23.52,19.04,23.11,23.11,23.78,23.52,23.82,23.11,22.89,20.62,22.62,22.49
1932,22.84,23.42,23.55,23.55,19.12,23.20,23.20,23.85,23.55,23.95,23.20,22.95,20.67,22.71,22.56
1933,22.88,23.49,23.59,23.59,19.13,23.23,23.23,23.92,23.59,24.03,23.23,22.98,20.71,22.76,22.60
1934,22.59,23.20,23.37,23.37,18.88,23.04,23.04,23.62,23.37,23.74,23.04,22.69,20.57,22.53,22.41
1935,22.54,23.12,23.36,23.36,18.84,23.01,23.01,23.55,23.36,23.68,23.01,22.65,20.54,22.50,22.39
1936,22.99,23.62,23.66,23.66,19.23,23.28,23.28,24.03,23.66,24.14,23.28,23.10,20.74,22.83,22.65
1937,23.20,23.81,23.85,23.85,19.43,23.47,23.47,24.25,23.85,24.34,23.47,23.31,20.89,23.03,22.82
1938,22.95,23.58,23.65,23.65,19.21,23.27,23.27,24.02,23.65,24.10,23.27,23.06,20.71,22.80,22.63
1939,22.65,23.22,23.41,23.41,18.94,23.03,23.03,23.66,23.41,23.73,23.03,22.76,20.56,22.54,22.41
1940,22.72,23.30,23.47,23.47,18.99,23.07,23.07,23.76,23.47,23.81,23.07,22.83,20.58,22.60,22.45
1941,22.89,23.48,23.60,23.60,19.13,23.20,23.20,23.91,23.60,24.01,23.20,22.99,20.68,22.76,22.57
1942,22.63,23.17,23.42,23.42,18.92,23.02,23.02,23.66,23.42,23.72,23.02,22.74,20.55,22.53,22.40
1943,22.78,23.38,23.52,23.52,19.04,23.20,23.20,23.80,23.52,23.94,23.20,22.89,20.70,22.73,22.57
1944,23.03,23.70,23.72,23.72,19.27,23.35,23.35,24.09,23.72,24.20,23.35,23.14,20.80,22.89,22.71
1945,23.38,24.10,23.94,23.94,19.56,23.58,23.58,24.45,23.94,24.60,23.58,23.48,20.98,23.17,22.92
1946,22.88,23.49,23.58,23.58,19.12,23.22,23.22,23.90,23.58,24.02,23.22,22.99,20.71,22.78,22.59
1947,22.88,23.51,23.58,23.58,19.11,23.22,23.22,23.92,23.58,24.05,23.22,22.98,20.71,22.78,22.60
1948,22.90,23.52,23.60,23.60,19.15,23.27,23.27,23.94,23.60,24.07,23.27,23.00,20.76,22.81,22.64
1949,22.86,23.52,23.55,23.55,19.10,23.23,23.23,23.92,23.55,24.07,23.23,22.97,20.73,22.78,22.60
1950,22.98,23.65,23.65,23.65,19.21,23.34,23.34,24.03,23.65,24.20,23.34,23.09,20.79,22.89,22.69
1951,22.55,23.20,23.36,23.36,18.86,23.05,23.05,23.57,23.36,23.72,23.05,22.66,20.57,22.54,22.43
1952,22.59,23.27,23.40,23.40,18.91,23.13,23.13,23.59,23.40,23.76,23.13,22.70,20.63,22.63,22.50
1953,22.64,23.31,23.42,23.42,18.95,23.15,23.15,23.65,23.42,23.82,23.15,22.75,20.64,22.66,22.52
1954,22.72,23.38,23.49,23.49,19.02,23.19,23.19,23.75,23.49,23.90,23.19,22.83,20.67,22.70,22.56
1955,22.85,23.55,23.56,23.56,19.10,23.28,23.28,23.89,23.56,24.05,23.28,22.96,20.75,22.80,22.64
1956,22.55,23.17,23.36,23.36,18.84,23.07,23.07,23.58,23.36,23.67,23.07,22.66,20.56,22.56,22.44
1957,22.50,23.13,23.28,23.28,18.79,23.04,23.04,23.48,23.28,23.65,23.04,22.60,20.55,22.53,22.42
1958,23.03,23.76,23.69,23.69,19.25,23.38,23.38,24.08,23.69,24.27,23.38,23.14,20.84,22.95,22.74
1959,22.75,23.41,23.49,23.49,19.02,23.19,23.19,23.78,23.49,23.90,23.19,22.86,20.67,22.70,22.56
1960,22.87,23.53,23.58,23.58,19.13,23.25,23.25,23.92,23.58,24.02,23.25,22.97,20.72,22.80,22.61
1961,23.11,23.82,23.74,23.74,19.33,23.44,23.44,24.19,23.74,24.38,23.44,23.22,20.88,23.02,22.80
1962,23.09,23.76,23.74,23.74,19.30,23.40,23.40,24.14,23.74,24.27,23.40,23.20,20.87,22.96,22.76
1963,23.11,23.90,23.78,23.78,19.34,23.48,23.48,24.18,23.78,24.43,23.48,23.22,20.92,23.05,22.83
1964,22.95,23.61,23.64,23.64,19.20,23.30,23.30,23.99,23.64,24.10,23.30,23.06,20.77,22.85,22.67
1965,22.63,23.29,23.41,23.41,18.91,23.14,23.14,23.62,23.41,23.78,23.14,22.74,20.62,22.64,22.51
1966,23.09,23.83,23.74,23.74,19.31,23.44,23.44,24.13,23.74,24.32,23.44,23.19,20.86,23.01,22.80
1967,22.55,23.21,23.35,23.35,18.84,23.09,23.09,23.54,23.35,23.72,23.09,22.66,20.62,22.60,22.47
1968,22.58,23.12,23.35,23.35,18.86,23.01,23.01,23.57,23.35,23.65,23.01,22.68,20.56,22.52,22.39
1969,23.39,24.17,23.96,23.96,19.58,23.63,23.63,24.48,23.96,24.67,23.63,23.49,21.01,23.24,22.96
1970,23.20,23.90,23.84,23.84,19.41,23.44,23.44,24.28,23.84,24.42,23.44,23.31,20.89,23.04,22.80
1971,22.31,22.77,23.18,23.18,18.65,22.82,22.82,23.30,23.18,23.32,22.82,22.41,20.40,22.28,22.22
1972,22.52,22.96,23.32,23.32,18.82,22.90,22.90,23.52,23.32,23.50,22.90,22.63,20.43,22.37,22.28
1973,22.81,23.34,23.53,23.53,19.08,23.14,23.14,23.85,23.53,23.85,23.14,22.91,20.62,22.64,22.51
1974,22.24,22.70,23.12,23.12,18.58,22.77,22.77,23.19,23.12,23.23,22.77,22.35,20.36,22.22,22.17
1975,22.44,22.95,23.28,23.28,18.76,22.94,22.94,23.42,23.28,23.51,22.94,22.55,20.50,22.39,22.33
1976,22.38,22.87,23.26,23.26,18.74,22.90,22.90,23.38,23.26,23.44,22.90,22.49,20.47,22.35,22.29
1977,22.88,23.46,23.59,23.59,19.14,23.19,23.19,23.94,23.59,24.01,23.19,22.99,20.68,22.74,22.56
1978,22.72,23.26,23.48,23.48,19.00,23.12,23.12,23.72,23.48,23.82,23.12,22.83,20.63,22.62,22.50
1979,22.94,23.54,23.65,23.65,19.21,23.24,23.24,23.99,23.65,24.07,23.24,23.05,20.73,22.79,22.60
1980,22.63,23.18,23.40,23.40,18.92,23.04,23.04,23.65,23.40,23.75,23.04,22.74,20.55,22.55,22.42
1981,22.92,23.49,23.62,23.62,19.17,23.25,23.25,23.96,23.62,24.05,23.25,23.03,20.71,22.78,22.61
1982,22.52,23.03,23.35,23.35,18.84,22.97,22.97,23.52,23.35,23.58,22.97,22.63,20.51,22.47,22.35
1983,23.17,23.80,23.80,23.80,19.39,23.40,23.40,24.24,23.80,24.36,23.40,23.28,20.83,22.96,22.75
1984,22.74,23.29,23.48,23.48,19.03,23.09,23.09,23.78,23.48,23.85,23.09,22.85,20.60,22.61,22.47
1985,22.53,23.10,23.31,23.31,18.84,22.99,22.99,23.56,23.31,23.63,22.99,22.64,20.51,22.47,22.37
1986,22.56,23.10,23.35,23.35,18.86,22.98,22.98,23.57,23.35,23.63,22.98,22.67,20.52,22.46,22.37
1987,23.20,23.86,23.85,23.85,19.43,23.42,23.42,24.31,23.85,24.40,23.42,23.31,20.84,23.01,22.76
1988,22.85,23.45,23.58,23.58,19.11,23.19,23.19,23.91,23.58,23.97,23.19,22.96,20.67,22.72,22.56
1989,22.77,23.34,23.49,23.49,19.04,23.13,23.13,23.79,23.49,23.88,23.13,22.88,20.64,22.66,22.51
1990,23.09,23.75,23.72,23.72,19.31,23.35,23.35,24.15,23.72,24.27,23.35,23.20,20.79,22.92,22.71
1991,22.87,23.44,23.58,23.58,19.14,23.16,23.16,23.92,23.58,23.98,23.16,22.98,20.65,22.70,22.53
1992,22.87,23.43,23.59,23.59,19.13,23.18,23.18,23.90,23.59,23.98,23.18,22.98,20.66,22.70,22.55
1993,22.88,23.43,23.60,23.60,19.14,23.17,23.17,23.92,23.60,23.98,23.17,22.98,20.66,22.72,22.54
1994,22.79,23.33,23.53,23.53,19.07,23.14,23.14,23.84,23.53,23.86,23.14,22.90,20.61,22.65,22.51
1995,22.92,23.55,23.59,23.59,19.17,23.26,23.26,23.96,23.59,24.07,23.26,23.03,20.73,22.81,22.63
1996,23.11,23.75,23.76,23.76,19.36,23.33,23.33,24.18,23.76,24.31,23.33,23.22,20.79,22.94,22.69
1997,23.36,24.04,23.91,23.91,19.54,23.51,23.51,24.43,23.91,24.54,23.51,23.46,20.91,23.11,22.86
1998,23.48,24.14,24.02,24.02,19.65,23.57,23.57,24.60,24.02,24.66,23.57,23.59,20.97,23.17,22.91
1999,22.84,23.44,23.57,23.57,19.10,23.18,23.18,23.87,23.57,23.93,23.18,22.95,20.67,22.71,22.55
2000,23.03,23.62,23.69,23.69,19.26,23.30,23.30,24.09,23.69,24.15,23.30,23.13,20.74,22.85,22.66
2001,23.33,24.00,23.92,23.92,19.55,23.49,23.49,24.41,23.92,24.53,23.49,23.43,20.89,23.10,22.84
2002,23.22,23.91,23.86,23.86,19.46,23.42,23.42,24.32,23.86,24.44,23.42,23.33,20.85,23.03,22.77
2003,23.21,23.86,23.83,23.83,19.45,23.40,23.40,24.29,23.83,24.37,23.40,23.32,20.84,22.98,22.75
2004,23.26,23.95,23.85,23.85,19.47,23.47,23.47,24.36,23.85,24.47,23.47,23.37,20.89,23.06,22.82
2005,23.47,24.17,24.02,24.02,19.65,23.60,23.60,24.58,24.02,24.67,23.60,23.58,20.98,23.22,22.94
2006,23.20,23.86,23.81,23.81,19.42,23.42,23.42,24.28,23.81,24.38,23.42,23.31,20.85,23.00,22.77
2007,23.21,23.87,23.84,23.84,19.41,23.41,23.41,24.28,23.84,24.34,23.41,23.32,20.81,22.97,22.75
2008,23.32,24.02,23.90,23.90,19.52,23.53,23.53,24.40,23.90,24.53,23.53,23.42,20.91,23.11,22.86
2009,23.02,23.71,23.70,23.70,19.28,23.34,23.34,24.07,23.70,24.20,23.34,23.13,20.78,22.89,22.70
2010,23.61,24.35,24.12,24.12,19.76,23.70,23.70,24.73,24.12,24.86,23.70,23.72,21.06,23.34,23.03
2011,23.15,23.81,23.80,23.80,19.36,23.40,23.40,24.21,23.80,24.35,23.40,23.25,20.82,22.97,22.75
2012,23.19,23.87,23.82,23.82,19.39,23.45,23.45,24.28,23.82,24.40,23.45,23.29,20.86,23.02,22.79
2013,23.26,23.98,23.88,23.88,19.48,23.49,23.49,24.36,23.88,24.50,23.49,23.37,20.92,23.08,22.84
2014,23.14,23.80,23.79,23.79,19.36,23.36,23.36,24.24,23.79,24.31,23.36,23.25,20.82,22.96,22.72
2015,23.24,23.92,23.85,23.85,19.44,23.47,23.47,24.32,23.85,24.45,23.47,23.35,20.88,23.04,22.81
2016,23.37,24.10,23.93,23.93,19.58,23.54,23.54,24.48,23.93,24.57,23.54,23.48,20.93,23.13,22.88
2017,23.47,24.17,24.02,24.02,19.63,23.61,23.61,24.58,24.02,24.68,23.61,23.58,20.98,23.22,22.95
2018,22.91,23.52,23.56,23.56,19.14,23.18,23.18,23.93,23.56,24.02,23.18,23.02,20.65,22.74,22.55
2019,23.06,23.69,23.72,23.72,19.30,23.31,23.31,24.12,23.72,24.20,23.31,23.17,20.76,22.86,22.67
2020,23.65,24.40,24.15,24.15,19.80,23.72,23.72,24.77,24.15,24.88,23.72,23.76,21.07,23.35,23.05
2021,23.45,24.18,24.00,24.00,19.63,23.53,23.53,24.57,24.00,24.67,23.53,23.57,20.92,23.17,22.87
