Variable:,tas
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1901,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1902,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1903,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1904,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1905,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1906,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1907,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1908,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1909,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1910,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1911,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1912,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1913,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1914,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1915,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1916,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1917,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1918,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1919,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1920,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1921,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1922,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1923,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1924,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1925,24.28,25.09,19.11,26.64,24.44,23.55,24.09,22.45
1926,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1927,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1928,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1929,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1930,24.28,25.09,19.11,26.64,24.44,23.55,24.10,22.45
1931,24.34,25.18,19.15,26.75,24.51,23.59,24.14,22.50
1932,24.32,25.15,19.13,26.71,24.49,23.58,24.12,22.49
1933,24.25,25.05,19.09,26.60,24.41,23.54,24.08,22.43
1934,24.27,25.09,19.11,26.63,24.44,23.55,24.09,22.44
1935,24.22,25.01,19.07,26.55,24.37,23.52,24.07,22.39
1936,24.46,25.33,19.23,26.94,24.63,23.67,24.20,22.59
1937,24.34,25.18,19.16,26.75,24.51,23.60,24.14,22.50
1938,24.06,24.79,18.96,26.27,24.21,23.41,23.97,22.27
1939,24.21,24.99,19.07,26.53,24.36,23.51,24.06,22.39
1940,24.19,24.97,19.04,26.49,24.35,23.51,24.05,22.37
1941,24.31,25.02,19.20,26.49,24.47,23.69,24.25,22.51
1942,24.19,24.92,19.09,26.39,24.36,23.56,24.08,22.40
1943,23.94,24.57,18.96,25.94,24.10,23.42,23.92,22.24
