Variable:,tas
,"Christmas Island","Administrative unit not available"
1901,25.07,25.07
1902,24.95,24.95
1903,24.98,24.98
1904,25.02,25.02
1905,25.14,25.14
1906,25.08,25.08
1907,24.87,24.87
1908,25.13,25.13
1909,25.02,25.02
1910,24.96,24.96
1911,24.92,24.92
1912,25.14,25.14
1913,25.09,25.09
1914,25.24,25.24
1915,25.26,25.26
1916,24.86,24.86
1917,25.15,25.15
1918,25.09,25.09
1919,25.12,25.12
1920,25.16,25.16
1921,24.94,24.94
1922,25.01,25.01
1923,25.05,25.05
1924,25.24,25.24
1925,25.18,25.18
1926,25.36,25.36
1927,25.29,25.29
1928,25.27,25.27
1929,25.13,25.13
1930,25.35,25.35
1931,25.53,25.53
1932,25.24,25.24
1933,25.22,25.22
1934,25.14,25.14
1935,25.27,25.27
1936,25.36,25.36
1937,25.32,25.32
1938,25.35,25.35
1939,25.30,25.30
1940,25.31,25.31
1941,25.67,25.67
1942,25.64,25.64
1943,25.12,25.12
1944,25.41,25.41
1945,25.45,25.45
1946,25.78,25.78
1947,25.75,25.75
1948,25.58,25.58
1949,25.45,25.45
1950,25.27,25.27
1951,25.38,25.38
1952,25.41,25.41
1953,25.56,25.56
1954,25.43,25.43
1955,25.26,25.26
1956,25.30,25.30
1957,25.56,25.56
1958,25.58,25.58
1959,25.50,25.50
1960,25.43,25.43
1961,25.39,25.39
1962,25.35,25.35
1963,25.35,25.35
1964,25.52,25.52
1965,25.42,25.42
1966,25.70,25.70
1967,25.64,25.64
1968,25.54,25.54
1969,25.98,25.98
1970,25.81,25.81
1971,25.63,25.63
1972,25.95,25.95
1973,26.15,26.15
1974,25.56,25.56
1975,25.80,25.80
1976,25.49,25.49
1977,25.61,25.61
1978,25.56,25.56
1979,25.70,25.70
1980,25.74,25.74
1981,25.76,25.76
1982,25.59,25.59
1983,25.87,25.87
1984,25.44,25.44
1985,25.70,25.70
1986,25.63,25.63
1987,25.91,25.91
1988,25.70,25.70
1989,25.79,25.79
1990,25.78,25.78
1991,25.86,25.86
1992,26.00,26.00
1993,26.01,26.01
1994,26.01,26.01
1995,26.10,26.10
1996,26.02,26.02
1997,26.07,26.07
1998,26.28,26.28
1999,25.96,25.96
2000,26.07,26.07
2001,25.73,25.73
2002,25.78,25.78
2003,25.75,25.75
2004,26.10,26.10
2005,26.10,26.10
2006,25.85,25.85
2007,26.11,26.11
2008,26.06,26.06
2009,26.16,26.16
2010,26.23,26.23
2011,26.06,26.06
2012,26.13,26.13
2013,26.23,26.23
2014,26.02,26.02
2015,26.13,26.13
2016,26.05,26.05
2017,26.20,26.20
2018,26.17,26.17
2019,26.35,26.35
2020,26.15,26.15
2021,25.93,25.93
