Variable:,tas
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
1901,22.84,25.83,16.38,16.89,16.78,16.36,14.89,22.65,14.94,19.28,15.91,14.58,14.59,16.16,17.22,14.28,16.46,18.19,21.18,16.36,20.93,14.78,22.65,15.38,15.88,16.83,16.63,14.98,14.46,17.46,15.93,16.16,17.14,22.04,13.94,17.37,15.17,14.26,15.34,15.90,14.51,25.02,15.48,24.38,15.24,17.06,15.32,15.34,15.25
1902,22.84,25.77,16.64,16.98,17.06,16.60,15.13,22.44,15.24,19.50,16.18,14.87,14.87,16.46,17.47,14.53,16.71,18.28,21.35,16.61,21.06,15.00,22.63,15.68,16.07,17.06,16.78,15.24,14.71,17.66,16.18,16.17,17.30,22.17,14.16,17.61,15.32,14.53,15.43,16.17,14.73,25.05,15.68,23.98,15.47,17.32,15.57,15.65,15.27
1903,22.75,25.83,16.34,16.83,16.75,16.08,14.70,22.36,14.85,19.08,15.86,14.46,14.48,16.12,17.21,14.11,16.33,18.00,20.93,16.11,20.76,14.50,22.54,15.23,15.63,16.70,16.53,14.90,14.31,17.43,15.78,15.99,17.13,21.84,13.71,17.34,15.06,14.12,15.22,15.73,14.22,25.09,15.19,23.92,15.17,17.03,15.28,15.29,15.15
1904,22.89,25.89,16.82,17.25,17.22,16.53,15.11,22.61,15.34,19.49,16.35,14.92,14.99,16.62,17.69,14.50,16.77,18.41,21.27,16.50,21.09,14.95,22.62,15.70,15.97,17.13,16.97,15.40,14.71,17.89,16.24,16.39,17.60,22.12,14.09,17.80,15.49,14.55,15.66,16.18,14.65,25.09,15.58,23.95,15.63,17.52,15.76,15.80,15.55
1905,22.70,25.73,16.27,16.68,16.69,16.13,14.70,22.30,14.85,19.09,15.81,14.46,14.47,16.08,17.13,14.09,16.32,17.94,20.91,16.14,20.76,14.55,22.57,15.25,15.58,16.68,16.43,14.87,14.31,17.33,15.78,15.86,17.00,21.84,13.69,17.26,14.96,14.13,15.09,15.74,14.26,25.03,15.22,23.93,15.11,16.97,15.22,15.26,14.99
1906,22.71,25.68,16.23,16.77,16.64,16.05,14.60,22.29,14.75,18.98,15.76,14.37,14.39,15.99,17.13,14.03,16.23,17.89,20.85,16.03,20.68,14.43,22.73,15.10,15.51,16.59,16.44,14.81,14.20,17.34,15.70,15.88,17.08,21.82,13.61,17.25,14.95,14.02,15.14,15.63,14.19,25.07,15.13,23.92,15.07,16.93,15.18,15.15,15.08
1907,22.60,25.58,16.15,16.62,16.61,15.99,14.51,22.08,14.74,18.88,15.71,14.32,14.37,15.99,17.00,13.90,16.16,17.76,20.74,16.01,20.57,14.38,22.54,15.11,15.43,16.51,16.34,14.75,14.12,17.23,15.62,15.73,16.92,21.69,13.52,17.13,14.85,13.95,15.02,15.57,14.11,25.02,15.04,23.81,14.98,16.85,15.09,15.16,14.92
1908,22.71,25.70,16.41,16.91,16.86,16.25,14.79,22.23,14.94,19.16,15.96,14.56,14.59,16.24,17.28,14.19,16.38,17.99,21.02,16.25,20.74,14.63,22.53,15.36,15.69,16.73,16.60,14.99,14.39,17.49,15.86,16.01,17.21,21.90,13.79,17.40,15.12,14.22,15.30,15.85,14.37,25.04,15.31,23.87,15.23,17.11,15.34,15.38,15.21
1909,22.67,25.76,16.10,16.57,16.53,16.12,14.60,22.13,14.72,18.98,15.66,14.33,14.35,15.95,16.94,14.03,16.19,17.77,20.90,16.14,20.67,14.47,22.52,15.09,15.55,16.53,16.27,14.72,14.19,17.16,15.66,15.71,16.85,21.84,13.64,17.09,14.80,14.00,14.97,15.64,14.27,25.06,15.22,23.92,14.94,16.79,15.05,15.14,14.88
1910,22.67,25.66,16.24,16.70,16.65,16.04,14.63,22.22,14.79,19.02,15.77,14.41,14.42,16.04,17.10,14.00,16.28,17.94,20.87,16.07,20.76,14.44,22.49,15.15,15.55,16.66,16.44,14.83,14.22,17.35,15.73,15.87,17.02,21.82,13.63,17.24,14.96,14.05,15.12,15.64,14.18,25.05,15.15,23.88,15.09,16.93,15.19,15.21,15.00
1911,22.77,25.55,16.64,16.95,17.20,16.77,15.23,22.15,15.40,19.59,16.27,15.01,14.99,16.61,17.47,14.63,16.76,18.24,21.46,16.81,21.11,15.14,22.71,15.81,16.16,17.09,16.77,15.29,14.82,17.66,16.29,16.11,17.27,22.29,14.25,17.59,15.30,14.67,15.41,16.31,14.88,25.00,15.81,23.57,15.48,17.36,15.59,15.80,15.24
1912,22.74,25.62,16.32,16.72,16.76,16.44,14.94,22.12,14.98,19.34,15.88,14.63,14.58,16.17,17.18,14.35,16.46,17.95,21.26,16.47,20.89,14.86,22.75,15.38,15.90,16.78,16.47,14.93,14.51,17.37,15.95,15.85,17.04,22.14,13.99,17.30,14.99,14.32,15.13,15.96,14.61,25.05,15.56,23.78,15.15,17.01,15.26,15.37,15.02
1913,22.81,25.66,16.72,17.08,17.19,16.77,15.19,22.15,15.33,19.57,16.28,14.96,14.94,16.57,17.55,14.59,16.75,18.28,21.47,16.80,21.09,15.16,22.75,15.72,16.20,17.10,16.88,15.31,14.80,17.77,16.25,16.18,17.42,22.26,14.27,17.69,15.39,14.62,15.51,16.25,14.90,25.10,15.84,23.51,15.54,17.41,15.65,15.74,15.36
