Variable:,tas
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
1901,24.50,24.87,24.01,25.41,24.35,24.21,24.38,24.46,25.56,24.20
1902,24.71,25.12,24.16,25.65,24.54,24.34,24.61,24.65,25.76,24.45
1903,24.85,25.26,24.29,25.79,24.68,24.49,24.74,24.79,25.90,24.59
1904,24.54,24.95,24.00,25.48,24.36,24.18,24.44,24.48,25.59,24.29
1905,24.94,25.38,24.36,25.89,24.76,24.54,24.85,24.87,25.99,24.71
1906,24.85,25.31,24.27,25.81,24.65,24.43,24.78,24.78,25.89,24.65
1907,24.92,25.37,24.34,25.88,24.73,24.51,24.84,24.86,25.97,24.71
1908,24.51,24.94,23.96,25.45,24.32,24.12,24.42,24.45,25.55,24.27
1909,25.08,25.53,24.49,26.05,24.90,24.67,25.00,25.02,26.14,24.86
1910,24.50,24.87,24.00,25.42,24.36,24.21,24.38,24.46,25.57,24.20
1911,24.93,25.34,24.38,25.88,24.78,24.59,24.82,24.89,26.00,24.66
1912,24.99,25.41,24.45,25.93,24.82,24.65,24.88,24.93,26.05,24.73
1913,24.56,24.95,24.04,25.49,24.40,24.23,24.45,24.50,25.61,24.28
1914,24.95,25.41,24.37,25.91,24.76,24.54,24.87,24.89,26.00,24.74
1915,24.78,25.22,24.20,25.74,24.59,24.35,24.70,24.72,25.83,24.55
1916,24.76,25.22,24.18,25.73,24.57,24.31,24.70,24.70,25.82,24.56
1917,24.78,25.22,24.21,25.74,24.61,24.37,24.70,24.72,25.84,24.56
1918,24.78,25.22,24.20,25.74,24.59,24.35,24.70,24.72,25.83,24.55
1919,24.77,25.22,24.20,25.73,24.58,24.34,24.70,24.71,25.82,24.55
1920,24.78,25.23,24.21,25.74,24.60,24.36,24.70,24.72,25.83,24.56
1921,24.78,25.22,24.21,25.74,24.59,24.35,24.70,24.72,25.83,24.56
1922,24.77,25.22,24.20,25.73,24.58,24.34,24.70,24.71,25.82,24.55
1923,24.76,25.22,24.18,25.73,24.57,24.31,24.70,24.70,25.82,24.55
1924,24.82,25.24,24.27,25.77,24.65,24.45,24.72,24.77,25.88,24.56
1925,24.78,25.22,24.21,25.74,24.60,24.36,24.70,24.72,25.83,24.55
1926,24.78,25.23,24.21,25.74,24.60,24.36,24.71,24.72,25.84,24.55
1927,24.79,25.23,24.22,25.75,24.61,24.39,24.71,24.73,25.85,24.56
1928,24.81,25.24,24.26,25.77,24.65,24.44,24.72,24.76,25.87,24.56
1929,24.75,25.22,24.16,25.72,24.55,24.29,24.69,24.69,25.80,24.55
1930,24.79,25.22,24.22,25.75,24.61,24.38,24.71,24.73,25.85,24.55
1931,24.81,25.23,24.25,25.76,24.63,24.42,24.72,24.75,25.86,24.56
1932,24.75,25.22,24.16,25.72,24.55,24.28,24.69,24.69,25.80,24.56
1933,24.83,25.23,24.29,25.77,24.67,24.48,24.72,24.78,25.89,24.56
1934,24.84,25.24,24.31,25.78,24.69,24.52,24.73,24.80,25.90,24.56
1935,24.80,25.23,24.24,25.76,24.63,24.42,24.71,24.75,25.86,24.56
1936,24.77,25.22,24.19,25.73,24.58,24.33,24.70,24.71,25.82,24.56
1937,24.85,25.23,24.32,25.78,24.71,24.54,24.73,24.81,25.92,24.56
1938,24.80,25.23,24.23,25.75,24.62,24.40,24.71,24.74,25.85,24.56
1939,24.82,25.23,24.26,25.77,24.65,24.45,24.72,24.76,25.88,24.56
1940,24.79,25.23,24.23,25.75,24.62,24.38,24.71,24.74,25.85,24.56
1941,25.33,25.75,24.80,26.26,25.13,24.89,25.27,25.28,26.33,25.13
1942,25.17,25.61,24.64,26.11,24.95,24.69,25.13,25.12,26.15,25.00
1943,24.62,25.02,24.08,25.54,24.40,24.18,24.59,24.59,25.60,24.44
1944,25.26,25.69,24.71,26.22,25.11,24.91,25.14,25.19,26.35,24.98
1945,25.19,25.68,24.60,26.17,25.01,24.77,25.11,25.12,26.25,24.99
1946,24.95,25.38,24.41,25.88,24.72,24.47,24.93,24.91,25.92,24.80
1947,25.30,25.73,24.72,26.27,25.15,24.96,25.17,25.23,26.40,25.03
1948,24.88,25.32,24.29,25.84,24.71,24.50,24.78,24.82,25.96,24.64
1949,25.26,25.72,24.69,26.25,25.11,24.90,25.14,25.20,26.36,25.00
1950,25.05,25.54,24.45,26.03,24.88,24.64,24.95,24.98,26.13,24.84
1951,25.21,25.63,24.50,26.19,25.07,24.81,25.17,25.17,26.29,24.98
1952,25.12,25.52,24.40,26.10,25.02,24.79,25.05,25.07,26.26,24.84
1953,25.09,25.45,24.45,26.03,24.95,24.68,25.06,25.09,26.15,24.82
1954,24.76,25.06,24.28,25.64,24.59,24.39,24.71,24.78,25.75,24.43
1955,24.90,25.23,24.35,25.84,24.75,24.52,24.84,24.92,25.94,24.57
1956,24.81,25.09,24.34,25.69,24.68,24.51,24.74,24.87,25.83,24.44
1957,25.11,25.46,24.57,26.02,24.95,24.74,25.06,25.15,26.12,24.81
1958,25.00,25.31,24.52,25.86,24.78,24.59,25.00,25.04,25.94,24.72
1959,25.08,25.42,24.52,25.97,24.90,24.68,25.07,25.11,26.06,24.83
1960,25.20,25.52,24.61,26.11,25.09,24.94,25.09,25.22,26.28,24.85
1961,24.85,25.27,24.11,25.83,24.74,24.53,24.74,24.81,25.99,24.58
