Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1901,8.94,9.02,10.85,11.69,11.46,11.05,9.91,7.06,5.09,8.77,5.93,7.87,12.22
1902,7.86,7.75,9.66,10.50,10.32,10.17,8.93,6.08,3.95,7.56,4.87,6.82,11.24
1903,8.17,8.25,10.04,10.89,10.64,10.32,9.15,6.31,4.32,7.98,5.14,7.08,11.44
1904,7.62,7.66,9.50,10.35,10.09,9.78,8.67,5.77,3.73,7.42,4.63,6.54,11.01
1905,8.17,8.31,10.09,10.94,10.66,10.22,9.16,6.25,4.31,8.04,5.17,7.07,11.45
1906,8.46,8.54,10.33,11.17,10.96,10.59,9.45,6.62,4.62,8.29,5.44,7.39,11.77
1907,7.41,7.35,9.28,10.13,9.91,9.57,8.46,5.56,3.55,7.20,4.45,6.36,10.76
1908,7.33,7.42,9.23,10.08,9.88,9.33,8.34,5.42,3.53,7.20,4.36,6.30,10.67
1909,8.55,8.76,10.46,11.31,11.06,10.54,9.49,6.65,4.74,8.46,5.51,7.47,11.80
1910,8.44,8.62,10.27,11.13,10.93,10.54,9.43,6.58,4.61,8.29,5.39,7.35,11.77
1911,6.62,6.78,8.52,9.36,9.14,8.63,7.63,4.75,2.80,6.49,3.60,5.56,9.96
1912,8.15,7.94,10.00,10.84,10.62,10.44,9.27,6.33,4.27,7.93,5.14,7.08,11.58
1913,7.87,7.94,9.66,10.51,10.30,10.12,8.87,6.05,4.00,7.66,4.77,6.77,11.18
1914,8.37,8.26,10.18,11.02,10.83,10.65,9.46,6.58,4.52,8.13,5.33,7.31,11.80
1915,8.78,8.75,10.62,11.47,11.24,10.99,9.82,6.93,4.92,8.58,5.74,7.70,12.12
1916,8.51,8.46,10.40,11.24,11.00,10.65,9.59,6.64,4.64,8.29,5.57,7.47,11.88
1917,8.74,8.51,10.48,11.33,11.14,11.13,9.88,7.00,4.82,8.44,5.70,7.67,12.21
1918,8.49,8.62,10.46,11.29,11.03,10.52,9.43,6.59,4.66,8.36,5.48,7.36,11.75
1919,8.52,8.58,10.43,11.24,10.98,10.71,9.53,6.68,4.64,8.31,5.49,7.43,11.84
1920,7.06,7.10,8.99,9.82,9.54,9.23,8.05,5.20,3.19,6.87,4.03,5.95,10.36
1921,7.45,7.44,9.21,10.05,9.84,9.78,8.52,5.68,3.53,7.16,4.38,6.36,10.86
1922,8.75,8.70,10.56,11.41,11.20,10.96,9.80,6.94,4.87,8.50,5.75,7.69,12.12
1923,8.95,9.06,10.81,11.66,11.45,11.06,9.92,7.10,5.14,8.78,5.91,7.89,12.20
1924,8.42,8.36,10.27,11.11,10.89,10.60,9.51,6.59,4.53,8.19,5.43,7.35,11.84
1925,8.63,8.60,10.42,11.27,11.07,10.92,9.65,6.83,4.75,8.38,5.58,7.54,11.98
1926,8.27,8.24,10.12,10.96,10.74,10.43,9.33,6.47,4.41,8.06,5.24,7.19,11.67
1927,8.22,8.18,10.06,10.91,10.70,10.42,9.30,6.38,4.36,8.01,5.20,7.15,11.57
1928,7.16,7.29,9.11,9.96,9.72,9.16,8.14,5.21,3.36,7.06,4.17,6.06,10.45
1929,7.59,7.67,9.65,10.44,10.12,9.67,8.59,5.64,3.73,7.46,4.60,6.44,10.82
1930,8.86,8.93,10.96,11.80,11.48,10.83,9.80,6.89,5.04,8.79,5.94,7.70,12.09
1931,7.67,7.89,9.68,10.52,10.20,9.67,8.54,5.71,3.88,7.66,4.63,6.52,10.79
1932,7.63,7.70,9.57,10.41,10.16,9.74,8.56,5.71,3.80,7.52,4.61,6.48,10.85
1933,7.24,7.33,9.10,9.94,9.70,9.44,8.18,5.33,3.41,7.14,4.16,6.13,10.45
1934,7.95,8.24,9.83,10.69,10.41,10.02,8.77,6.03,4.20,7.95,4.81,6.83,11.04
1935,8.77,8.72,10.67,11.53,11.30,10.95,9.73,6.91,4.97,8.61,5.72,7.68,12.05
1936,8.49,8.73,10.35,11.21,10.98,10.58,9.38,6.56,4.70,8.42,5.39,7.35,11.70
1937,9.10,9.37,11.07,11.94,11.65,11.09,9.95,7.10,5.35,9.11,6.06,7.91,12.21
1938,8.80,8.82,10.48,11.35,11.25,11.05,9.75,7.03,5.01,8.61,5.68,7.75,12.13
1939,8.55,8.68,10.54,11.38,11.08,10.65,9.49,6.59,4.69,8.44,5.56,7.41,11.73
1940,8.67,8.51,10.72,11.55,11.26,10.83,9.70,6.78,4.74,8.45,5.78,7.59,11.91
1941,8.19,8.02,10.17,11.00,10.74,10.39,9.23,6.32,4.26,7.95,5.27,7.16,11.48
1942,7.87,7.76,9.84,10.68,10.38,10.05,8.87,6.03,3.99,7.66,4.91,6.83,11.08
1943,8.13,8.20,10.05,10.88,10.63,10.28,9.09,6.23,4.26,7.97,5.11,7.02,11.38
1944,8.54,8.57,10.42,11.28,11.04,10.73,9.52,6.66,4.68,8.39,5.52,7.44,11.81
1945,7.32,7.11,9.30,10.12,9.88,9.54,8.36,5.47,3.38,7.07,4.38,6.29,10.63
