Variable:,tas
1901,25.15
1902,24.82
1903,24.92
1904,24.50
1905,24.79
1906,24.65
1907,24.38
1908,24.55
1909,24.45
1910,24.45
1911,24.47
1912,24.74
1913,24.18
1914,24.49
1915,24.99
1916,24.58
1917,24.49
1918,24.54
1919,24.55
1920,24.44
1921,24.50
1922,24.38
1923,24.68
1924,24.95
1925,24.64
1926,25.08
1927,24.74
1928,24.78
1929,24.50
1930,24.69
1931,25.27
1932,25.28
1933,24.95
1934,24.85
1935,24.64
1936,24.91
1937,25.20
1938,24.72
1939,24.87
1940,25.51
1941,25.57
1942,25.61
1943,25.02
1944,25.21
1945,24.76
1946,24.90
1947,25.19
1948,25.19
1949,24.90
1950,24.69
1951,25.21
1952,25.19
1953,25.06
1954,24.84
1955,24.90
1956,24.79
1957,25.00
1958,25.44
1959,25.16
1960,25.35
1961,25.25
1962,25.17
1963,25.40
1964,25.17
1965,25.12
1966,25.29
1967,25.03
1968,25.12
1969,25.61
1970,25.41
1971,25.06
1972,25.32
1973,25.44
1974,25.15
1975,25.12
1976,25.06
1977,25.52
1978,25.65
1979,25.62
1980,25.96
1981,25.94
1982,25.58
1983,26.09
1984,25.52
1985,25.46
1986,25.57
1987,26.23
1988,25.90
1989,25.55
1990,25.85
1991,25.89
1992,25.77
1993,26.07
1994,25.84
1995,26.03
1996,25.75
1997,25.90
1998,26.38
1999,25.88
2000,25.72
2001,26.07
2002,26.13
2003,26.13
2004,25.87
2005,26.30
2006,26.09
2007,26.01
2008,25.73
2009,26.17
2010,26.45
2011,26.05
2012,26.15
2013,26.21
2014,26.19
2015,26.41
2016,26.39
2017,26.24
2018,25.90
2019,26.25
2020,26.30
2021,26.19
