Variable:,tas
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
1901,27.55,27.64,27.12,26.98,27.12,27.76,27.45,27.39,27.12,27.44
1902,27.76,27.85,27.29,27.13,27.29,27.99,27.65,27.58,27.29,27.63
1903,27.59,27.68,27.17,27.02,27.18,27.78,27.50,27.43,27.17,27.46
1904,27.32,27.42,26.86,26.72,26.87,27.53,27.22,27.16,26.86,27.19
1905,27.53,27.62,27.09,26.96,27.10,27.73,27.43,27.37,27.09,27.41
1906,27.62,27.71,27.19,27.06,27.21,27.81,27.53,27.46,27.19,27.49
1907,26.94,27.03,26.49,26.35,26.49,27.16,26.84,26.77,26.49,26.81
1908,27.66,27.76,27.21,27.05,27.21,27.87,27.57,27.49,27.21,27.51
1909,27.43,27.52,26.99,26.84,26.99,27.64,27.33,27.26,26.99,27.30
1910,27.66,27.76,27.23,27.08,27.23,27.88,27.57,27.50,27.23,27.54
1911,27.42,27.52,27.01,26.85,27.00,27.63,27.33,27.26,27.01,27.29
1912,27.72,27.82,27.26,27.11,27.26,27.96,27.61,27.54,27.26,27.58
1913,27.67,27.77,27.23,27.07,27.24,27.88,27.58,27.50,27.23,27.52
1914,27.37,27.47,26.92,26.78,26.93,27.59,27.27,27.20,26.92,27.23
1915,27.86,27.96,27.43,27.29,27.45,28.07,27.78,27.69,27.43,27.73
1916,27.39,27.49,26.97,26.81,26.96,27.60,27.29,27.23,26.97,27.26
1917,27.29,27.39,26.87,26.72,26.85,27.50,27.20,27.14,26.87,27.18
1918,27.50,27.60,27.07,26.93,27.09,27.70,27.42,27.33,27.07,27.36
1919,27.77,27.87,27.37,27.20,27.38,27.97,27.71,27.59,27.37,27.63
1920,27.24,27.34,26.82,26.68,26.82,27.45,27.15,27.09,26.82,27.12
1921,27.19,27.29,26.76,26.60,26.76,27.40,27.10,27.02,26.76,27.05
1922,26.96,27.05,26.52,26.36,26.52,27.17,26.86,26.79,26.52,26.82
1923,27.43,27.52,26.99,26.84,27.01,27.64,27.35,27.25,26.99,27.28
1924,27.08,27.18,26.65,26.50,26.66,27.29,26.99,26.91,26.65,26.95
1925,27.26,27.36,26.85,26.71,26.86,27.46,27.18,27.09,26.85,27.13
1926,27.58,27.67,27.19,27.03,27.20,27.76,27.50,27.42,27.19,27.45
1927,27.13,27.23,26.75,26.61,26.78,27.31,27.06,26.98,26.75,27.00
1928,26.90,26.98,26.49,26.34,26.51,27.08,26.84,26.74,26.49,26.75
1929,26.80,26.89,26.41,26.25,26.41,27.00,26.72,26.64,26.41,26.67
1930,26.75,26.84,26.31,26.15,26.33,26.96,26.67,26.57,26.31,26.60
1931,27.35,27.46,26.89,26.73,26.91,27.58,27.27,27.16,26.89,27.19
1932,27.29,27.39,26.85,26.71,26.87,27.49,27.21,27.12,26.85,27.15
1933,27.39,27.49,26.94,26.79,26.95,27.60,27.31,27.21,26.94,27.23
1934,27.16,27.27,26.69,26.52,26.69,27.39,27.06,26.96,26.69,27.00
1935,27.17,27.27,26.69,26.53,26.71,27.40,27.08,26.98,26.69,27.01
1936,27.40,27.50,26.95,26.80,26.98,27.61,27.33,27.23,26.95,27.25
1937,27.59,27.69,27.17,27.01,27.17,27.80,27.50,27.42,27.17,27.45
1938,27.57,27.67,27.12,26.95,27.13,27.78,27.48,27.39,27.12,27.41
1939,27.39,27.49,26.91,26.75,26.91,27.62,27.28,27.19,26.91,27.23
1940,27.41,27.50,26.96,26.81,26.97,27.62,27.32,27.23,26.96,27.27
1941,27.65,27.73,27.16,27.01,27.17,27.91,27.53,27.45,27.16,27.52
1942,27.37,27.45,26.89,26.73,26.89,27.62,27.25,27.18,26.89,27.25
