Variable:,tas
,Greenland,Nordgronland,Ostgronland,Vestgronland
1901,-19.59,-22.46,-21.01,-15.20
1902,-19.98,-22.97,-21.36,-15.58
1903,-20.11,-22.93,-21.48,-15.84
1904,-20.29,-22.99,-21.55,-16.30
1905,-19.78,-22.51,-21.21,-15.48
1906,-20.46,-22.57,-21.81,-16.77
1907,-20.60,-23.26,-21.82,-16.73
1908,-19.61,-22.35,-20.99,-15.38
1909,-19.96,-23.11,-21.24,-15.60
1910,-20.40,-22.20,-21.85,-16.79
1911,-20.16,-23.21,-21.33,-16.03
1912,-19.46,-22.71,-20.95,-14.67
1913,-19.98,-22.63,-21.29,-15.95
1914,-20.80,-22.70,-22.14,-17.29
1915,-19.64,-22.45,-21.17,-15.11
1916,-19.50,-23.53,-20.89,-14.29
1917,-20.05,-23.37,-21.53,-15.24
1918,-20.69,-22.67,-22.03,-17.13
1919,-20.12,-22.63,-21.61,-15.88
1920,-20.37,-22.74,-21.63,-16.64
1921,-20.21,-22.51,-21.57,-16.35
1922,-20.02,-22.95,-21.16,-16.06
1923,-19.34,-22.22,-20.85,-14.79
1924,-19.59,-22.50,-21.13,-14.98
1925,-19.41,-22.33,-20.67,-15.24
1926,-18.86,-22.05,-20.26,-14.24
1927,-19.16,-22.85,-20.44,-14.37
1928,-18.26,-22.09,-19.53,-13.39
1929,-18.40,-22.55,-19.63,-13.32
1930,-18.75,-21.92,-20.06,-14.31
1931,-18.97,-21.77,-20.41,-14.61
1932,-18.61,-22.52,-19.87,-13.70
1933,-18.54,-22.37,-19.48,-14.20
1934,-18.80,-21.85,-20.02,-14.60
1935,-18.80,-22.40,-20.03,-14.15
1936,-18.79,-22.03,-20.30,-13.95
1937,-19.27,-22.39,-20.49,-15.04
1938,-19.63,-22.04,-20.79,-16.03
1939,-18.68,-21.97,-19.95,-14.23
1940,-19.06,-22.24,-20.52,-14.36
1941,-18.41,-21.78,-19.94,-13.44
1942,-18.87,-22.28,-20.23,-14.16
1943,-19.71,-22.40,-21.19,-15.37
1944,-19.53,-22.14,-20.95,-15.35
1945,-19.00,-22.45,-20.17,-14.59
1946,-18.46,-22.08,-19.62,-13.91
1947,-18.27,-22.03,-19.69,-13.18
1948,-19.36,-22.59,-20.65,-14.92
1949,-19.71,-22.35,-21.02,-15.69
1950,-19.43,-22.48,-20.92,-14.81
1951,-19.97,-22.81,-21.65,-15.17
1952,-19.05,-21.76,-20.69,-14.42
1953,-19.25,-21.57,-20.70,-15.23
1954,-19.15,-21.90,-20.64,-14.72
1955,-19.52,-22.41,-21.13,-14.82
1956,-19.74,-22.65,-21.04,-15.50
1957,-19.17,-22.11,-20.49,-14.91
1958,-18.87,-21.56,-20.31,-14.59
1959,-19.43,-22.27,-20.88,-15.03
1960,-18.56,-21.75,-19.91,-14.05
1961,-19.50,-22.66,-20.69,-15.27
1962,-18.88,-21.53,-20.61,-14.15
1963,-19.24,-22.11,-20.89,-14.46
1964,-19.38,-22.69,-20.55,-15.08
1965,-18.97,-22.07,-20.48,-14.27
1966,-19.88,-22.97,-21.54,-14.92
1967,-19.83,-22.14,-21.48,-15.47
1968,-20.00,-22.73,-21.87,-14.99
1969,-19.68,-22.17,-21.49,-14.92
1970,-19.73,-22.57,-21.12,-15.41
1971,-20.30,-22.48,-21.86,-16.20
1972,-19.89,-22.91,-20.57,-16.60
1973,-19.86,-22.41,-21.54,-15.27
1974,-19.26,-22.57,-20.30,-15.16
1975,-20.19,-23.10,-21.75,-15.55
1976,-19.28,-22.18,-20.41,-15.33
1977,-19.20,-22.45,-20.88,-14.11
1978,-19.63,-22.59,-21.07,-15.12
1979,-19.65,-22.85,-21.17,-14.85
1980,-18.83,-21.88,-20.43,-14.00
1981,-19.22,-20.81,-21.22,-14.85
1982,-20.13,-22.67,-21.50,-16.08
1983,-20.77,-22.52,-22.24,-17.14
1984,-20.19,-22.46,-21.07,-17.15
1985,-19.00,-22.35,-20.64,-13.87
1986,-19.50,-22.40,-20.90,-15.12
1987,-19.49,-22.42,-20.76,-15.29
1988,-19.18,-21.10,-21.07,-14.76
1989,-20.36,-22.72,-21.64,-16.58
1990,-19.35,-21.56,-20.50,-15.91
1991,-19.09,-21.53,-20.40,-15.22
1992,-20.09,-22.46,-21.29,-16.46
1993,-20.03,-22.13,-21.27,-16.53
1994,-19.49,-21.68,-20.98,-15.48
1995,-19.42,-21.83,-20.94,-15.22
1996,-18.84,-21.61,-20.08,-14.82
1997,-19.13,-21.79,-20.54,-14.94
1998,-18.69,-20.69,-20.40,-14.47
1999,-19.18,-21.79,-20.47,-15.19
2000,-19.07,-22.05,-20.49,-14.59
2001,-18.79,-21.61,-20.24,-14.40
2002,-18.33,-20.95,-19.60,-14.38
2003,-17.95,-21.06,-19.41,-13.32
2004,-18.52,-22.21,-19.62,-14.03
2005,-17.71,-20.40,-19.21,-13.32
2006,-18.17,-20.62,-19.65,-14.00
2007,-18.34,-21.02,-19.79,-14.05
2008,-18.61,-21.14,-19.84,-14.79
2009,-18.56,-21.07,-20.05,-14.33
2010,-17.43,-20.21,-19.25,-12.43
2011,-18.31,-20.65,-19.68,-14.39
2012,-18.24,-20.68,-19.62,-14.26
2013,-18.82,-21.67,-20.02,-14.81
2014,-18.28,-21.11,-19.45,-14.34
2015,-18.95,-21.15,-20.11,-15.52
2016,-17.38,-20.07,-18.61,-13.45
2017,-18.41,-21.03,-19.63,-14.56
2018,-18.80,-21.99,-19.84,-14.79
2019,-18.18,-21.56,-19.45,-13.65
