Variable:,tas
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1901,22.98,20.38,21.23,19.88,18.49,26.09,23.53,16.73,16.42,20.40,24.84,25.72,19.89,18.21,19.53,19.35,23.25,25.09,25.20,23.50,22.26,22.13,23.24
1902,23.08,20.45,21.31,19.95,18.56,26.16,23.60,16.81,16.51,20.48,24.92,25.80,19.96,18.29,19.62,19.44,23.35,25.22,25.31,23.59,22.34,22.20,23.30
1903,23.08,20.45,21.32,19.95,18.56,26.16,23.61,16.81,16.50,20.47,24.91,25.79,19.97,18.30,19.62,19.44,23.35,25.23,25.31,23.59,22.34,22.21,23.31
1904,22.98,20.38,21.23,19.88,18.48,26.09,23.53,16.73,16.42,20.40,24.83,25.72,19.88,18.20,19.53,19.34,23.25,25.10,25.21,23.50,22.26,22.12,23.24
1905,23.00,20.38,21.23,19.88,18.49,26.09,23.53,16.73,16.42,20.40,24.84,25.72,19.89,18.21,19.53,19.35,23.25,25.13,25.22,23.50,22.26,22.13,23.24
1906,22.72,20.15,20.99,19.66,18.26,25.92,23.35,16.51,16.18,20.19,24.66,25.54,19.66,17.92,19.25,19.08,22.96,24.78,24.93,23.24,22.03,21.90,23.06
1907,22.82,20.24,21.09,19.75,18.35,25.98,23.42,16.59,16.27,20.26,24.72,25.61,19.74,18.04,19.36,19.19,23.07,24.91,25.05,23.35,22.12,21.98,23.13
1908,22.81,20.23,21.07,19.73,18.34,25.98,23.41,16.59,16.27,20.25,24.73,25.61,19.73,18.02,19.36,19.18,23.07,24.88,25.03,23.33,22.10,21.97,23.11
1909,22.98,20.36,21.22,19.87,18.48,26.11,23.51,16.73,16.41,20.39,24.85,25.73,19.87,18.20,19.52,19.34,23.25,25.09,25.20,23.49,22.24,22.10,23.21
1910,22.08,19.64,20.44,19.16,17.76,25.48,22.90,16.00,15.63,19.68,24.21,25.11,19.14,17.31,18.64,18.50,22.31,23.99,24.29,22.66,21.50,21.36,22.59
1911,22.75,20.18,21.02,19.68,18.29,25.93,23.37,16.53,16.20,20.21,24.67,25.56,19.68,17.96,19.29,19.11,23.00,24.83,24.98,23.27,22.05,21.92,23.07
1912,22.90,20.30,21.15,19.80,18.40,26.03,23.45,16.64,16.33,20.31,24.78,25.66,19.80,18.11,19.43,19.25,23.14,25.03,25.13,23.41,22.18,22.05,23.15
1913,22.52,19.98,20.80,19.49,18.08,25.77,23.20,16.34,15.99,20.01,24.50,25.39,19.49,17.74,19.05,18.89,22.75,24.56,24.75,23.06,21.85,21.71,22.89
