Variable:,tas
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
1901,26.05,26.20,25.08,26.94,26.58,26.85,27.27,26.74,24.35,26.63,26.73
1902,25.96,25.98,24.89,26.87,26.57,26.75,27.26,26.59,24.28,26.60,26.70
1903,25.96,26.00,24.91,26.87,26.55,26.75,27.23,26.60,24.27,26.58,26.68
1904,25.59,25.68,24.57,26.48,26.17,26.38,26.83,26.26,23.88,26.18,26.31
1905,25.81,25.84,24.75,26.71,26.39,26.58,27.07,26.43,24.12,26.43,26.55
1906,25.70,25.78,24.68,26.57,26.25,26.46,26.93,26.33,24.00,26.29,26.43
1907,25.53,25.66,24.53,26.40,26.08,26.31,26.73,26.20,23.82,26.10,26.25
1908,25.69,25.73,24.64,26.56,26.27,26.46,26.93,26.32,24.00,26.28,26.43
1909,25.71,25.74,24.65,26.62,26.32,26.49,26.97,26.35,24.02,26.33,26.45
1910,25.71,25.76,24.68,26.59,26.28,26.49,26.95,26.34,24.02,26.30,26.45
1911,25.49,25.61,24.53,26.13,25.97,26.09,26.43,26.02,23.81,25.90,26.32
1912,25.83,25.83,24.79,26.50,26.35,26.42,26.83,26.31,24.18,26.30,26.70
1913,25.38,25.46,24.39,26.01,25.90,25.95,26.31,25.89,23.68,25.78,26.24
1914,25.43,25.35,24.32,26.02,26.02,25.95,26.34,25.85,23.75,25.85,26.38
1915,25.72,25.79,24.70,26.45,26.26,26.37,26.79,26.30,24.04,26.21,26.53
1916,25.26,25.36,24.25,25.96,25.80,25.89,26.28,25.84,23.55,25.71,26.08
1917,25.22,25.58,24.40,26.02,25.59,26.00,26.29,26.00,23.51,25.67,25.86
1918,25.43,25.71,24.54,26.19,25.85,26.15,26.48,26.12,23.72,25.87,26.12
1919,25.47,25.59,24.48,26.21,26.00,26.15,26.53,26.08,23.78,25.95,26.25
1920,25.35,25.44,24.34,26.09,25.89,26.01,26.42,25.93,23.65,25.83,26.14
1921,25.33,25.62,24.46,26.12,25.75,26.08,26.41,26.06,23.61,25.79,26.00
1922,25.18,25.45,24.29,25.99,25.63,25.95,26.28,25.91,23.46,25.66,25.87
1923,25.23,25.47,24.31,25.99,25.71,25.94,26.29,25.91,23.48,25.68,25.94
1924,25.26,25.42,24.29,26.00,25.77,25.94,26.32,25.89,23.53,25.72,26.02
1925,25.36,25.52,24.40,26.08,25.88,26.03,26.40,25.99,23.63,25.82,26.12
1926,25.69,26.01,24.83,26.56,26.11,26.50,26.86,26.46,23.98,26.20,26.30
