Variable:,tas
,Haiti,Artibonite,Centre,Nord,"Nord Est","Nord Ouest",Ouest,Sud,"Sud Est","Grande Anse",Nippes
1901,23.99,24.34,23.58,24.15,24.69,24.67,23.69,24.39,22.81,24.41,24.96
1902,23.84,24.22,23.37,24.01,24.49,24.62,23.49,24.29,22.58,24.38,24.83
1903,23.84,24.21,23.38,24.01,24.49,24.61,23.50,24.29,22.60,24.36,24.85
1904,23.57,23.96,23.07,23.76,24.21,24.42,23.20,24.10,22.27,24.21,24.61
1905,23.95,24.34,23.48,24.16,24.63,24.76,23.58,24.39,22.67,24.48,24.94
1906,23.68,24.07,23.20,23.87,24.32,24.49,23.32,24.16,22.41,24.26,24.70
1907,23.57,23.98,23.05,23.77,24.19,24.45,23.18,24.11,22.24,24.24,24.63
1908,23.66,24.06,23.16,23.86,24.30,24.51,23.28,24.16,22.35,24.26,24.68
1909,23.52,23.91,23.00,23.70,24.12,24.38,23.15,24.05,22.21,24.18,24.56
1910,23.37,23.73,22.86,23.52,23.97,24.17,23.01,23.91,22.11,24.02,24.43
1911,23.62,24.02,23.09,23.83,24.25,24.52,23.22,24.15,22.28,24.29,24.66
1912,23.92,24.33,23.43,24.14,24.58,24.78,23.54,24.39,22.60,24.49,24.92
1913,23.45,23.87,22.89,23.65,24.04,24.39,23.03,24.03,22.07,24.20,24.53
1914,23.60,23.99,23.10,23.79,24.22,24.45,23.22,24.13,22.29,24.24,24.65
1915,23.93,24.30,23.47,24.09,24.59,24.68,23.60,24.36,22.71,24.42,24.92
1916,23.61,23.99,23.10,23.79,24.22,24.44,23.25,24.13,22.35,24.24,24.67
1917,23.38,23.76,22.85,23.56,23.97,24.24,23.00,23.95,22.07,24.08,24.46
1918,23.49,23.88,22.95,23.67,24.09,24.38,23.09,24.06,22.17,24.21,24.56
1919,23.69,24.09,23.18,23.90,24.31,24.55,23.31,24.21,22.38,24.33,24.74
1920,23.52,23.93,22.99,23.72,24.13,24.41,23.13,24.08,22.19,24.22,24.59
1921,23.49,23.90,22.94,23.70,24.09,24.43,23.08,24.07,22.14,24.22,24.56
1922,23.29,23.69,22.69,23.48,23.84,24.26,22.86,23.93,21.94,24.11,24.40
1923,23.64,24.03,23.11,23.82,24.24,24.50,23.26,24.18,22.35,24.31,24.69
1924,24.17,24.56,23.73,24.39,24.87,24.96,23.82,24.58,22.89,24.64,25.15
1925,23.82,24.23,23.31,24.04,24.46,24.69,23.43,24.33,22.48,24.44,24.86
1926,24.18,24.57,23.74,24.39,24.87,24.95,23.84,24.58,22.92,24.64,25.15
1927,23.88,24.28,23.39,24.06,24.51,24.71,23.51,24.37,22.58,24.46,24.90
1928,23.80,24.19,23.32,24.00,24.45,24.60,23.44,24.28,22.54,24.37,24.83
1929,23.72,24.14,23.19,23.95,24.35,24.63,23.32,24.24,22.38,24.38,24.76
1930,23.78,24.17,23.30,23.97,24.43,24.60,23.41,24.25,22.49,24.34,24.78
1931,24.12,24.49,23.71,24.30,24.83,24.85,23.81,24.49,22.91,24.53,25.07
1932,24.08,24.46,23.63,24.27,24.75,24.87,23.74,24.48,22.84,24.56,25.03
1933,24.17,24.52,23.71,24.31,24.80,24.87,23.87,24.60,22.98,24.65,25.17
1934,23.90,24.23,23.42,24.01,24.48,24.60,23.62,24.41,22.76,24.46,24.96
1935,23.78,24.12,23.28,23.90,24.35,24.51,23.46,24.32,22.59,24.39,24.85
1936,24.01,24.36,23.54,24.15,24.62,24.73,23.69,24.48,22.81,24.54,25.04
1937,24.01,24.40,23.55,24.22,24.67,24.80,23.66,24.45,22.75,24.52,25.00
1938,23.79,24.17,23.33,23.98,24.43,24.55,23.47,24.20,22.57,24.25,24.76
1939,23.93,24.30,23.47,24.12,24.58,24.70,23.60,24.34,22.72,24.37,24.90
1940,24.15,24.47,23.75,24.25,24.80,24.72,23.90,24.56,23.06,24.51,25.16
1941,24.29,24.61,23.87,24.40,24.93,24.90,24.03,24.70,23.18,24.70,25.29
1942,24.38,24.71,23.98,24.50,25.05,24.99,24.10,24.77,23.24,24.76,25.35
1943,23.93,24.26,23.52,24.09,24.62,24.56,23.65,24.31,22.77,24.31,24.89
1944,23.89,24.24,23.49,24.06,24.58,24.58,23.60,24.26,22.72,24.26,24.84
1945,23.51,23.86,23.08,23.68,24.19,24.24,23.20,23.89,22.31,23.95,24.46
1946,23.70,24.06,23.27,23.88,24.38,24.45,23.38,24.08,22.49,24.14,24.65
1947,24.00,24.35,23.58,24.15,24.67,24.69,23.70,24.41,22.83,24.43,24.98
1948,24.18,24.57,23.75,24.39,24.90,24.97,23.84,24.56,22.93,24.63,25.11
1949,23.52,23.91,23.10,23.74,24.24,24.33,23.18,23.87,22.28,23.94,24.44
1950,23.28,23.66,22.88,23.50,24.01,24.05,22.96,23.63,22.06,23.70,24.19
1951,23.91,24.28,23.53,24.11,24.64,24.60,23.61,24.23,22.72,24.23,24.82
1952,24.08,24.45,23.69,24.27,24.81,24.75,23.78,24.39,22.89,24.38,24.99
1953,24.08,24.45,23.68,24.27,24.80,24.78,23.77,24.42,22.87,24.44,25.00
1954,24.06,24.45,23.68,24.27,24.81,24.76,23.75,24.38,22.85,24.39,24.97
1955,23.76,24.15,23.38,23.98,24.50,24.48,23.45,24.07,22.56,24.09,24.66
1956,23.75,24.14,23.36,23.96,24.49,24.49,23.44,24.08,22.54,24.10,24.66
1957,24.38,24.76,23.99,24.59,25.11,25.10,24.06,24.71,23.15,24.75,25.29
1958,24.68,25.07,24.29,24.89,25.42,25.42,24.36,25.00,23.46,25.05,25.58
1959,24.53,24.92,24.12,24.74,25.25,25.32,24.20,24.88,23.30,24.96,25.45
1960,24.64,25.02,24.25,24.85,25.37,25.38,24.32,24.95,23.41,25.00,25.54
1961,24.38,24.76,23.98,24.58,25.11,25.11,24.05,24.71,23.15,24.75,25.30
1962,24.42,24.80,24.04,24.62,25.16,25.15,24.10,24.73,23.20,24.76,25.31
1963,24.42,24.79,24.04,24.62,25.18,25.13,24.11,24.74,23.21,24.77,25.32
1964,24.41,24.79,24.01,24.61,25.14,25.14,24.09,24.74,23.19,24.78,25.32
1965,24.03,24.41,23.62,24.23,24.74,24.76,23.71,24.36,22.81,24.41,24.93
1966,24.27,24.65,23.88,24.48,25.01,24.99,23.96,24.59,23.05,24.62,25.17
1967,24.01,24.40,23.61,24.22,24.72,24.73,23.70,24.34,22.80,24.38,24.92
1968,23.97,24.35,23.58,24.16,24.69,24.68,23.66,24.30,22.77,24.32,24.88
1969,24.43,24.81,24.04,24.63,25.15,25.13,24.12,24.76,23.22,24.78,25.34
1970,24.11,24.50,23.71,24.32,24.81,24.82,23.81,24.43,22.91,24.44,25.03
1971,23.89,24.27,23.49,24.09,24.61,24.62,23.57,24.23,22.67,24.27,24.80
1972,24.22,24.60,23.82,24.42,24.93,24.95,23.90,24.56,23.00,24.60,25.14
