Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1901,5.76,2.08,5.95,5.78,9.24,8.58,3.95,3.99,9.37,12.24,11.55,1.96,1.38,1.94,11.22,7.44,6.54
1902,5.81,1.84,5.71,6.56,8.50,9.31,4.40,3.64,9.86,11.55,11.14,1.79,0.89,2.17,11.91,6.40,7.29
1903,5.04,1.34,5.36,4.81,8.85,7.67,3.23,3.43,8.51,11.69,10.97,1.07,0.81,0.92,10.32,7.23,5.58
1904,5.75,2.56,5.26,6.38,8.04,8.81,4.39,3.97,8.95,11.07,10.55,2.79,2.02,2.73,11.10,6.10,6.91
1905,5.27,1.78,5.42,5.24,8.59,8.09,3.57,3.76,8.72,11.44,10.81,1.52,1.31,1.28,10.62,6.97,5.97
1906,5.93,2.48,5.98,6.18,9.15,8.94,4.35,4.33,9.38,11.85,11.18,2.15,1.90,1.86,11.37,7.51,6.91
1907,4.81,1.19,4.48,5.52,7.35,8.18,3.43,2.86,8.39,10.58,10.05,1.22,0.49,1.30,10.57,5.44,6.22
1908,4.56,0.66,3.71,5.79,6.62,8.54,3.24,2.17,8.40,10.18,9.67,0.98,-0.02,1.43,10.99,4.54,6.64
1909,6.03,2.47,5.86,6.65,8.52,9.59,4.58,4.42,9.86,11.63,11.18,2.06,1.95,1.97,12.07,6.60,7.57
1910,5.64,1.95,5.62,6.03,8.75,8.96,4.14,3.88,9.32,11.85,11.24,1.51,1.27,1.45,11.41,6.93,6.90
1911,5.12,1.81,4.62,6.00,7.14,8.65,3.81,3.49,8.58,9.83,9.40,1.77,1.29,1.82,10.89,5.51,6.74
1912,5.36,1.39,5.36,6.20,8.25,9.26,3.84,3.50,9.26,11.42,10.82,0.90,0.68,0.95,11.60,6.32,7.23
1913,6.09,2.69,6.25,6.08,8.98,8.98,4.62,4.51,9.83,11.81,11.28,2.53,2.00,2.15,11.65,7.16,6.86
1914,6.27,2.41,6.08,7.08,8.86,9.86,4.82,4.20,10.15,11.91,11.43,2.42,1.57,2.61,12.38,6.87,7.86
1915,6.80,3.24,6.59,7.35,9.19,10.44,5.47,4.98,10.77,12.29,11.85,3.02,2.57,2.84,12.99,7.10,8.40
1916,5.39,1.92,5.13,6.11,7.91,8.86,3.96,3.74,8.88,11.33,10.62,1.65,1.34,1.61,11.12,5.90,6.96
1917,6.17,2.38,6.03,6.82,8.85,9.91,4.64,4.32,9.99,12.20,11.53,2.10,1.81,2.24,12.32,6.80,7.92
1918,5.18,1.87,4.81,5.80,7.98,8.40,3.66,3.38,8.39,11.34,10.49,1.79,1.34,1.65,10.57,6.02,6.49
1919,5.08,1.17,4.83,5.83,7.97,8.56,3.65,3.01,8.73,11.52,10.85,1.10,0.34,1.52,10.79,5.66,6.57
1920,5.01,2.08,5.06,4.79,7.90,7.60,3.50,3.76,8.05,10.73,10.19,1.81,1.67,1.42,9.87,6.16,5.46
1921,5.99,2.94,6.05,6.07,8.64,8.71,4.52,4.69,9.24,11.21,10.80,2.83,2.40,2.47,11.00,6.92,6.58
1922,6.42,3.02,6.12,7.07,8.81,9.84,5.09,4.68,10.05,11.99,11.47,2.86,2.33,2.70,12.12,6.85,7.82
1923,6.39,3.60,6.12,6.72,8.76,9.05,5.06,5.13,9.39,11.97,11.28,3.44,3.01,3.07,11.09,6.85,7.04
1924,5.77,2.40,5.54,6.32,8.22,8.98,4.31,4.17,9.21,11.39,10.77,2.30,1.84,2.28,11.25,6.35,7.07
1925,6.87,3.55,7.15,6.97,9.75,9.76,5.43,5.53,10.46,12.27,11.75,3.12,2.85,2.90,12.11,8.09,7.67
1926,5.79,2.04,5.40,6.70,8.17,9.41,4.41,3.82,9.50,11.41,10.84,2.05,1.40,2.36,11.72,6.18,7.54
1927,5.61,1.93,5.25,6.56,8.02,9.35,4.23,3.78,9.16,11.32,10.67,1.73,1.33,1.98,11.51,6.09,7.46
1928,4.62,1.05,3.98,5.63,6.71,8.19,3.24,2.75,8.00,10.00,9.35,1.34,0.61,1.58,10.44,4.88,6.34
1929,4.69,1.48,4.24,5.29,6.68,7.84,3.44,3.28,8.21,10.15,9.48,1.34,0.96,1.30,10.28,4.82,5.83
1930,5.43,2.17,5.54,5.56,8.32,8.14,3.92,4.09,8.84,11.29,10.54,1.85,1.57,1.62,10.56,6.61,6.08
1931,5.02,1.89,4.79,5.41,7.51,8.05,3.55,3.74,8.19,10.60,9.86,1.76,1.63,1.37,10.41,5.75,5.98
1932,6.07,3.25,5.77,6.34,8.24,8.60,4.78,4.81,9.11,11.04,10.58,3.39,2.72,2.97,10.84,6.68,6.58
1933,5.06,1.35,4.70,6.17,7.20,8.73,3.70,3.13,8.64,10.65,10.18,1.23,0.57,1.68,10.99,5.24,6.84
1934,4.50,1.11,4.08,4.91,7.37,7.51,2.83,2.91,7.61,10.98,10.07,1.27,0.86,1.06,9.82,5.53,5.56
1935,5.48,2.22,5.53,5.46,8.36,8.10,3.98,4.15,8.96,11.75,11.00,2.00,1.69,1.59,10.65,6.44,5.96
1936,5.72,2.51,5.85,5.55,8.72,8.52,4.13,4.51,9.22,11.82,11.12,2.14,2.16,1.54,11.16,6.88,6.29
1937,5.15,1.44,5.67,4.86,8.83,7.94,3.41,3.62,8.83,11.94,11.12,1.05,0.83,0.72,10.49,7.05,5.60
1938,5.84,1.90,5.90,6.31,9.28,9.14,4.12,3.75,9.37,12.48,11.69,1.87,1.25,1.90,11.46,7.53,7.10
1939,5.96,2.17,5.72,6.67,8.59,9.51,4.45,4.01,9.59,11.83,11.26,2.27,1.57,2.36,11.84,6.68,7.44
1940,6.39,2.69,6.28,7.32,8.53,10.06,5.21,4.47,10.20,11.79,11.36,2.47,1.61,2.79,12.24,6.39,8.09
1941,5.76,1.23,5.01,7.74,7.51,10.34,4.48,2.86,10.02,11.36,11.06,1.42,0.01,2.88,12.66,5.10,8.63
1942,5.35,1.80,4.54,6.45,6.72,9.14,4.19,3.18,9.18,10.54,10.16,2.23,1.19,2.44,11.52,4.56,7.12
1943,5.17,1.45,4.99,5.97,7.99,8.43,3.43,3.48,8.35,11.25,10.46,1.63,1.18,1.81,10.57,6.18,6.70
1944,6.41,3.01,6.70,6.26,9.23,9.51,5.02,5.05,10.26,12.30,11.78,2.55,2.41,2.02,12.03,7.24,7.05
1945,4.82,1.24,4.20,5.97,6.74,8.46,3.58,2.75,8.25,10.29,9.73,1.42,0.45,1.92,10.67,4.65,6.51
1946,5.53,1.52,5.73,6.03,8.72,8.74,3.72,3.63,9.12,11.72,11.15,1.61,0.96,1.90,11.19,6.83,6.86
1947,5.81,1.94,5.78,6.41,8.72,9.42,4.23,3.81,9.60,11.92,11.32,1.79,1.26,1.85,11.89,6.80,7.32
1948,6.38,2.87,6.73,6.46,9.51,9.00,4.83,4.85,9.87,12.21,11.64,2.73,2.23,2.67,11.36,7.64,6.91
