Variable:,tas
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
1901,10.44,13.28,10.89,12.21,9.85,11.04,10.92,8.38,11.97,10.39,10.53,11.62,12.65,10.55,11.19,10.97
1902,10.96,13.98,11.44,12.80,10.40,11.66,11.48,8.79,12.62,10.89,11.07,12.16,13.20,11.02,11.72,11.62
1903,10.91,13.73,11.38,12.70,10.35,11.52,11.36,8.81,12.44,10.81,11.02,12.11,13.14,10.96,11.67,11.48
1904,10.75,13.63,11.22,12.56,10.18,11.38,11.20,8.63,12.33,10.65,10.88,11.98,13.03,10.79,11.54,11.33
1905,10.99,14.01,11.48,12.80,10.49,11.57,11.30,8.76,12.46,10.70,11.23,12.32,13.41,10.80,11.95,11.53
1906,10.46,13.50,10.95,12.26,9.97,11.07,10.80,8.23,11.92,10.20,10.68,11.78,12.88,10.30,11.41,11.02
1907,10.65,13.59,11.15,12.44,10.16,11.28,11.05,8.44,12.11,10.42,10.85,11.95,12.99,10.52,11.52,11.22
1908,10.46,13.49,10.97,12.28,9.95,11.08,10.77,8.18,11.96,10.17,10.69,11.81,12.86,10.27,11.37,10.98
1909,10.54,13.55,11.05,12.37,10.04,11.14,10.81,8.25,12.03,10.24,10.79,11.88,12.92,10.33,11.49,11.07
1910,10.26,13.28,10.76,12.09,9.76,10.84,10.55,7.98,11.76,9.96,10.51,11.61,12.65,10.06,11.19,10.78
1911,10.65,13.68,11.16,12.50,10.16,11.22,10.84,8.37,12.15,10.29,10.93,12.02,13.08,10.36,11.62,11.19
1912,10.36,13.41,10.87,12.20,9.86,10.94,10.60,8.08,11.89,10.03,10.63,11.73,12.77,10.12,11.33,10.88
1913,10.01,13.11,10.51,11.84,9.49,10.61,10.35,7.73,11.52,9.75,10.24,11.36,12.42,9.86,10.94,10.50
1914,11.55,14.52,12.06,13.38,11.06,12.17,11.86,9.28,13.06,11.28,11.79,12.88,13.88,11.36,12.47,12.10
1915,10.85,13.95,11.39,12.73,10.36,11.42,11.00,8.52,12.40,10.45,11.13,12.24,13.31,10.52,11.84,11.38
