Variable:,tas
,Laos,Attapu,Bokeo,Bolikhamxai,Champasak,Houaphan,Khammouan,Louangphabang,Louang-Namtha,Oudomxai,Phongsali,Salavan,Savannakhet,Xaignabouli,Xekong,"Vientiane capital",Vientiane,Xiangkhouang
1901,23.64,24.44,23.42,24.13,25.84,22.17,24.54,22.98,22.10,22.63,21.83,24.68,25.39,23.88,22.55,26.05,24.11,21.91
1902,23.61,24.47,23.27,24.15,25.86,22.19,24.59,22.92,21.96,22.53,21.72,24.73,25.44,23.79,22.61,26.01,24.06,21.89
1903,23.38,24.28,23.16,23.85,25.62,21.99,24.31,22.70,21.89,22.37,21.68,24.48,25.17,23.48,22.39,25.65,23.72,21.62
1904,23.29,24.13,23.01,23.77,25.45,21.95,24.20,22.65,21.76,22.29,21.60,24.34,25.03,23.42,22.27,25.57,23.65,21.56
1905,24.06,25.04,23.54,24.64,26.58,22.43,25.07,23.31,22.17,22.87,21.87,25.28,26.00,24.36,23.03,26.67,24.65,22.34
1906,24.09,25.03,23.66,24.66,26.57,22.45,25.08,23.33,22.27,22.92,21.92,25.28,26.00,24.39,23.03,26.68,24.67,22.35
1907,23.43,24.28,23.15,23.93,25.63,22.05,24.37,22.77,21.87,22.41,21.67,24.51,25.21,23.58,22.41,25.78,23.84,21.71
1908,23.49,24.33,23.23,23.98,25.70,22.07,24.40,22.82,21.95,22.48,21.73,24.56,25.25,23.67,22.44,25.83,23.90,21.75
1909,23.53,24.36,23.29,24.03,25.73,22.12,24.46,22.85,22.00,22.51,21.77,24.60,25.30,23.69,22.50,25.87,23.93,21.80
1910,23.40,24.27,23.11,23.89,25.60,22.02,24.34,22.72,21.85,22.36,21.67,24.48,25.18,23.51,22.39,25.68,23.77,21.67
1911,23.76,24.65,23.32,24.31,26.11,22.26,24.74,23.05,22.00,22.64,21.77,24.91,25.61,23.98,22.73,26.24,24.26,22.04
1912,23.58,24.50,23.25,24.09,25.91,22.11,24.54,22.86,21.95,22.50,21.72,24.73,25.42,23.74,22.58,25.96,24.00,21.83
1913,23.38,24.23,23.11,23.87,25.57,22.00,24.29,22.72,21.82,22.36,21.64,24.45,25.14,23.53,22.35,25.70,23.78,21.65
1914,23.55,24.47,23.15,24.09,25.84,22.16,24.57,22.82,21.87,22.43,21.68,24.72,25.41,23.65,22.61,25.87,23.92,21.81
1915,23.42,24.26,23.19,23.91,25.57,22.08,24.38,22.72,21.92,22.40,21.72,24.51,25.20,23.50,22.44,25.66,23.73,21.67
1916,23.37,24.02,23.26,23.82,25.29,22.12,24.13,22.88,22.02,22.54,21.92,24.23,24.91,23.58,22.19,25.66,23.80,21.73
1917,23.29,24.02,23.10,23.75,25.31,22.00,24.09,22.74,21.84,22.38,21.68,24.22,24.89,23.48,22.15,25.59,23.71,21.64
1918,23.54,24.38,23.25,24.05,25.76,22.12,24.45,22.89,21.97,22.52,21.77,24.60,25.30,23.72,22.48,25.91,23.97,21.82
1919,23.75,24.45,23.61,24.20,25.84,22.32,24.56,23.16,22.34,22.84,22.17,24.69,25.40,24.00,22.55,26.15,24.23,22.03
1920,23.58,24.32,23.40,24.07,25.69,22.18,24.43,22.98,22.12,22.64,21.94,24.55,25.26,23.82,22.44,25.96,24.04,21.88
1921,23.57,24.01,23.47,24.11,25.28,22.35,24.43,23.09,22.23,22.75,22.09,24.29,25.10,23.83,22.20,25.98,24.07,21.96
1922,23.85,24.44,23.65,24.36,25.76,22.60,24.74,23.29,22.43,22.94,22.32,24.75,25.52,24.02,22.60,26.19,24.27,22.19
1923,23.79,24.35,23.55,24.33,25.62,22.61,24.71,23.25,22.37,22.88,22.33,24.69,25.46,23.89,22.57,26.09,24.17,22.15
1924,23.82,24.40,23.60,24.33,25.72,22.58,24.71,23.25,22.40,22.91,22.32,24.71,25.48,23.96,22.58,26.14,24.22,22.15
1925,23.43,24.19,23.18,23.95,25.50,22.05,24.34,22.81,21.90,22.45,21.71,24.44,25.16,23.61,22.34,25.79,23.87,21.74
1926,23.87,24.47,23.70,24.34,25.87,22.57,24.69,23.32,22.48,22.99,22.34,24.74,25.48,24.09,22.58,26.24,24.32,22.19
1927,23.72,24.36,23.50,24.23,25.68,22.47,24.59,23.17,22.29,22.81,22.19,24.64,25.38,23.87,22.51,26.06,24.14,22.06
1928,23.85,24.45,23.69,24.33,25.79,22.60,24.69,23.32,22.46,22.97,22.35,24.75,25.48,24.02,22.61,26.16,24.26,22.19
1929,23.89,24.47,23.73,24.39,25.82,22.63,24.75,23.35,22.48,22.99,22.36,24.78,25.53,24.09,22.65,26.23,24.33,22.24
1930,23.73,24.35,23.60,24.22,25.71,22.40,24.58,23.18,22.34,22.85,22.13,24.62,25.37,23.97,22.48,26.12,24.20,22.06
1931,24.16,24.66,24.03,24.65,26.05,22.90,24.98,23.63,22.77,23.29,22.62,25.00,25.76,24.40,22.84,26.55,24.64,22.51
1932,23.73,24.40,23.60,24.20,25.80,22.35,24.58,23.15,22.32,22.84,22.10,24.67,25.40,24.00,22.51,26.13,24.20,22.02
1933,23.88,24.50,23.78,24.33,25.89,22.53,24.70,23.32,22.52,23.02,22.31,24.78,25.51,24.13,22.64,26.25,24.34,22.18
1934,23.58,24.23,23.50,24.04,25.62,22.22,24.40,23.02,22.23,22.72,22.01,24.49,25.20,23.84,22.33,25.95,24.04,21.88
1935,24.06,24.74,23.89,24.53,26.16,22.67,24.91,23.46,22.60,23.11,22.36,25.01,25.73,24.32,22.87,26.47,24.54,22.35
1936,23.53,24.34,23.34,24.01,25.74,22.05,24.42,22.87,22.00,22.54,21.70,24.56,25.28,23.79,22.43,25.95,24.00,21.80
1937,23.88,24.55,23.69,24.39,25.93,22.54,24.78,23.28,22.41,22.94,22.22,24.84,25.57,24.07,22.71,26.26,24.32,22.20
1938,23.37,24.14,23.16,23.84,25.47,22.02,24.24,22.79,21.92,22.44,21.78,24.37,25.06,23.51,22.28,25.68,23.75,21.63
1939,23.28,24.18,23.05,23.69,25.53,21.89,24.17,22.63,21.80,22.33,21.62,24.38,25.03,23.37,22.27,25.52,23.60,21.51
1940,23.64,24.62,23.25,24.09,26.03,22.22,24.63,22.91,22.00,22.53,21.82,24.85,25.55,23.69,22.71,25.92,23.97,21.85
1941,24.34,25.24,23.94,24.89,26.73,22.81,25.38,23.58,22.60,23.18,22.32,25.51,26.25,24.53,23.31,26.79,24.82,22.59
1942,23.96,24.59,23.74,24.45,25.98,22.68,24.82,23.39,22.54,23.05,22.48,24.89,25.63,24.10,22.75,26.30,24.36,22.26
1943,23.65,24.35,23.38,24.17,25.67,22.36,24.57,23.05,22.16,22.69,22.10,24.63,25.37,23.74,22.52,25.95,24.03,21.97
1944,23.65,24.53,23.37,24.13,25.94,22.18,24.58,22.95,22.08,22.61,21.84,24.78,25.48,23.83,22.63,26.04,24.07,21.88
1945,23.65,24.45,23.39,24.13,25.89,22.23,24.50,23.02,22.11,22.64,21.95,24.66,25.36,23.87,22.49,26.07,24.12,21.94
