Variable:,tas
,Lebanon,Bekaa,Beirut,North,South,"Mount Lebanon",Nabatiye
1901,14.22,12.65,15.30,14.49,17.55,14.43,16.97
1902,13.74,12.17,14.82,14.00,17.07,13.95,16.49
1903,12.68,11.11,13.73,13.00,16.00,12.88,15.42
1904,13.25,11.67,14.35,13.51,16.62,13.47,16.04
1905,13.50,11.91,14.61,13.75,16.89,13.73,16.31
1906,13.70,12.11,14.80,13.93,17.10,13.92,16.53
1907,13.10,11.52,14.18,13.35,16.47,13.31,15.89
1908,13.19,11.60,14.29,13.43,16.60,13.41,16.02
1909,14.42,12.83,15.53,14.65,17.82,14.64,17.24
1910,13.40,11.83,14.46,13.69,16.71,13.60,16.14
1911,13.15,11.55,14.28,13.35,16.60,13.39,16.01
1912,13.56,11.99,14.63,13.84,16.86,13.77,16.28
1913,13.52,11.92,14.64,13.72,16.94,13.75,16.37
1914,13.97,12.38,15.08,14.19,17.36,14.19,16.79
1915,14.59,13.00,15.71,14.78,18.02,14.81,17.45
1916,14.87,13.29,15.99,15.08,18.27,15.10,17.69
1917,14.39,12.82,15.47,14.64,17.74,14.60,17.15
1918,14.29,12.72,15.38,14.52,17.66,14.50,17.08
1919,14.55,12.97,15.64,14.79,17.93,14.76,17.36
1920,13.89,12.29,15.02,14.06,17.35,14.12,16.78
1921,13.51,11.92,14.62,13.73,16.93,13.73,16.36
1922,14.48,12.91,15.57,14.72,17.84,14.69,17.26
1923,14.63,13.05,15.74,14.86,18.01,14.86,17.43
1924,14.39,12.83,15.48,14.60,17.78,14.59,17.21
1925,14.54,12.96,15.67,14.75,17.95,14.78,17.37
1926,14.53,12.95,15.66,14.76,17.90,14.77,17.32
1927,14.80,13.21,15.93,15.00,18.23,15.04,17.65
1928,14.67,13.06,15.84,14.80,18.17,14.92,17.60
1929,14.20,12.62,15.32,14.41,17.61,14.43,17.03
1930,14.93,13.36,16.01,15.16,18.29,15.13,17.72
1931,14.50,12.90,15.64,14.69,17.93,14.75,17.34
1932,14.48,12.89,15.61,14.68,17.88,14.72,17.31
1933,13.61,12.01,14.74,13.81,17.04,13.85,16.45
1934,14.42,12.81,15.57,14.61,17.86,14.68,17.26
1935,14.92,13.34,16.02,15.13,18.30,15.14,17.72
1936,14.60,13.00,15.76,14.80,18.03,14.87,17.43
1937,14.99,13.40,16.11,15.22,18.37,15.23,17.78
1938,14.24,12.65,15.37,14.48,17.62,14.49,17.03
1939,14.90,13.31,16.04,15.11,18.32,15.15,17.73
1940,14.65,13.09,15.71,14.89,18.01,14.83,17.44
1941,14.61,13.02,15.73,14.81,18.03,14.84,17.45
1942,14.49,12.89,15.60,14.69,17.92,14.71,17.34
1943,14.10,12.52,15.22,14.31,17.52,14.33,16.93
1944,14.39,12.81,15.50,14.63,17.77,14.62,17.20
1945,14.01,12.43,15.12,14.23,17.39,14.23,16.80
1946,14.63,13.04,15.77,14.84,18.03,14.87,17.44
1947,15.22,13.64,16.34,15.45,18.58,15.45,17.99
1948,13.75,12.16,14.87,13.96,17.15,13.98,16.55
1949,13.62,12.02,14.73,13.82,17.06,13.84,16.48
1950,13.97,12.36,15.12,14.18,17.38,14.23,16.79
1951,15.00,13.41,16.21,15.10,18.49,15.26,17.92
1952,15.03,13.45,16.11,15.24,18.41,15.26,17.84
1953,14.08,12.50,15.19,14.23,17.53,14.30,16.96
1954,14.96,13.40,16.07,15.18,18.33,15.20,17.74
1955,15.43,13.84,16.49,15.65,18.81,15.65,18.24
1956,14.13,12.53,15.27,14.28,17.60,14.38,17.03
1957,14.48,12.87,15.65,14.66,17.93,14.73,17.34
1958,14.83,13.21,16.02,14.92,18.40,15.07,17.84
1959,13.88,12.28,15.01,14.06,17.39,14.09,16.79
1960,15.39,13.80,16.46,15.55,18.93,15.56,18.37
1961,14.29,12.70,15.43,14.52,17.68,14.53,17.09
1962,15.46,13.86,16.55,15.68,18.88,15.67,18.31
1963,14.97,13.37,16.10,15.14,18.45,15.20,17.89
1964,13.96,12.38,15.08,14.16,17.38,14.19,16.79
1965,14.47,12.87,15.60,14.61,17.96,14.69,17.40
1966,15.40,13.85,16.46,15.69,18.68,15.62,18.09
1967,13.58,11.97,14.70,13.76,17.06,13.81,16.50
1968,14.70,13.14,15.82,14.99,17.97,14.96,17.35
1969,14.89,13.34,16.01,15.15,18.15,15.14,17.54
1970,14.82,13.29,15.92,15.16,17.99,15.08,17.35
1971,14.23,12.66,15.33,14.52,17.53,14.46,16.92
1972,13.76,12.15,14.88,13.90,17.27,13.99,16.71
1973,14.39,12.83,15.53,14.66,17.65,14.66,17.03
1974,14.32,12.76,15.44,14.63,17.59,14.57,16.96
1975,14.04,12.43,15.15,14.27,17.48,14.25,16.91
1976,13.78,12.15,14.94,13.91,17.36,14.01,16.80
1977,14.16,12.56,15.26,14.35,17.63,14.37,17.08
1978,14.60,13.03,15.70,14.84,17.93,14.82,17.34
1979,14.90,13.30,15.98,15.09,18.36,15.09,17.81
1980,14.11,12.49,15.24,14.22,17.70,14.33,17.17
1981,14.58,13.01,15.70,14.84,17.88,14.83,17.29
1982,13.63,12.02,14.79,13.78,17.12,13.89,16.55
1983,13.75,12.20,14.89,14.03,16.99,14.03,16.37
