Variable:,tas
,Liberia,Bomi,Bong,Gbarpolu,"Grand Bassa","Grand Cape Mount","Grand Gedeh","Grand Kru",Lofa,Margibi,Maryland,Montserrado,Nimba,Rivercess,"River Gee",Sinoe
1901,25.75,26.59,25.77,25.79,26.04,26.67,25.62,25.66,25.14,26.27,25.67,26.51,25.47,25.94,25.54,25.67
1902,25.58,26.40,25.59,25.63,25.84,26.50,25.46,25.52,25.01,26.08,25.52,26.31,25.31,25.76,25.40,25.50
1903,25.40,26.17,25.33,25.30,25.67,26.21,25.38,25.55,24.64,25.85,25.57,26.09,25.10,25.65,25.40,25.47
1904,25.19,25.94,25.14,25.14,25.44,26.02,25.15,25.29,24.50,25.63,25.34,25.85,24.91,25.39,25.16,25.20
1905,25.41,26.17,25.36,25.33,25.69,26.23,25.38,25.54,24.67,25.87,25.54,26.10,25.12,25.65,25.38,25.46
1906,25.39,26.13,25.32,25.30,25.66,26.20,25.36,25.51,24.63,25.84,25.54,26.07,25.09,25.63,25.38,25.44
1907,25.22,25.95,25.15,25.11,25.48,26.00,25.22,25.37,24.45,25.65,25.40,25.88,24.93,25.45,25.24,25.28
1908,25.33,26.12,25.32,25.36,25.57,26.21,25.25,25.34,24.73,25.78,25.37,26.02,25.05,25.50,25.22,25.28
1909,25.24,25.99,25.20,25.21,25.48,26.08,25.20,25.32,24.58,25.67,25.35,25.90,24.97,25.42,25.20,25.23
1910,25.55,26.32,25.53,25.52,25.83,26.40,25.47,25.56,24.88,26.02,25.58,26.25,25.27,25.76,25.43,25.53
1911,25.29,26.01,25.22,25.20,25.55,26.07,25.28,25.42,24.56,25.71,25.44,25.94,25.02,25.53,25.28,25.35
1912,25.74,26.54,25.75,25.73,26.03,26.59,25.64,25.69,25.10,26.23,25.68,26.46,25.50,25.96,25.57,25.70
1913,25.39,26.13,25.36,25.33,25.66,26.20,25.34,25.43,24.70,25.83,25.46,26.05,25.13,25.61,25.32,25.38
1914,25.37,26.06,25.32,25.28,25.64,26.14,25.34,25.44,24.65,25.81,25.46,26.01,25.11,25.60,25.32,25.39
1915,25.71,26.49,25.70,25.69,26.00,26.56,25.62,25.68,25.05,26.19,25.68,26.42,25.45,25.93,25.55,25.68
1916,25.47,26.13,25.43,25.31,25.77,26.14,25.49,25.56,24.67,25.89,25.56,26.09,25.27,25.76,25.43,25.53
1917,25.40,26.20,25.38,25.40,25.65,26.27,25.32,25.42,24.75,25.87,25.45,26.11,25.12,25.59,25.30,25.37
1918,25.22,25.97,25.17,25.19,25.45,26.08,25.16,25.28,24.55,25.65,25.32,25.89,24.94,25.40,25.16,25.21
1919,25.01,25.73,24.93,24.97,25.22,25.86,24.98,25.12,24.36,25.40,25.18,25.64,24.72,25.18,25.01,25.01
1920,25.14,25.89,25.09,25.09,25.37,25.98,25.09,25.23,24.47,25.57,25.26,25.80,24.86,25.32,25.10,25.13
1921,25.05,25.72,24.98,24.93,25.29,25.78,25.07,25.20,24.30,25.43,25.25,25.65,24.80,25.27,25.08,25.11
1922,25.17,25.83,25.12,25.03,25.45,25.86,25.20,25.30,24.40,25.58,25.35,25.78,24.94,25.42,25.19,25.24
1923,25.31,26.02,25.27,25.23,25.57,26.08,25.28,25.42,24.60,25.73,25.46,25.95,25.05,25.53,25.28,25.34
1924,24.97,25.59,24.89,24.82,25.19,25.65,25.01,25.15,24.22,25.32,25.22,25.53,24.74,25.18,25.04,25.04
1925,24.89,25.60,24.84,24.83,25.13,25.70,24.86,24.98,24.23,25.30,25.04,25.53,24.62,25.08,24.86,24.89
1926,25.21,25.93,25.10,25.08,25.45,26.00,25.22,25.50,24.40,25.62,25.57,25.86,24.86,25.43,25.33,25.31
1927,24.65,25.33,24.53,24.50,24.89,25.40,24.65,24.93,23.82,25.05,24.99,25.28,24.32,24.91,24.74,24.78
1928,24.54,25.22,24.44,24.40,24.78,25.29,24.56,24.77,23.74,24.93,24.83,25.16,24.26,24.78,24.61,24.63
