Variable:,tas
,Libya,"Ajdabiya (agedabia)","Al Aziziyah","Al Fatah","Al Jabal Al Akhdar","Al Jufrah","Al Khoms","Al Kufrah","Ash Shati","Awbari (ubari)","Az Zawia (azzawiya)",Banghazi,Darnah,Ghadamis,Gharyan,Misurata,Murzuq,"Nuqat Al Khams",Sabha,"Sawfajjin (sofuljeen)","Surt (sirte)",Tarhunah,"Tripoli (tarabulus)","Tubruq (tobruk)","Yafran (yefren)","Zeleitin (zliten)"
1901,21.97,21.67,19.77,19.29,18.75,20.58,19.86,23.30,21.70,22.84,20.20,20.30,19.39,20.65,20.22,20.06,23.03,20.39,21.96,20.26,20.10,19.36,19.99,20.74,19.57,19.97
1902,21.91,21.58,19.83,19.18,18.60,20.50,19.91,23.28,21.61,22.75,20.28,20.21,19.18,20.66,20.21,20.07,22.99,20.49,21.85,20.25,20.03,19.42,20.06,20.50,19.63,19.99
1903,21.79,21.48,19.37,18.97,18.36,20.41,19.49,23.25,21.47,22.77,19.81,20.02,18.93,20.26,19.83,19.65,23.01,20.01,21.82,19.88,19.79,18.97,19.63,20.22,19.14,19.57
1904,21.83,21.47,19.63,19.00,18.40,20.48,19.77,23.18,21.59,22.83,20.08,20.05,18.97,20.47,20.03,19.90,23.03,20.28,21.88,20.07,19.90,19.23,19.89,20.23,19.39,19.84
1905,21.83,21.53,19.38,19.02,18.46,20.40,19.48,23.26,21.51,22.80,19.85,20.06,19.10,20.35,19.87,19.66,23.02,20.04,21.83,19.87,19.77,18.99,19.61,20.46,19.20,19.57
1906,21.96,21.63,19.27,19.01,18.44,20.64,19.37,23.36,21.80,23.09,19.73,20.06,19.08,20.44,19.94,19.58,23.16,19.94,22.16,19.90,19.90,18.86,19.50,20.52,19.12,19.48
1907,21.76,21.42,19.25,18.79,18.19,20.33,19.31,23.26,21.44,22.76,19.70,19.84,18.82,20.28,19.77,19.47,23.01,19.91,21.76,19.72,19.62,18.82,19.45,20.20,19.07,19.41
1908,21.80,21.46,19.47,18.92,18.33,20.39,19.57,23.27,21.48,22.72,19.91,19.96,18.94,20.37,19.92,19.73,22.97,20.12,21.78,19.95,19.79,19.06,19.71,20.29,19.27,19.66
1909,21.84,21.59,19.35,19.03,18.50,20.24,19.44,23.41,21.33,22.67,19.81,20.02,19.22,20.24,19.76,19.61,22.97,20.01,21.64,19.76,19.61,18.93,19.58,20.83,19.14,19.52
1910,21.72,21.44,19.24,18.88,18.31,20.21,19.32,23.28,21.25,22.61,19.71,19.90,18.95,20.15,19.64,19.47,22.94,19.92,21.60,19.66,19.56,18.81,19.47,20.36,19.04,19.39
1911,21.92,21.53,19.96,19.03,18.43,20.54,20.01,23.28,21.67,22.84,20.44,20.09,19.02,20.75,20.26,20.14,23.04,20.65,21.93,20.28,20.01,19.51,20.20,20.33,19.73,20.07
1912,21.96,21.59,19.75,19.12,18.53,20.65,19.86,23.24,21.83,23.05,20.22,20.16,19.13,20.69,20.22,20.03,23.12,20.42,22.12,20.24,20.07,19.34,20.01,20.42,19.55,19.95
1913,21.98,21.59,20.05,19.17,18.57,20.70,20.14,23.21,21.82,22.98,20.50,20.23,19.14,20.82,20.39,20.29,23.10,20.70,22.09,20.47,20.23,19.63,20.29,20.40,19.81,20.21
1914,21.80,21.49,19.54,18.86,18.30,20.20,19.55,23.32,21.35,22.66,20.03,19.88,19.01,20.48,19.88,19.66,22.96,20.25,21.60,19.79,19.55,19.07,19.72,20.57,19.37,19.61
1915,21.97,21.72,19.73,19.26,18.74,20.42,19.80,23.46,21.53,22.73,20.18,20.25,19.44,20.57,20.11,19.97,22.99,20.38,21.77,20.14,19.94,19.31,19.94,21.00,19.51,19.90
1916,22.20,21.93,20.16,19.69,19.18,20.87,20.31,23.43,22.01,23.08,20.61,20.67,19.81,20.95,20.58,20.52,23.13,20.80,22.27,20.69,20.52,19.77,20.41,21.19,19.93,20.41
1917,22.06,21.74,19.76,19.29,18.74,20.72,19.88,23.37,21.90,23.07,20.22,20.31,19.37,20.72,20.28,20.08,23.14,20.40,22.18,20.30,20.16,19.37,20.00,20.79,19.57,19.99
1918,22.01,21.74,19.40,19.24,18.72,20.63,19.51,23.40,21.79,23.06,19.87,20.23,19.39,20.51,20.00,19.72,23.14,20.08,22.11,19.99,19.98,18.98,19.63,20.89,19.24,19.61
1919,22.09,21.79,19.58,19.31,18.81,20.74,19.75,23.47,21.88,23.14,20.04,20.31,19.49,20.55,20.12,19.92,23.18,20.23,22.24,20.17,20.12,19.20,19.87,20.93,19.37,19.82
1920,22.01,21.66,20.15,19.26,18.69,20.72,20.26,23.21,21.88,22.97,20.59,20.29,19.30,20.92,20.49,20.40,23.08,20.80,22.10,20.55,20.27,19.74,20.39,20.59,19.91,20.33
1921,21.80,21.50,19.67,18.97,18.40,20.26,19.73,23.31,21.35,22.58,20.13,19.98,19.05,20.46,19.98,19.87,22.92,20.34,21.59,19.99,19.73,19.24,19.89,20.50,19.45,19.80
1922,22.15,21.83,20.27,19.54,19.00,20.81,20.40,23.31,22.02,23.09,20.72,20.54,19.62,21.06,20.66,20.57,23.15,20.88,22.22,20.70,20.41,19.89,20.50,20.99,20.04,20.49
1923,22.05,21.77,19.65,19.39,18.87,20.69,19.79,23.34,21.86,23.07,20.11,20.38,19.52,20.63,20.17,19.99,23.14,20.30,22.16,20.19,20.12,19.26,19.90,20.94,19.44,19.88
1924,22.17,21.84,20.31,19.53,18.99,20.84,20.43,23.38,22.03,23.07,20.79,20.54,19.61,21.09,20.68,20.58,23.12,20.98,22.24,20.75,20.47,19.91,20.54,20.96,20.10,20.51
1925,22.10,21.80,19.83,19.41,18.89,20.75,19.99,23.39,21.92,23.08,20.27,20.41,19.54,20.74,20.34,20.18,23.14,20.43,22.19,20.38,20.23,19.46,20.08,20.96,19.62,20.09
1926,22.16,21.83,20.19,19.61,19.09,20.80,20.30,23.37,21.99,23.13,20.65,20.59,19.72,21.01,20.55,20.47,23.17,20.86,22.22,20.60,20.40,19.77,20.42,21.02,19.96,20.37
1927,22.27,21.97,20.41,19.88,19.38,20.89,20.57,23.44,22.07,23.15,20.86,20.84,20.01,21.13,20.74,20.77,23.19,21.06,22.28,20.85,20.61,20.03,20.67,21.31,20.17,20.66
1928,22.19,21.89,20.11,19.60,19.08,20.80,20.22,23.48,21.96,23.12,20.57,20.58,19.73,20.93,20.50,20.42,23.16,20.76,22.22,20.58,20.40,19.71,20.35,21.16,19.89,20.31
1929,21.96,21.68,19.32,19.06,18.50,20.57,19.42,23.34,21.73,23.12,19.80,20.09,19.19,20.46,19.91,19.61,23.19,20.04,22.06,19.88,19.86,18.90,19.55,20.72,19.17,19.51
1930,22.15,21.84,19.94,19.44,18.93,20.72,20.02,23.41,21.91,23.21,20.43,20.43,19.61,20.87,20.36,20.20,23.24,20.64,22.16,20.37,20.21,19.51,20.17,21.10,19.74,20.10
1931,22.26,21.90,20.42,19.53,18.98,20.87,20.55,23.46,22.09,23.23,20.87,20.54,19.63,21.16,20.78,20.71,23.25,21.03,22.26,20.83,20.52,20.02,20.66,21.07,20.18,20.63
1932,22.14,21.82,20.13,19.35,18.77,20.79,20.26,23.43,21.99,23.06,20.57,20.40,19.41,20.96,20.57,20.43,23.12,20.73,22.20,20.60,20.34,19.75,20.38,20.94,19.90,20.35
1933,22.11,21.75,20.03,19.06,18.45,20.77,20.10,23.46,21.97,23.08,20.50,20.14,19.08,20.94,20.47,20.23,23.15,20.69,22.20,20.46,20.22,19.60,20.25,20.66,19.84,20.17
