Variable:,tas
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1901,5.53,5.55,5.52,5.52,5.52,5.52,5.52,5.55,5.52,5.52,5.52,5.52
1902,5.77,5.79,5.76,5.76,5.76,5.76,5.76,5.79,5.76,5.76,5.76,5.76
1903,5.99,6.02,5.99,5.99,5.99,5.99,5.99,6.01,5.99,5.99,5.99,5.99
1904,6.54,6.56,6.53,6.53,6.53,6.53,6.53,6.56,6.53,6.53,6.53,6.53
1905,5.80,5.83,5.80,5.80,5.80,5.80,5.80,5.82,5.80,5.80,5.80,5.80
1906,5.90,5.93,5.89,5.89,5.89,5.89,5.89,5.92,5.89,5.89,5.89,5.89
1907,5.87,5.90,5.86,5.86,5.86,5.86,5.86,5.89,5.86,5.86,5.86,5.86
1908,5.52,5.55,5.51,5.51,5.51,5.51,5.51,5.54,5.51,5.51,5.51,5.51
1909,5.27,5.30,5.26,5.26,5.26,5.26,5.26,5.29,5.26,5.26,5.26,5.26
1910,5.93,5.96,5.92,5.92,5.92,5.92,5.92,5.95,5.92,5.92,5.92,5.92
1911,6.78,6.81,6.78,6.78,6.78,6.78,6.78,6.81,6.78,6.78,6.78,6.78
1912,5.80,5.82,5.79,5.79,5.79,5.79,5.79,5.82,5.79,5.79,5.79,5.79
1913,6.21,6.24,6.21,6.21,6.21,6.21,6.21,6.23,6.21,6.21,6.21,6.21
1914,5.93,5.95,5.92,5.92,5.92,5.92,5.92,5.95,5.92,5.92,5.92,5.92
1915,5.86,5.89,5.86,5.86,5.86,5.86,5.86,5.89,5.86,5.86,5.86,5.86
1916,6.25,6.28,6.25,6.25,6.25,6.25,6.25,6.27,6.25,6.25,6.25,6.25
1917,5.35,5.38,5.35,5.35,5.35,5.35,5.35,5.38,5.35,5.35,5.35,5.35
1918,6.27,6.30,6.27,6.27,6.27,6.27,6.27,6.29,6.27,6.27,6.27,6.27
1919,5.49,5.52,5.48,5.48,5.48,5.48,5.48,5.51,5.48,5.48,5.48,5.48
1920,6.77,6.79,6.76,6.76,6.76,6.76,6.76,6.79,6.76,6.76,6.76,6.76
1921,7.04,7.07,7.04,7.04,7.04,7.04,7.04,7.07,7.04,7.04,7.04,7.04
1922,5.50,5.53,5.49,5.49,5.49,5.49,5.49,5.52,5.49,5.49,5.49,5.49
1923,6.42,6.45,6.41,6.41,6.41,6.41,6.41,6.44,6.41,6.41,6.41,6.41
1924,5.75,5.78,5.74,5.74,5.74,5.74,5.74,5.77,5.74,5.74,5.74,5.74
1925,5.93,5.95,5.92,5.92,5.92,5.92,5.92,5.95,5.92,5.92,5.92,5.92
1926,6.64,6.67,6.64,6.64,6.64,6.64,6.64,6.67,6.64,6.64,6.64,6.64
1927,6.44,6.47,6.43,6.43,6.43,6.43,6.43,6.46,6.43,6.43,6.43,6.43
1928,6.78,6.80,6.77,6.77,6.77,6.77,6.77,6.80,6.77,6.77,6.77,6.77
1929,6.04,6.07,6.03,6.03,6.03,6.03,6.03,6.06,6.03,6.03,6.03,6.03
1930,6.73,6.76,6.73,6.73,6.73,6.73,6.73,6.76,6.73,6.73,6.73,6.73
1931,5.43,5.46,5.42,5.42,5.42,5.42,5.42,5.45,5.42,5.42,5.42,5.42
1932,6.09,6.12,6.09,6.09,6.09,6.09,6.09,6.12,6.09,6.09,6.09,6.09
1933,5.53,5.56,5.52,5.52,5.52,5.52,5.52,5.55,5.52,5.52,5.52,5.52
1934,7.00,7.03,7.00,7.00,7.00,7.00,7.00,7.02,7.00,7.00,7.00,7.00
