Variable:,tas
,"Macao SAR, China","Administrative unit not available"
1901,21.81,21.81
1902,22.36,22.36
1903,21.68,21.68
1904,21.53,21.53
1905,22.07,22.07
1906,22.13,22.13
1907,22.03,22.03
1908,21.95,21.95
1909,22.29,22.29
1910,21.93,21.93
1911,21.89,21.89
1912,22.00,22.00
1913,21.87,21.87
1914,22.47,22.47
1915,22.68,22.68
1916,22.05,22.05
1917,21.44,21.44
1918,21.79,21.79
1919,22.25,22.25
1920,22.10,22.10
1921,22.14,22.14
1922,22.63,22.63
1923,22.65,22.65
1924,22.61,22.61
1925,22.04,22.04
1926,22.32,22.32
1927,22.25,22.25
1928,22.71,22.71
1929,22.71,22.71
1930,22.64,22.64
1931,22.80,22.80
1932,22.34,22.34
1933,22.63,22.63
1934,22.09,22.09
1935,22.81,22.81
1936,22.19,22.19
1937,22.99,22.99
1938,22.79,22.79
1939,22.56,22.56
1940,22.75,22.75
1941,22.94,22.94
1942,22.81,22.81
1943,22.76,22.76
1944,22.50,22.50
1945,21.95,21.95
1946,23.23,23.23
1947,22.02,22.02
1948,22.59,22.59
1949,22.85,22.85
1950,22.68,22.68
1951,22.23,22.23
1952,22.89,22.89
1953,22.76,22.76
1954,22.67,22.67
1955,22.55,22.55
1956,22.37,22.37
1957,22.34,22.34
1958,22.69,22.69
1959,22.84,22.84
1960,22.83,22.83
1961,22.80,22.80
1962,22.35,22.35
1963,22.76,22.76
1964,22.59,22.59
1965,22.67,22.67
1966,23.16,23.16
1967,22.20,22.20
1968,22.38,22.38
1969,22.13,22.13
1970,22.11,22.11
1971,22.13,22.13
1972,22.36,22.36
1973,22.77,22.77
1974,22.24,22.24
1975,22.37,22.37
1976,21.93,21.93
1977,22.76,22.76
1978,22.49,22.49
1979,22.58,22.58
1980,22.67,22.67
1981,22.65,22.65
1982,22.50,22.50
1983,22.43,22.43
1984,21.86,21.86
1985,22.16,22.16
1986,22.53,22.53
1987,23.18,23.18
1988,22.38,22.38
1989,22.67,22.67
1990,22.91,22.91
1991,23.09,23.09
1992,22.35,22.35
1993,22.62,22.62
1994,23.05,23.05
1995,22.42,22.42
1996,22.49,22.49
1997,22.77,22.77
1998,23.54,23.54
1999,23.13,23.13
2000,22.89,22.89
2001,23.07,23.07
2002,23.37,23.37
2003,23.34,23.34
2004,22.94,22.94
2005,22.83,22.83
2006,23.25,23.25
2007,23.16,23.16
2008,22.47,22.47
2009,23.00,23.00
2010,22.80,22.80
2011,22.23,22.23
2012,22.65,22.65
2013,22.74,22.74
2014,23.12,23.12
2015,23.49,23.49
2016,23.33,23.33
2017,23.44,23.44
2018,23.40,23.40
2019,23.76,23.76
2020,23.77,23.77
2021,23.96,23.96
