Variable:,tas
,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1901,17.30,17.14,16.22,17.08,17.81,14.47,17.19,17.27,20.41,21.30,16.97,16.51,17.43,15.23,15.79,15.43
1902,17.13,16.93,16.14,16.88,17.67,14.35,17.06,17.11,20.16,21.08,16.82,16.31,17.21,15.00,15.74,15.37
1903,17.09,16.95,16.07,16.93,17.67,14.37,17.13,17.17,19.99,20.76,16.79,16.39,17.15,15.03,15.81,15.40
1904,17.30,17.23,16.45,17.18,17.81,14.71,17.49,17.41,20.00,20.67,16.92,16.70,17.26,15.27,16.18,15.77
1905,16.98,16.80,15.92,16.74,17.53,14.18,16.91,16.96,20.00,20.80,16.70,16.17,17.10,14.88,15.59,15.21
1906,17.05,16.88,16.00,16.90,17.65,14.30,17.09,17.15,19.99,20.76,16.78,16.34,17.13,15.00,15.75,15.33
1907,16.84,16.66,15.80,16.66,17.43,14.09,16.86,16.91,19.78,20.47,16.57,16.11,16.93,14.75,15.53,15.13
1908,17.04,16.87,16.08,16.87,17.61,14.37,17.16,17.12,19.92,20.62,16.72,16.36,17.07,14.95,15.85,15.43
1909,16.93,16.70,15.81,16.70,17.52,14.10,16.86,16.94,20.03,20.88,16.68,16.12,17.05,14.81,15.54,15.13
1910,16.92,16.72,15.89,16.68,17.47,14.14,16.87,16.91,19.94,20.76,16.64,16.13,17.02,14.80,15.55,15.17
1911,16.85,16.65,16.02,16.62,17.34,14.18,16.90,16.88,19.77,20.70,16.47,16.14,16.81,14.70,15.58,15.22
1912,16.89,16.67,15.89,16.65,17.45,14.11,16.86,16.89,19.91,20.78,16.60,16.11,16.97,14.75,15.53,15.16
1913,16.90,16.71,16.12,16.68,17.39,14.28,17.00,16.92,19.77,20.74,16.51,16.22,16.83,14.75,15.71,15.34
1914,16.71,16.48,15.85,16.55,17.32,14.04,16.80,16.83,19.58,20.64,16.41,16.04,16.67,14.58,15.49,15.10
1915,17.01,16.73,15.99,16.78,17.64,14.17,16.95,17.06,20.10,21.01,16.76,16.21,17.10,14.84,15.62,15.22
1916,16.90,16.67,15.97,16.67,17.48,14.16,16.91,16.94,19.88,20.63,16.61,16.14,16.96,14.74,15.59,15.21
1917,16.60,16.35,15.56,16.30,17.17,13.72,16.45,16.54,19.75,20.40,16.36,15.72,16.79,14.42,15.11,14.74
1918,16.77,16.60,15.77,16.63,17.41,14.00,16.81,16.90,19.63,20.14,16.52,16.09,16.87,14.70,15.46,15.03
1919,16.91,16.57,15.70,16.75,17.68,13.94,16.79,17.04,20.12,21.10,16.79,16.10,17.08,14.79,15.40,14.96
1920,17.02,16.88,16.09,16.91,17.69,14.30,17.07,17.19,19.79,20.37,16.76,16.37,17.07,14.97,15.71,15.32
1921,16.99,16.86,16.15,16.86,17.56,14.38,17.19,17.14,19.69,20.20,16.64,16.42,16.97,14.92,15.88,15.45
1922,16.97,16.75,16.00,16.78,17.61,14.20,16.95,17.05,19.92,20.64,16.72,16.22,17.05,14.84,15.63,15.25
1923,17.06,16.79,16.04,16.93,17.72,14.27,17.16,17.21,20.03,20.82,16.82,16.41,17.12,14.95,15.81,15.36
