Variable:,tas
,"Myanmar (Burma)",Rakhine,Chin,Ayeyawaddy,Kachin,Kayin,Kayar,Magway,Mandalay,Mon,Sagaing,Taninthayi,Yangon,"Bago (E)","Bago (W)","Shan (E)","Shan (N)","Shan (S)"
1901,23.50,25.17,20.93,27.54,19.20,25.56,23.83,25.82,25.69,26.71,23.40,26.70,27.87,26.86,26.97,21.90,21.14,22.05
1902,23.24,25.05,20.74,27.37,18.72,25.38,23.65,25.67,25.51,26.50,23.08,26.55,27.68,26.70,26.85,21.68,20.81,21.86
1903,23.32,25.10,20.91,27.23,19.06,25.14,23.59,25.72,25.60,26.24,23.34,26.24,27.49,26.59,26.81,21.69,21.01,21.89
1904,23.11,24.87,20.68,26.97,18.85,24.92,23.38,25.51,25.40,26.01,23.12,26.00,27.24,26.35,26.56,21.52,20.82,21.70
1905,23.17,24.80,20.38,27.37,18.56,25.70,23.72,25.44,25.33,26.85,22.80,26.98,27.81,26.75,26.77,21.74,20.71,21.81
1906,23.53,25.22,20.92,27.60,19.03,25.86,24.01,25.87,25.75,26.98,23.33,27.05,28.02,27.02,27.08,21.98,21.10,22.14
1907,23.18,24.93,20.74,27.07,18.88,25.07,23.51,25.59,25.47,26.14,23.17,26.13,27.35,26.46,26.66,21.62,20.89,21.80
1908,23.36,25.10,20.96,27.10,19.18,25.14,23.63,25.77,25.67,26.18,23.42,26.15,27.40,26.56,26.77,21.75,21.08,21.96
1909,23.47,25.18,21.12,27.12,19.39,25.15,23.67,25.87,25.78,26.19,23.60,26.17,27.42,26.59,26.80,21.81,21.24,22.03
1910,23.13,24.85,20.67,26.95,18.88,24.97,23.42,25.51,25.41,26.04,23.13,26.03,27.24,26.37,26.56,21.59,20.86,21.74
1911,23.15,24.86,20.59,27.15,18.70,25.34,23.56,25.51,25.39,26.44,23.00,26.51,27.51,26.55,26.67,21.65,20.76,21.78
1912,23.25,25.01,20.77,27.20,18.86,25.25,23.62,25.65,25.53,26.34,23.17,26.36,27.51,26.61,26.78,21.70,20.90,21.87
1913,23.13,24.89,20.61,27.11,18.80,25.08,23.49,25.53,25.42,26.17,23.05,26.19,27.39,26.47,26.66,21.58,20.82,21.76
1914,23.15,24.87,20.64,27.10,18.83,25.15,23.47,25.52,25.41,26.26,23.08,26.34,27.41,26.48,26.64,21.59,20.81,21.75
1915,23.50,25.26,21.23,27.22,19.44,25.12,23.64,25.91,25.80,26.19,23.68,26.20,27.46,26.60,26.83,21.77,21.24,22.00
1916,23.38,25.06,21.05,26.93,19.44,24.89,23.52,25.76,25.70,25.90,23.59,25.84,27.20,26.42,26.65,21.78,21.21,21.94
1917,23.16,24.84,20.74,26.82,19.10,24.81,23.38,25.55,25.48,25.84,23.28,25.82,27.10,26.29,26.52,21.59,20.96,21.76
1918,23.20,24.82,20.71,26.93,19.05,25.05,23.46,25.53,25.45,26.12,23.23,26.17,27.27,26.39,26.54,21.67,20.91,21.79
1919,23.69,25.32,21.21,27.41,19.62,25.45,23.93,26.02,25.95,26.51,23.76,26.51,27.71,26.85,27.01,22.12,21.47,22.27
1920,23.47,25.15,21.09,27.12,19.36,25.16,23.69,25.83,25.77,26.20,23.59,26.17,27.41,26.61,26.79,21.90,21.25,22.06
1921,23.50,25.16,21.10,27.05,19.52,25.02,23.72,25.86,25.84,26.01,23.67,25.89,27.30,26.56,26.78,22.01,21.42,22.14
1922,23.66,25.25,21.27,27.04,19.77,25.11,23.85,26.00,26.01,26.07,23.90,25.90,27.34,26.64,26.83,22.20,21.63,22.32
1923,23.49,25.13,21.14,26.92,19.63,24.89,23.62,25.85,25.82,25.87,23.73,25.77,27.16,26.44,26.67,22.05,21.45,22.09
1924,23.64,25.35,21.33,27.14,19.71,25.08,23.78,26.04,25.98,26.07,23.88,25.98,27.37,26.63,26.87,22.12,21.52,22.23
1925,23.12,24.81,20.64,26.91,18.94,24.92,23.43,25.49,25.41,25.96,23.15,25.92,27.19,26.35,26.55,21.62,20.88,21.74
1926,23.63,25.17,21.08,27.25,19.62,25.36,23.85,25.87,25.88,26.40,23.69,26.39,27.57,26.74,26.88,22.21,21.53,22.27
1927,23.38,24.96,20.88,26.97,19.40,25.01,23.55,25.66,25.64,26.04,23.49,26.00,27.25,26.44,26.61,21.98,21.29,22.00
1928,23.66,25.25,21.22,27.18,19.73,25.23,23.84,25.96,25.96,26.23,23.84,26.12,27.47,26.69,26.86,22.19,21.58,22.28
1929,23.58,25.14,21.06,27.13,19.56,25.23,23.84,25.88,25.91,26.21,23.69,26.05,27.44,26.68,26.82,22.21,21.52,22.28
1930,23.49,25.08,20.98,27.12,19.44,25.17,23.76,25.78,25.79,26.19,23.57,26.12,27.43,26.63,26.79,22.07,21.36,22.17
1931,23.87,25.45,21.37,27.43,19.85,25.49,24.16,26.17,26.17,26.48,23.95,26.36,27.74,26.98,27.15,22.49,21.79,22.57
1932,23.62,25.30,21.24,27.24,19.52,25.30,23.90,25.99,25.93,26.31,23.74,26.27,27.55,26.78,26.96,22.09,21.41,22.25
1933,23.67,25.12,21.06,27.20,19.84,25.30,23.88,25.86,25.90,26.31,23.77,26.35,27.52,26.73,26.88,22.26,21.58,22.31
1934,23.51,25.13,21.09,27.11,19.54,25.13,23.73,25.83,25.78,26.14,23.65,26.13,27.41,26.61,26.81,22.00,21.34,22.10
1935,23.77,25.30,21.26,27.36,19.80,25.52,24.05,26.02,26.00,26.52,23.86,26.50,27.71,26.91,27.04,22.32,21.60,22.39
1936,23.48,25.11,21.06,27.16,19.45,25.20,23.69,25.81,25.75,26.24,23.62,26.28,27.47,26.63,26.80,21.86,21.22,22.05
1937,23.70,25.18,21.17,27.22,19.85,25.31,23.90,25.94,25.96,26.34,23.87,26.28,27.55,26.74,26.90,22.20,21.57,22.31
1938,23.36,25.02,21.12,26.84,19.55,24.77,23.41,25.69,25.64,25.78,23.69,25.77,27.07,26.26,26.50,21.69,21.16,21.86
1939,23.31,25.06,21.14,26.83,19.45,24.65,23.31,25.71,25.62,25.66,23.63,25.77,27.01,26.17,26.48,21.60,21.09,21.81
