Variable:,tas
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1901,23.55,24.69,23.03,23.17,22.83,24.43,22.74,24.14,23.61,23.85,22.47,23.09
1902,23.87,24.98,23.24,23.44,23.30,24.62,23.05,24.63,24.01,24.22,22.52,23.40
1903,23.95,24.87,23.36,23.55,23.49,24.59,23.05,24.82,24.20,24.36,22.63,23.42
1904,23.31,24.58,22.83,23.01,22.43,24.37,22.60,23.78,23.13,23.60,22.34,22.95
1905,23.86,24.91,23.21,23.41,23.31,24.61,23.03,24.65,24.02,24.26,22.51,23.36
1906,23.41,24.58,22.80,23.03,22.60,24.43,22.68,23.96,23.33,23.80,22.19,23.03
1907,23.26,24.65,22.58,22.83,22.30,24.42,22.66,23.68,23.05,23.65,21.98,22.97
1908,23.75,24.91,23.09,23.30,23.11,24.59,22.95,24.46,23.83,24.15,22.40,23.28
1909,23.57,24.74,22.92,23.14,22.81,24.52,22.85,24.17,23.56,24.00,22.27,23.19
1910,23.17,24.61,22.27,22.41,22.18,24.40,22.64,23.56,23.13,23.68,21.67,22.96
1911,23.23,24.78,22.42,22.55,22.24,24.42,22.69,23.60,23.11,23.64,21.88,22.98
1912,23.76,24.87,23.14,23.24,23.03,24.63,22.98,24.36,23.94,24.20,22.54,23.32
1913,23.90,25.03,23.36,23.45,23.22,24.65,23.10,24.51,24.09,24.23,22.76,23.44
1914,24.22,25.10,23.57,23.67,23.56,24.84,23.49,24.88,24.58,24.69,22.91,23.94
1915,23.96,25.09,23.14,23.28,23.15,24.81,23.39,24.49,24.17,24.49,22.49,23.80
1916,23.96,25.06,23.22,23.36,23.23,24.70,23.32,24.57,24.19,24.43,22.52,23.70
1917,23.80,25.04,22.88,23.03,22.99,24.65,23.25,24.33,24.08,24.31,22.11,23.62
1918,23.35,24.99,22.59,22.74,22.32,24.51,22.82,23.72,23.08,23.75,22.07,23.05
1919,23.50,25.01,22.79,22.89,22.54,24.57,22.90,23.91,23.36,23.89,22.31,23.16
1920,23.97,25.08,23.21,23.35,23.17,24.75,23.39,24.54,24.11,24.49,22.55,23.78
1921,23.67,25.03,22.82,22.98,22.78,24.63,23.13,24.14,23.71,24.14,22.14,23.46
1922,24.20,25.08,23.55,23.63,23.58,24.75,23.50,24.89,24.61,24.68,22.87,23.94
1923,23.94,25.06,23.33,23.42,23.17,24.75,23.24,24.50,24.04,24.36,22.80,23.59
1924,23.65,25.04,22.76,22.89,22.75,24.67,23.10,24.10,23.76,24.15,22.09,23.43
1925,23.58,25.03,22.90,23.04,22.62,24.64,22.99,24.01,23.42,24.00,22.40,23.27
1926,23.87,25.18,23.14,23.27,23.00,24.96,23.22,24.37,23.82,24.34,22.58,23.51
1927,23.62,24.98,23.05,23.15,22.77,24.58,22.92,24.13,23.53,23.96,22.61,23.22
1928,24.00,25.26,23.25,23.34,23.22,24.96,23.31,24.55,24.11,24.45,22.62,23.59
1929,23.96,25.34,23.10,23.24,23.10,25.06,23.33,24.45,24.00,24.43,22.50,23.56
1930,23.50,24.95,22.73,22.84,22.59,24.53,22.92,23.95,23.46,23.91,22.17,23.23
1931,24.20,25.38,23.54,23.66,23.45,25.07,23.45,24.79,24.31,24.62,22.96,23.66
1932,23.70,24.99,23.24,23.32,22.92,24.50,22.95,24.26,23.64,23.97,22.83,23.26
1933,23.61,24.93,23.13,23.22,22.80,24.44,22.87,24.14,23.57,23.89,22.72,23.18
1934,23.86,25.03,23.44,23.52,23.14,24.63,23.03,24.46,23.85,24.17,22.97,23.28
1935,23.23,24.71,22.55,22.62,22.36,24.14,22.66,23.65,23.29,23.45,22.04,22.98
1936,23.52,24.96,22.89,23.01,22.66,24.47,22.88,24.01,23.46,23.83,22.38,23.17
1937,23.69,25.00,23.16,23.25,22.87,24.61,22.97,24.24,23.59,24.05,22.69,23.24
1938,23.87,25.12,23.33,23.44,23.08,24.76,23.13,24.41,23.87,24.21,22.87,23.42
1939,23.36,24.84,22.71,22.85,22.45,24.36,22.74,23.84,23.24,23.69,22.27,23.04
1940,23.89,25.06,23.48,23.60,23.16,24.65,23.10,24.52,23.79,24.22,23.05,23.38
1941,24.31,25.39,23.97,24.08,23.60,25.07,23.49,24.95,24.20,24.65,23.51,23.76
1942,24.12,25.34,23.56,23.68,23.41,24.97,23.36,24.75,24.12,24.50,23.03,23.59
1943,23.73,25.02,23.09,23.28,23.01,24.57,23.01,24.36,23.69,24.10,22.43,23.28
1944,23.97,25.16,23.54,23.62,23.24,24.76,23.18,24.58,23.92,24.30,23.09,23.47
1945,23.48,24.87,23.02,23.07,22.63,24.34,22.77,23.96,23.40,23.73,22.65,23.08
1946,23.75,24.91,23.51,23.53,23.01,24.45,22.92,24.31,23.67,23.98,23.14,23.23
1947,23.98,25.13,23.62,23.71,23.31,24.72,23.13,24.62,23.93,24.26,23.11,23.39
