Variable:,tas
,Mauritania,Adrar,Assaba,Brakna,Dakhlet-Nouadhibou,Gorgol,Guidimakha,"Hodh Ech Chargi","Hodh El Gharbi",Inchiri,Nouakchott,Tagant,Tiris-Zemmour,Trarza
1901,27.93,28.31,29.67,29.52,24.71,29.81,29.66,28.82,29.53,26.99,26.95,29.15,25.91,28.39
1902,28.31,28.66,30.21,30.11,25.00,30.31,30.11,29.54,30.04,27.39,27.53,29.75,25.86,28.97
1903,28.08,28.47,29.92,29.74,24.88,29.95,29.80,29.31,29.81,27.18,27.26,29.45,25.65,28.64
1904,28.06,28.46,29.78,29.57,24.67,29.78,29.62,29.47,29.73,27.00,27.03,29.42,25.64,28.46
1905,28.02,28.41,29.84,29.67,24.84,29.91,29.75,29.13,29.66,27.13,27.15,29.34,25.70,28.55
1906,27.98,28.38,29.88,29.77,24.95,30.00,29.82,28.94,29.61,27.24,27.30,29.31,25.67,28.68
1907,27.58,28.05,29.17,28.97,24.13,29.23,29.10,28.77,29.08,26.43,26.34,28.78,25.46,27.80
1908,28.27,28.63,30.20,30.05,25.02,30.24,30.07,29.55,30.06,27.39,27.53,29.76,25.70,28.94
1909,28.19,28.56,29.91,29.71,24.83,29.92,29.76,29.58,29.86,27.15,27.20,29.53,25.82,28.60
1910,28.09,28.46,30.00,29.87,24.90,30.10,29.93,29.20,29.80,27.23,27.33,29.47,25.71,28.75
1911,27.88,28.32,29.74,29.67,24.87,29.88,29.68,28.77,29.45,27.17,27.15,29.19,25.60,28.58
1912,28.19,28.56,30.10,29.96,24.95,30.19,30.03,29.41,29.91,27.30,27.36,29.60,25.73,28.81
1913,28.12,28.54,30.02,29.97,25.16,30.14,29.93,29.08,29.82,27.47,27.49,29.53,25.68,28.90
1914,27.97,28.41,29.80,29.65,24.78,29.86,29.70,29.21,29.65,27.09,27.06,29.36,25.48,28.51
1915,27.97,28.31,29.97,30.01,25.13,30.21,29.98,28.63,29.67,27.44,27.56,29.33,25.69,28.96
1916,27.56,27.99,29.50,29.47,24.66,29.69,29.49,27.93,29.24,26.96,26.98,28.91,25.52,28.39
1917,27.55,27.97,29.40,29.31,24.41,29.57,29.38,28.20,29.23,26.70,26.75,28.86,25.48,28.19
1918,27.60,28.04,29.65,29.73,24.61,29.89,29.64,28.07,29.35,26.98,27.28,29.05,25.32,28.67
1919,28.40,28.73,30.39,30.36,25.33,30.45,30.20,29.54,30.16,27.70,27.97,29.91,25.80,29.33
1920,27.82,28.20,29.62,29.39,24.25,29.64,29.51,29.39,29.59,26.59,26.84,29.19,25.28,28.27
1921,27.94,28.37,29.73,29.51,24.47,29.71,29.56,29.46,29.72,26.82,26.96,29.39,25.35,28.38
1922,27.66,28.11,29.30,29.05,24.26,29.33,29.22,28.82,29.31,26.54,26.43,28.94,25.49,27.88
1923,28.04,28.48,29.91,29.82,24.85,29.99,29.79,28.90,29.68,27.23,27.29,29.49,25.75,28.72
1924,28.00,28.37,29.70,29.53,24.66,29.70,29.50,29.29,29.62,26.98,27.05,29.33,25.70,28.44
1925,27.91,28.26,29.74,29.53,24.58,29.73,29.57,29.27,29.67,26.93,27.01,29.33,25.45,28.42
1926,28.38,28.81,30.09,30.13,25.42,30.20,29.95,29.14,29.61,27.72,27.72,29.62,26.32,29.09
1927,27.95,28.40,29.62,29.77,25.16,29.77,29.46,28.56,29.07,27.44,27.41,29.18,25.94,28.76
1928,27.77,28.19,29.39,29.36,24.74,29.47,29.22,28.56,29.15,27.02,26.99,28.98,25.76,28.35
1929,27.59,27.94,29.30,29.23,24.52,29.38,29.16,28.49,28.91,26.78,26.76,28.82,25.57,28.15
1930,27.72,28.15,29.30,29.17,24.29,29.35,29.17,28.67,29.02,26.62,26.61,28.96,25.79,28.04
1931,28.24,28.61,30.00,29.80,24.89,29.98,29.81,29.52,29.94,27.24,27.22,29.63,25.90,28.66
1932,27.92,28.35,29.73,29.66,24.76,29.80,29.59,28.95,29.56,27.09,27.23,29.29,25.56,28.62
1933,27.87,28.18,29.78,29.63,24.78,29.84,29.66,28.80,29.55,27.09,27.15,29.21,25.66,28.54
1934,28.10,28.50,30.04,29.78,24.86,29.99,29.76,29.18,29.76,27.26,27.22,29.56,25.75,28.65
1935,28.54,29.03,30.12,29.88,24.92,30.05,29.88,30.05,30.15,27.33,27.31,29.94,26.12,28.74
1936,28.42,28.87,30.16,29.99,25.07,30.14,29.94,29.72,30.09,27.46,27.53,29.85,25.95,28.92
1937,28.54,28.81,30.22,30.02,25.25,30.22,30.06,29.86,30.18,27.54,27.53,29.81,26.34,28.93
1938,28.43,28.72,30.20,29.99,24.92,30.19,30.03,30.02,30.24,27.30,27.44,29.85,25.94,28.87
1939,28.27,28.62,30.03,29.79,24.70,30.00,29.85,29.94,30.09,27.08,27.19,29.74,25.68,28.64
1940,28.24,28.60,29.90,29.68,24.85,29.89,29.74,29.51,29.86,27.16,27.13,29.53,26.06,28.55
1941,28.34,28.69,30.16,29.89,24.91,30.11,30.05,29.74,30.00,27.30,27.34,29.74,25.92,28.76
1942,28.08,28.39,29.82,29.55,24.52,29.78,29.69,29.63,29.72,26.92,26.95,29.44,25.71,28.38
1943,27.99,28.40,29.73,29.61,24.79,29.73,29.57,29.23,29.47,27.12,27.13,29.36,25.64,28.52
1944,28.32,28.71,30.15,29.96,25.06,30.17,30.03,29.65,29.98,27.42,27.46,29.74,25.82,28.87
1945,28.60,29.02,30.43,30.30,25.57,30.47,30.32,29.61,30.17,27.86,27.88,30.00,26.27,29.26
1946,28.09,28.48,29.92,29.68,24.82,29.92,29.82,29.35,29.74,27.15,27.12,29.52,25.69,28.56
1947,28.47,28.84,30.18,29.90,25.08,30.09,30.03,29.81,30.12,27.40,27.30,29.85,26.19,28.77
