Variable:,tas
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1901,24.80,24.80,24.80,24.80,24.80,24.80,24.80,24.80
1902,24.42,24.42,24.42,24.42,24.42,24.42,24.42,24.42
1903,24.51,24.51,24.51,24.51,24.51,24.51,24.51,24.51
1904,24.03,24.03,24.03,24.03,24.03,24.03,24.03,24.03
1905,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.38
1906,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19
1907,23.90,23.90,23.90,23.90,23.90,23.90,23.90,23.90
1908,24.10,24.10,24.10,24.10,24.10,24.10,24.10,24.10
1909,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99
1910,23.98,23.98,23.98,23.98,23.98,23.98,23.98,23.98
1911,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
1912,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.32
1913,23.69,23.69,23.69,23.69,23.69,23.69,23.69,23.69
1914,24.04,24.04,24.04,24.04,24.04,24.04,24.04,24.04
1915,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60
1916,24.14,24.14,24.14,24.14,24.14,24.14,24.14,24.14
1917,23.99,23.99,23.99,23.99,23.99,23.99,23.99,23.99
1918,24.07,24.07,24.07,24.07,24.07,24.07,24.07,24.07
1919,24.11,24.11,24.11,24.11,24.11,24.11,24.11,24.11
1920,23.94,23.94,23.94,23.94,23.94,23.94,23.94,23.94
1921,24.01,24.01,24.01,24.01,24.01,24.01,24.01,24.01
1922,23.87,23.87,23.87,23.87,23.87,23.87,23.87,23.87
1923,24.25,24.25,24.25,24.25,24.25,24.25,24.25,24.25
1924,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56
1925,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19
1926,24.70,24.70,24.70,24.70,24.70,24.70,24.70,24.70
1927,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.32
1928,24.37,24.37,24.37,24.37,24.37,24.37,24.37,24.37
1929,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05
1930,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26
1931,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93
1932,24.93,24.93,24.93,24.93,24.93,24.93,24.93,24.93
1933,24.57,24.57,24.57,24.57,24.57,24.57,24.57,24.57
1934,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47
1935,24.32,24.32,24.32,24.32,24.32,24.32,24.32,24.32
1936,24.59,24.59,24.59,24.59,24.59,24.59,24.59,24.59
1937,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86
1938,24.39,24.39,24.39,24.39,24.39,24.39,24.39,24.39
1939,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56
1940,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16
1941,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
1942,25.28,25.28,25.28,25.28,25.28,25.28,25.28,25.28
1943,24.70,24.70,24.70,24.70,24.70,24.70,24.70,24.70
1944,24.87,24.87,24.87,24.87,24.87,24.87,24.87,24.87
1945,24.43,24.43,24.43,24.43,24.43,24.43,24.43,24.43
1946,24.56,24.56,24.56,24.56,24.56,24.56,24.56,24.56
1947,24.87,24.87,24.87,24.87,24.87,24.87,24.87,24.87
1948,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86
1949,24.58,24.58,24.58,24.58,24.58,24.58,24.58,24.58
1950,24.38,24.38,24.38,24.38,24.38,24.38,24.38,24.38
1951,24.90,24.90,24.90,24.90,24.90,24.90,24.90,24.90
1952,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95
1953,24.82,24.82,24.82,24.82,24.82,24.82,24.82,24.82
1954,24.65,24.65,24.65,24.65,24.65,24.65,24.65,24.65
1955,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64
1956,24.50,24.50,24.50,24.50,24.50,24.50,24.50,24.50
1957,24.71,24.71,24.71,24.71,24.71,24.71,24.71,24.71
1958,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
1959,24.84,24.84,24.84,24.84,24.84,24.84,24.84,24.84
1960,25.07,25.07,25.07,25.07,25.07,25.07,25.07,25.07
1961,24.87,24.87,24.87,24.87,24.87,24.87,24.87,24.87
1962,24.92,24.92,24.92,24.92,24.92,24.92,24.92,24.92
1963,25.06,25.06,25.06,25.06,25.06,25.06,25.06,25.06
1964,24.91,24.91,24.91,24.91,24.91,24.91,24.91,24.91
1965,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79
1966,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
1967,24.76,24.76,24.76,24.76,24.76,24.76,24.76,24.76
1968,24.83,24.83,24.83,24.83,24.83,24.83,24.83,24.83
1969,25.31,25.31,25.31,25.31,25.31,25.31,25.31,25.31
1970,25.14,25.14,25.14,25.14,25.14,25.14,25.14,25.14
1971,24.78,24.78,24.78,24.78,24.78,24.78,24.78,24.78
1972,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
1973,25.09,25.09,25.09,25.09,25.09,25.09,25.09,25.09
1974,24.74,24.74,24.74,24.74,24.74,24.74,24.74,24.74
1975,24.77,24.77,24.77,24.77,24.77,24.77,24.77,24.77
1976,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64
1977,25.16,25.16,25.16,25.16,25.16,25.16,25.16,25.16
1978,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.27
1979,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.26
1980,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65
1981,25.63,25.63,25.63,25.63,25.63,25.63,25.63,25.63
1982,25.26,25.26,25.26,25.26,25.26,25.26,25.26,25.26
1983,25.83,25.83,25.83,25.83,25.83,25.83,25.83,25.83
1984,25.27,25.27,25.27,25.27,25.27,25.27,25.27,25.27
1985,25.20,25.20,25.20,25.20,25.20,25.20,25.20,25.20
1986,25.35,25.35,25.35,25.35,25.35,25.35,25.35,25.35
1987,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90
1988,25.55,25.55,25.55,25.55,25.55,25.55,25.55,25.55
1989,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
1990,25.54,25.54,25.54,25.54,25.54,25.54,25.54,25.54
1991,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58
1992,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
1993,25.69,25.69,25.69,25.69,25.69,25.69,25.69,25.69
1994,25.54,25.54,25.54,25.54,25.54,25.54,25.54,25.54
1995,25.73,25.73,25.73,25.73,25.73,25.73,25.73,25.73
1996,25.47,25.47,25.47,25.47,25.47,25.47,25.47,25.47
1997,25.64,25.64,25.64,25.64,25.64,25.64,25.64,25.64
1998,26.04,26.04,26.04,26.04,26.04,26.04,26.04,26.04
1999,25.54,25.54,25.54,25.54,25.54,25.54,25.54,25.54
2000,25.32,25.32,25.32,25.32,25.32,25.32,25.32,25.32
2001,25.68,25.68,25.68,25.68,25.68,25.68,25.68,25.68
2002,25.87,25.87,25.87,25.87,25.87,25.87,25.87,25.87
2003,25.75,25.75,25.75,25.75,25.75,25.75,25.75,25.75
2004,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50
2005,25.90,25.90,25.90,25.90,25.90,25.90,25.90,25.90
2006,25.72,25.72,25.72,25.72,25.72,25.72,25.72,25.72
2007,25.68,25.68,25.68,25.68,25.68,25.68,25.68,25.68
2008,25.40,25.40,25.40,25.40,25.40,25.40,25.40,25.40
2009,25.83,25.83,25.83,25.83,25.83,25.83,25.83,25.83
