Variable:,tas
1901,25.60
1902,25.36
1903,25.42
1904,25.08
1905,25.30
1906,25.23
1907,25.04
1908,25.14
1909,25.09
1910,25.07
1911,25.13
1912,25.31
1913,24.91
1914,25.08
1915,25.44
1916,25.12
1917,25.14
1918,25.19
1919,25.15
1920,25.04
1921,25.15
1922,25.03
1923,25.21
1924,25.35
1925,25.22
1926,25.54
1927,25.25
1928,25.29
1929,25.10
1930,25.23
1931,25.67
1932,25.69
1933,25.39
1934,25.36
1935,25.04
1936,25.27
1937,25.59
1938,25.14
1939,25.27
1940,25.92
1941,25.99
1942,26.00
1943,25.43
1944,25.60
1945,25.22
1946,25.32
1947,25.58
1948,25.53
1949,25.25
1950,25.03
1951,25.45
1952,25.52
1953,25.37
1954,25.11
1955,25.18
1956,25.18
1957,25.42
1958,25.90
1959,25.63
1960,25.74
1961,25.67
1962,25.59
1963,25.81
1964,25.51
1965,25.53
1966,25.68
1967,25.40
1968,25.50
1969,26.12
1970,25.80
1971,25.33
1972,25.58
1973,25.82
1974,25.49
1975,25.49
1976,25.40
1977,25.85
1978,25.94
1979,26.01
1980,26.27
1981,26.18
1982,25.81
1983,26.27
1984,25.77
1985,25.68
1986,25.87
1987,26.67
1988,26.31
1989,25.82
1990,26.17
1991,26.22
1992,26.09
1993,26.41
1994,26.11
1995,26.36
1996,26.12
1997,26.29
1998,26.81
1999,26.33
2000,26.04
2001,26.41
2002,26.56
2003,26.49
2004,26.25
2005,26.65
2006,26.44
2007,26.34
2008,26.10
2009,26.52
2010,26.80
2011,26.45
2012,26.46
2013,26.55
2014,26.53
2015,26.74
2016,26.72
2017,26.56
2018,26.21
2019,26.52
2020,26.59
2021,26.45
