Variable:,tas
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1901,21.79,21.00,20.46,22.83,23.18
1902,22.16,21.39,20.76,23.25,23.51
1903,22.22,21.47,20.72,23.42,23.49
1904,21.56,20.72,20.36,22.48,23.03
1905,22.13,21.37,20.67,23.29,23.44
1906,21.67,20.87,20.34,22.69,23.08
1907,21.55,20.73,20.28,22.52,23.01
1908,22.01,21.23,20.59,23.12,23.35
1909,21.86,21.08,20.48,22.94,23.22
1910,21.58,20.76,20.28,22.59,23.00
1911,21.58,20.75,20.32,22.53,23.05
1912,22.07,21.32,20.60,23.22,23.36
1913,22.18,21.46,20.68,23.33,23.47
1914,22.66,22.02,21.05,23.89,23.87
1915,22.46,21.76,20.96,23.59,23.75
1916,22.40,21.70,20.88,23.55,23.68
1917,22.30,21.60,20.80,23.44,23.59
1918,21.65,20.78,20.41,22.62,23.14
1919,21.81,20.98,20.49,22.83,23.24
1920,22.43,21.70,20.93,23.59,23.74
1921,22.11,21.32,20.74,23.15,23.51
1922,22.68,22.03,21.07,23.92,23.89
1923,22.29,21.56,20.83,23.43,23.61
1924,22.11,21.33,20.73,23.18,23.50
1925,21.91,21.07,20.62,22.92,23.37
1926,22.18,21.40,20.78,23.29,23.56
1927,21.91,21.10,20.59,22.94,23.33
1928,22.30,21.55,20.82,23.45,23.62
1929,22.23,21.49,20.73,23.39,23.54
1930,21.87,21.06,20.55,22.89,23.29
1931,22.43,21.70,20.87,23.65,23.70
1932,21.95,21.16,20.59,23.00,23.34
1933,21.85,21.08,20.48,22.90,23.24
1934,21.99,21.27,20.47,23.18,23.29
1935,21.63,20.87,20.32,22.58,23.06
1936,21.82,21.04,20.46,22.86,23.23
1937,21.92,21.15,20.48,23.04,23.28
1938,22.12,21.37,20.69,23.23,23.46
1939,21.68,20.87,20.35,22.70,23.11
1940,22.08,21.30,20.66,23.19,23.44
1941,22.46,21.69,21.01,23.60,23.81
1942,22.31,21.55,20.82,23.48,23.63
1943,21.97,21.20,20.56,23.08,23.34
1944,22.17,21.41,20.73,23.30,23.51
1945,21.76,20.96,20.44,22.77,23.18
1946,21.94,21.16,20.55,23.01,23.31
1947,22.11,21.36,20.64,23.26,23.44
1948,22.21,21.42,20.82,23.30,23.60
1949,22.50,21.68,21.18,23.52,23.90
1950,21.81,21.02,20.38,22.94,23.19
1951,22.00,21.18,20.56,23.13,23.39
1952,22.14,21.32,20.75,23.23,23.55
1953,22.04,21.21,20.74,23.05,23.51
1954,22.10,21.29,20.69,23.20,23.52
1955,21.92,21.12,20.55,22.96,23.36
1956,21.69,20.88,20.22,22.84,23.10
1957,22.34,21.57,20.81,23.54,23.70
1958,22.30,21.50,20.89,23.39,23.75
1959,22.32,21.52,20.88,23.43,23.74
1960,22.08,21.30,20.64,23.21,23.47
1961,22.17,21.33,20.78,23.29,23.59
1962,21.80,20.98,20.35,22.95,23.18
1963,21.48,20.66,20.14,22.52,22.91
