Variable:,tas
1901,24.59
1902,24.84
1903,24.66
1904,24.61
1905,24.81
1906,24.64
1907,24.62
1908,24.84
1909,24.68
1910,24.56
1911,24.62
1912,24.93
1913,24.89
1914,24.99
1915,25.02
1916,24.65
1917,24.60
1918,24.77
1919,24.92
1920,24.76
1921,24.70
1922,24.54
1923,25.11
1924,24.96
1925,25.04
1926,25.38
1927,24.91
1928,25.00
1929,25.08
1930,24.77
1931,24.45
1932,24.66
1933,24.66
1934,24.52
1935,24.70
1936,24.83
1937,24.86
1938,24.87
1939,24.86
1940,24.44
1941,24.81
1942,24.70
1943,24.24
1944,24.83
1945,24.86
1946,24.68
1947,24.78
1948,24.90
1949,24.70
1950,24.63
1951,24.67
1952,24.65
1953,24.68
1954,24.59
1955,24.49
1956,24.28
1957,24.45
1958,24.68
1959,24.47
1960,24.39
1961,25.07
1962,24.55
1963,24.35
1964,24.28
1965,24.19
1966,24.81
1967,24.73
1968,24.26
1969,24.96
1970,24.73
1971,24.07
1972,24.37
1973,24.31
1974,23.89
1975,24.07
1976,24.21
1977,24.64
1978,24.48
1979,24.50
1980,24.51
1981,24.36
1982,24.49
1983,24.62
1984,23.97
1985,24.14
1986,24.26
1987,24.80
1988,24.74
1989,24.17
1990,24.60
1991,24.43
1992,24.49
1993,24.41
1994,24.77
1995,24.66
1996,24.46
1997,24.79
1998,25.01
1999,24.62
2000,24.61
2001,24.69
2002,24.67
2003,24.76
2004,24.60
2005,24.91
2006,24.74
2007,25.14
2008,24.69
2009,25.08
2010,25.15
2011,25.04
2012,24.91
2013,24.93
2014,24.99
2015,25.19
2016,24.95
2017,25.25
2018,25.04
2019,25.40
2020,25.30
2021,25.08
