Variable:,tas
,Niger,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
1901,27.35,26.40,27.96,29.00,28.12,29.09,28.82,29.12,28.09
1902,27.38,26.40,27.96,29.13,28.12,29.29,28.90,29.32,28.10
1903,27.44,26.42,27.96,29.37,28.13,29.65,29.07,29.73,28.10
1904,27.43,26.40,27.94,29.37,28.12,29.64,29.06,29.72,28.08
1905,27.27,26.33,27.95,28.86,27.74,29.12,28.61,29.20,27.93
1906,27.55,26.50,27.97,29.51,28.58,29.65,29.28,29.69,28.30
1907,27.38,26.40,27.96,29.10,28.11,29.29,28.88,29.36,28.10
1908,27.40,26.39,27.94,29.21,28.13,29.43,28.95,29.50,28.09
1909,27.33,26.36,27.95,29.04,27.87,29.32,28.77,29.39,27.99
1910,27.48,26.46,27.96,29.34,28.40,29.49,29.12,29.54,28.22
1911,27.31,26.38,27.96,28.82,28.05,28.92,28.67,28.97,28.07
1912,27.47,26.45,27.94,29.36,28.38,29.52,29.12,29.57,28.20
1913,27.59,26.53,27.97,29.64,28.68,29.72,29.41,29.76,28.35
1914,27.70,26.58,27.97,29.92,28.95,30.04,29.67,30.09,28.46
1915,27.32,26.39,27.96,28.87,28.11,28.87,28.73,28.90,28.10
1916,27.22,26.36,27.94,28.51,28.08,28.33,28.48,28.32,28.08
1917,27.27,26.38,27.96,28.67,28.10,28.56,28.59,28.58,28.10
1918,27.25,26.38,27.96,28.56,28.09,28.39,28.52,28.39,28.10
1919,27.45,26.42,27.96,29.37,28.13,29.65,29.07,29.73,28.10
1920,27.43,26.40,27.94,29.38,28.12,29.66,29.06,29.73,28.08
1921,27.44,26.42,27.96,29.37,28.13,29.65,29.07,29.73,28.10
1922,27.36,26.40,27.96,29.01,28.12,29.09,28.82,29.13,28.10
1923,27.72,26.72,28.53,29.27,28.42,29.31,29.12,29.33,28.61
1924,27.63,26.60,28.27,29.39,28.30,29.61,29.17,29.69,28.42
1925,26.99,26.07,27.47,28.75,27.45,29.08,28.46,29.16,27.46
1926,27.79,26.82,28.46,29.39,28.43,29.49,29.21,29.53,28.57
1927,27.85,26.97,28.64,29.05,28.43,29.07,29.04,29.10,28.77
1928,27.56,26.67,28.16,28.98,28.09,29.10,28.92,29.17,28.28
1929,27.34,26.50,27.89,28.71,27.77,28.85,28.66,28.92,27.96
1930,28.46,27.56,29.08,29.79,29.17,29.78,29.82,29.82,29.39
1931,28.70,27.73,29.42,30.21,29.33,30.29,30.03,30.31,29.66
1932,27.76,26.69,28.52,29.61,28.57,29.73,29.25,29.75,28.64
1933,27.58,26.54,28.16,29.51,28.38,29.63,29.18,29.65,28.32
1934,27.95,26.89,28.49,29.87,28.94,29.95,29.60,29.96,28.82
1935,28.19,27.07,28.67,30.21,29.07,30.45,29.97,30.51,29.02
1936,27.84,26.87,28.41,29.53,28.40,29.79,29.33,29.87,28.56
1937,28.19,26.96,28.66,30.54,29.22,30.87,30.12,30.95,29.06
1938,28.67,27.36,29.41,30.97,29.68,31.25,30.52,31.31,29.73
1939,28.21,27.01,28.95,30.30,29.03,30.57,29.90,30.63,29.13
1940,27.43,26.40,27.94,29.39,28.12,29.68,29.06,29.74,28.08
1941,28.50,27.39,29.09,30.30,29.44,30.45,30.16,30.53,29.46
1942,28.12,27.00,28.71,30.07,29.02,30.27,29.89,30.34,28.97
1943,27.48,26.44,27.98,29.43,28.27,29.65,29.19,29.71,28.14
1944,27.45,26.35,27.93,29.60,28.27,29.89,29.24,29.96,28.12
1945,26.96,25.93,27.41,29.04,27.66,29.36,28.66,29.43,27.48
1946,27.30,26.32,27.74,29.19,27.96,29.44,28.92,29.52,27.86
1947,27.62,26.67,27.91,29.63,28.27,29.95,29.28,30.02,28.09
1948,26.86,25.85,27.29,28.91,27.56,29.21,28.56,29.29,27.36
1949,27.48,26.37,27.76,29.75,28.43,30.04,29.42,30.11,28.15
1950,26.66,25.62,27.17,28.67,27.39,28.96,28.23,28.99,27.36
1951,27.47,26.52,27.85,29.39,27.96,29.69,29.06,29.76,27.98
1952,26.94,25.93,27.46,29.00,27.61,29.30,28.47,29.21,27.58
1953,26.96,25.99,27.46,28.89,27.54,29.16,28.42,29.16,27.56
