Variable:,tas
,"Norfolk Island","Administrative unit not available"
1901,18.93,18.93
1902,18.61,18.61
1903,18.95,18.95
1904,18.51,18.51
1905,18.62,18.62
1906,18.77,18.77
1907,19.01,19.01
1908,18.80,18.80
1909,19.09,19.09
1910,19.38,19.38
1911,18.76,18.76
1912,18.68,18.68
1913,18.72,18.72
1914,18.77,18.77
1915,19.56,19.56
1916,19.55,19.55
1917,19.07,19.07
1918,18.64,18.64
1919,18.61,18.61
1920,18.88,18.88
1921,19.02,19.02
1922,19.00,19.00
1923,18.66,18.66
1924,18.68,18.68
1925,18.52,18.52
1926,18.69,18.69
1927,18.84,18.84
1928,18.77,18.77
1929,19.06,19.06
1930,18.63,18.63
1931,19.23,19.23
1932,18.90,18.90
1933,19.24,19.24
1934,18.70,18.70
1935,18.88,18.88
1936,18.66,18.66
1937,18.59,18.59
1938,19.28,19.28
1939,18.61,18.61
1940,17.99,17.99
1941,18.38,18.38
1942,19.04,19.04
1943,18.61,18.61
1944,18.57,18.57
1945,18.27,18.27
1946,18.86,18.86
1947,18.52,18.52
1948,18.93,18.93
1949,18.72,18.72
1950,19.21,19.21
1951,18.23,18.23
1952,18.60,18.60
1953,18.73,18.73
1954,18.83,18.83
1955,19.17,19.17
1956,18.88,18.88
1957,18.45,18.45
1958,18.90,18.90
1959,18.58,18.58
1960,18.58,18.58
1961,18.54,18.54
1962,18.97,18.97
1963,18.63,18.63
1964,18.77,18.77
1965,18.17,18.17
1966,18.31,18.31
1967,18.80,18.80
1968,18.48,18.48
1969,18.42,18.42
1970,19.13,19.13
1971,18.98,18.98
1972,18.55,18.55
1973,19.41,19.41
1974,19.00,19.00
1975,19.06,19.06
1976,18.50,18.50
1977,18.34,18.34
1978,18.64,18.64
1979,18.78,18.78
1980,18.64,18.64
1981,19.04,19.04
1982,18.54,18.54
1983,18.83,18.83
1984,18.85,18.85
1985,18.81,18.81
1986,18.81,18.81
1987,18.63,18.63
1988,19.23,19.23
1989,18.92,18.92
1990,19.11,19.11
1991,18.58,18.58
1992,18.40,18.40
1993,18.38,18.38
1994,18.44,18.44
1995,19.18,19.18
1996,19.30,19.30
1997,18.55,18.55
1998,19.74,19.74
1999,19.17,19.17
2000,18.78,18.78
2001,19.07,19.07
2002,18.74,18.74
2003,18.73,18.73
2004,18.75,18.75
2005,19.01,19.01
2006,18.56,18.56
2007,19.02,19.02
2008,18.85,18.85
2009,18.92,18.92
2010,19.21,19.21
2011,19.16,19.16
2012,18.80,18.80
2013,18.92,18.92
2014,18.99,18.99
2015,19.17,19.17
2016,19.83,19.83
2017,19.62,19.62
2018,19.40,19.40
2019,19.40,19.40
2020,19.59,19.59
2021,19.57,19.57
