Variable:,tas
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1901,25.34,25.73,25.52,24.79,25.69,26.74,25.56,23.17,26.19,23.55,26.09,23.19,26.25,26.09,23.86,22.86,26.12,26.37
1902,25.36,25.79,25.53,24.81,25.69,26.77,25.56,23.20,26.20,23.59,26.12,23.22,26.27,26.10,23.88,22.89,26.12,26.37
1903,25.36,25.78,25.53,24.80,25.69,26.76,25.57,23.20,26.19,23.59,26.12,23.23,26.26,26.09,23.88,22.91,26.12,26.37
1904,25.34,25.75,25.52,24.79,25.69,26.74,25.56,23.16,26.19,23.55,26.09,23.18,26.25,26.09,23.85,22.86,26.12,26.37
1905,25.35,25.79,25.52,24.79,25.69,26.74,25.56,23.17,26.19,23.56,26.09,23.19,26.25,26.09,23.86,22.86,26.12,26.37
1906,25.31,25.70,25.51,24.77,25.68,26.67,25.55,23.10,26.19,23.47,26.02,23.10,26.23,26.07,23.80,22.76,26.12,26.37
1907,25.33,25.74,25.52,24.79,25.69,26.70,25.56,23.13,26.19,23.51,26.06,23.13,26.24,26.08,23.84,22.79,26.12,26.37
1908,25.32,25.73,25.52,24.78,25.69,26.70,25.56,23.11,26.19,23.50,26.06,23.12,26.24,26.08,23.83,22.79,26.12,26.37
1909,25.35,25.76,25.53,24.80,25.70,26.74,25.57,23.16,26.20,23.54,26.10,23.18,26.26,26.10,23.86,22.86,26.12,26.37
1910,25.21,25.56,25.50,24.70,25.64,26.50,25.54,22.90,26.15,23.26,25.90,22.85,26.15,26.02,23.69,22.49,26.12,26.36
1911,25.32,25.74,25.52,24.77,25.67,26.68,25.55,23.10,26.18,23.48,26.04,23.10,26.23,26.07,23.82,22.77,26.12,26.37
1912,25.34,25.78,25.52,24.79,25.69,26.72,25.56,23.14,26.19,23.55,26.08,23.15,26.24,26.08,23.85,22.83,26.12,26.37
1913,25.29,25.69,25.51,24.75,25.68,26.62,25.55,23.02,26.18,23.42,25.99,23.01,26.21,26.06,23.77,22.67,26.12,26.36
1914,25.29,25.70,25.51,24.74,25.68,26.62,25.55,23.03,26.18,23.42,25.99,23.02,26.20,26.06,23.78,22.68,26.12,26.37
1915,25.31,25.73,25.51,24.77,25.68,26.67,25.55,23.09,26.18,23.49,26.03,23.09,26.23,26.08,23.81,22.75,26.12,26.37
1916,25.30,25.71,25.51,24.76,25.68,26.64,25.56,23.05,26.19,23.45,26.00,23.04,26.21,26.07,23.78,22.71,26.12,26.37
1917,25.34,25.75,25.52,24.79,25.69,26.74,25.56,23.17,26.19,23.55,26.09,23.19,26.25,26.09,23.86,22.86,26.12,26.37
1918,25.36,25.79,25.52,24.79,25.70,26.74,25.56,23.18,26.20,23.58,26.09,23.20,26.26,26.09,23.86,22.89,26.12,26.37
1919,25.33,25.76,25.52,24.78,25.69,26.69,25.56,23.11,26.19,23.52,26.06,23.12,26.23,26.08,23.83,22.80,26.12,26.37
1920,25.33,25.76,25.52,24.78,25.70,26.70,25.56,23.12,26.19,23.52,26.06,23.14,26.24,26.09,23.83,22.83,26.12,26.37
1921,25.32,25.74,25.52,24.77,25.68,26.67,25.56,23.08,26.18,23.49,26.03,23.09,26.23,26.07,23.81,22.77,26.12,26.37
1922,25.38,25.82,25.53,24.81,25.70,26.78,25.57,23.22,26.20,23.63,26.13,23.26,26.27,26.10,23.89,22.96,26.12,26.37
1923,25.35,25.79,25.52,24.79,25.69,26.73,25.56,23.15,26.19,23.56,26.08,23.17,26.25,26.08,23.85,22.86,26.12,26.37
1924,25.33,25.76,25.52,24.78,25.68,26.70,25.56,23.13,26.18,23.53,26.06,23.15,26.23,26.08,23.83,22.82,26.12,26.37
1925,25.33,25.76,25.52,24.78,25.68,26.69,25.56,23.11,26.19,23.52,26.05,23.12,26.23,26.08,23.83,22.79,26.12,26.37
1926,25.35,25.78,25.52,24.80,25.69,26.74,25.56,23.16,26.19,23.56,26.09,23.19,26.26,26.09,23.86,22.87,26.12,26.37
1927,25.36,25.78,25.53,24.81,25.69,26.77,25.57,23.21,26.20,23.59,26.12,23.23,26.26,26.09,23.88,22.91,26.12,26.37
1928,25.34,25.74,25.52,24.80,25.69,26.74,25.56,23.16,26.19,23.55,26.09,23.18,26.26,26.09,23.85,22.85,26.12,26.37
1929,25.38,25.81,25.54,24.83,25.72,26.80,25.58,23.24,26.21,23.62,26.14,23.27,26.29,26.12,23.90,22.94,26.12,26.37
1930,25.31,25.71,25.52,24.77,25.69,26.68,25.56,23.11,26.19,23.49,26.05,23.11,26.24,26.08,23.82,22.77,26.12,26.37
1931,25.36,25.71,25.59,24.85,25.80,26.72,25.66,23.12,26.30,23.48,26.10,23.11,26.31,26.18,23.86,22.76,26.22,26.50
1932,25.41,25.81,25.58,24.87,25.78,26.81,25.64,23.23,26.29,23.60,26.16,23.23,26.34,26.18,23.92,22.90,26.18,26.45
1933,25.32,25.77,25.49,24.76,25.64,26.72,25.52,23.14,26.15,23.55,26.06,23.18,26.21,26.04,23.84,22.86,26.08,26.32
1934,25.28,25.67,25.50,24.73,25.63,26.61,25.54,23.03,26.16,23.43,25.98,23.03,26.18,26.03,23.77,22.70,26.11,26.36
1935,25.25,25.68,25.44,24.69,25.58,26.61,25.46,23.06,26.08,23.45,25.97,23.08,26.13,25.98,23.75,22.76,26.03,26.26
