Variable:,tas
,Niue,"Administrative unit not available"
1901,24.13,24.13
1902,24.11,24.12
1903,23.95,23.96
1904,23.76,23.77
1905,23.81,23.81
1906,24.15,24.15
1907,23.82,23.83
1908,23.88,23.89
1909,23.70,23.70
1910,23.77,23.77
1911,24.14,24.14
1912,24.41,24.42
1913,24.26,24.27
1914,24.42,24.42
1915,24.04,24.04
1916,23.90,23.91
1917,23.81,23.81
1918,23.89,23.89
1919,24.42,24.43
1920,24.40,24.40
1921,24.56,24.57
1922,24.78,24.79
1923,24.07,24.08
1924,24.65,24.66
1925,24.26,24.27
1926,24.39,24.39
1927,24.60,24.60
1928,24.32,24.32
1929,24.06,24.06
1930,24.06,24.06
1931,24.12,24.12
1932,24.40,24.41
1933,24.32,24.32
1934,24.27,24.28
1935,24.59,24.60
1936,24.38,24.38
1937,24.32,24.33
1938,24.73,24.73
1939,24.21,24.21
1940,24.33,24.33
1941,24.52,24.53
1942,24.45,24.45
1943,24.44,24.45
1944,24.13,24.13
1945,24.30,24.30
1946,24.30,24.30
1947,24.43,24.43
1948,24.07,24.07
1949,24.38,24.39
1950,24.46,24.46
1951,24.23,24.24
1952,24.71,24.71
1953,24.44,24.44
1954,24.62,24.63
1955,24.52,24.53
1956,24.30,24.30
1957,24.36,24.36
1958,24.36,24.36
1959,24.59,24.60
1960,24.41,24.42
1961,24.40,24.40
1962,24.20,24.20
1963,24.19,24.19
1964,24.31,24.32
1965,23.92,23.93
1966,24.30,24.31
1967,24.14,24.15
1968,24.28,24.28
1969,24.28,24.28
1970,24.44,24.44
1971,24.09,24.09
1972,24.32,24.33
1973,24.59,24.59
1974,24.16,24.16
1975,24.29,24.30
1976,24.19,24.19
1977,24.45,24.45
1978,24.34,24.35
1979,24.48,24.49
1980,24.55,24.55
1981,24.40,24.40
1982,24.35,24.36
1983,24.61,24.61
1984,24.58,24.59
1985,24.58,24.59
1986,24.50,24.50
1987,24.23,24.24
1988,24.85,24.86
1989,24.49,24.49
1990,24.80,24.81
1991,24.67,24.67
1992,24.68,24.68
1993,24.50,24.50
1994,24.62,24.62
1995,24.95,24.95
1996,25.19,25.20
1997,24.93,24.94
1998,25.00,25.01
1999,24.92,24.93
2000,25.12,25.13
2001,25.41,25.42
2002,25.41,25.42
2003,25.02,25.03
2004,25.00,25.01
2005,25.33,25.33
2006,25.08,25.09
2007,25.37,25.38
2008,25.07,25.08
2009,25.06,25.06
2010,24.82,24.83
2011,24.84,24.84
2012,24.88,24.88
2013,25.14,25.14
2014,24.93,24.93
2015,24.82,24.83
2016,25.30,25.31
2017,25.18,25.19
2018,25.04,25.05
2019,25.18,25.19
2020,25.20,25.21
2021,25.09,25.09
