Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
1901,13.68,17.82,14.90,15.20,10.23,12.44
1902,13.75,17.85,14.83,15.38,10.36,12.51
1903,13.48,17.67,14.79,14.88,9.97,12.24
1904,13.29,17.45,14.55,14.80,9.82,12.01
1905,13.06,17.17,14.18,14.61,9.65,11.84
1906,13.43,17.61,14.73,14.90,9.94,12.16
1907,13.28,17.49,14.61,14.70,9.75,12.03
1908,13.59,17.81,14.96,14.95,10.07,12.35
1909,13.38,17.69,14.90,14.58,9.76,12.15
1910,13.15,17.34,14.49,14.54,9.63,11.92
1911,13.32,17.46,14.49,14.84,9.87,12.10
1912,13.33,17.47,14.56,14.85,9.87,12.07
1913,13.05,17.26,14.37,14.49,9.53,11.79
1914,13.27,17.45,14.55,14.76,9.77,12.01
1915,13.82,17.97,15.10,15.32,10.36,12.55
1916,13.42,17.63,14.79,14.78,9.90,12.18
1917,12.67,17.02,14.26,13.86,8.99,11.43
1918,13.32,17.46,14.53,14.82,9.87,12.08
1919,13.24,17.50,14.76,14.52,9.64,11.96
1920,13.51,17.74,14.90,14.84,9.99,12.27
1921,13.93,17.99,15.04,15.58,10.58,12.64
1922,13.58,17.80,15.01,14.96,10.02,12.29
1923,13.70,17.92,15.09,15.02,10.17,12.46
1924,13.68,17.97,15.19,14.90,10.08,12.46
1925,13.01,17.21,14.33,14.47,9.50,11.74
1926,13.13,17.43,14.66,14.35,9.51,11.91
1927,13.21,17.47,14.66,14.51,9.66,11.96
1928,13.75,17.94,15.06,15.18,10.26,12.48
1929,13.56,17.72,14.82,15.02,10.09,12.29
1930,13.38,17.61,14.73,14.73,9.85,12.14
1931,13.78,17.98,15.12,15.18,10.27,12.52
1932,13.74,17.93,15.06,15.18,10.24,12.49
1933,12.99,17.30,14.57,14.25,9.35,11.72
1934,13.32,17.55,14.77,14.68,9.75,12.04
1935,13.47,17.84,15.09,14.60,9.78,12.24
1936,13.24,17.55,14.85,14.50,9.56,11.95
1937,13.27,17.62,14.91,14.45,9.58,12.02
1938,13.63,17.88,15.07,14.97,10.06,12.38
1939,13.57,17.83,15.04,14.89,9.99,12.31
1940,13.48,17.69,14.90,14.82,9.94,12.21
1941,14.24,18.29,15.32,15.90,10.88,12.99
1942,13.93,18.18,15.36,15.26,10.36,12.66
1943,13.81,18.02,15.15,15.21,10.28,12.57
1944,13.68,18.03,15.24,14.87,10.03,12.42
1945,13.40,17.76,14.99,14.60,9.73,12.14
1946,13.89,18.11,15.24,15.38,10.34,12.61
1947,14.09,18.29,15.43,15.49,10.58,12.84
1948,13.71,17.90,15.00,15.16,10.21,12.49
1949,13.66,17.66,14.64,15.40,10.35,12.41
1950,13.35,17.67,14.83,14.61,9.73,12.10
1951,13.87,18.01,15.11,15.31,10.41,12.64
1952,13.93,18.04,15.08,15.44,10.52,12.73
1953,14.19,18.29,15.27,15.74,10.79,12.99
1954,13.81,18.01,15.08,15.26,10.31,12.58
1955,13.59,17.91,15.03,14.89,10.00,12.34
1956,13.72,17.94,15.14,15.08,10.19,12.45
1957,13.65,18.02,15.20,14.80,10.01,12.41
1958,14.39,18.74,15.83,15.62,10.78,13.17
1959,13.84,18.08,15.14,15.19,10.30,12.67
1960,13.73,17.95,15.12,15.09,10.15,12.52
1961,13.50,17.73,14.89,14.89,9.95,12.24
1962,13.42,17.49,14.61,15.04,9.99,12.15
1963,13.38,17.44,14.54,15.03,9.99,12.09
1964,13.73,17.95,15.11,15.06,10.17,12.53
1965,13.33,17.45,14.48,14.97,9.90,12.06
1966,13.80,18.05,15.06,15.19,10.25,12.64
1967,13.27,17.52,14.56,14.67,9.71,12.07
1968,13.17,17.40,14.49,14.64,9.63,11.90
1969,13.93,18.07,15.10,15.49,10.47,12.68
1970,13.78,17.92,15.08,15.25,10.31,12.51
1971,13.08,17.16,14.36,14.58,9.65,11.81
1972,13.69,17.91,15.02,15.04,10.15,12.49
1973,13.71,17.92,14.99,15.09,10.21,12.50
1974,13.72,18.00,15.07,14.99,10.15,12.57
1975,13.51,17.94,15.10,14.58,9.78,12.34
