Variable:,tas
,Oman,"A Dakhliya","A Sharqiya","Al Batnah","Al Dhahira","Al Wusta",Dhofar,Musandam,Muscat,"Name Unknown"
1901,27.10,26.83,26.89,26.32,27.53,27.83,26.83,26.09,26.32,26.11
1902,26.98,26.66,26.88,26.03,27.18,27.71,26.76,25.59,26.28,25.65
1903,26.71,26.29,26.71,25.47,26.57,27.48,26.60,24.83,26.01,24.90
1904,26.77,26.39,26.75,25.65,26.76,27.52,26.61,25.12,26.10,25.18
1905,26.79,26.40,26.74,25.63,26.75,27.56,26.65,25.06,26.08,25.12
1906,26.76,26.36,26.73,25.58,26.69,27.52,26.62,25.02,26.06,25.07
1907,26.70,26.29,26.71,25.51,26.59,27.46,26.57,24.92,26.03,24.98
1908,26.96,26.63,26.81,25.94,27.11,27.72,26.77,25.44,26.17,25.50
1909,26.94,26.61,26.79,25.98,27.15,27.68,26.73,25.60,26.16,25.65
1910,26.62,26.18,26.65,25.35,26.42,27.39,26.52,24.71,25.95,24.78
1911,26.45,25.96,26.58,25.00,26.02,27.25,26.41,24.23,25.83,24.29
1912,26.70,26.30,26.73,25.51,26.61,27.46,26.57,24.94,26.07,24.98
1913,26.67,26.25,26.69,25.44,26.53,27.45,26.56,24.83,25.99,24.90
1914,26.86,26.51,26.80,25.80,26.94,27.62,26.68,25.31,26.15,25.37
1915,27.04,26.72,26.89,26.05,27.24,27.79,26.83,25.57,26.29,25.64
1916,26.99,26.65,26.86,25.90,27.08,27.76,26.81,25.33,26.21,25.42
1917,27.02,26.69,26.86,25.98,27.16,27.78,26.83,25.43,26.23,25.50
1918,26.99,26.64,26.85,25.86,27.05,27.77,26.82,25.22,26.21,25.32
1919,27.05,26.74,26.87,26.11,27.30,27.80,26.83,25.69,26.26,25.74
1920,27.01,26.68,26.87,25.98,27.17,27.77,26.81,25.45,26.25,25.52
1921,27.05,26.75,26.91,26.10,27.28,27.80,26.83,25.67,26.31,25.72
1922,27.06,26.75,26.90,26.13,27.33,27.81,26.83,25.74,26.30,25.78
1923,27.01,26.68,26.86,25.94,27.13,27.78,26.83,25.38,26.24,25.46
1924,27.07,26.79,26.89,26.24,27.44,27.81,26.82,25.96,26.30,26.00
1925,27.00,26.67,26.87,25.90,27.09,27.78,26.82,25.30,26.25,25.40
