Variable:,tas
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1901,19.22,20.57,11.68,8.14,10.20,9.62,16.06,10.52,13.42,7.51,17.64,16.46,14.17,15.36,21.64,11.05,26.32,23.66,9.46,18.30,22.15,8.92,22.86,11.64,23.74,24.93
1902,19.21,20.57,11.68,8.13,10.19,9.61,16.06,10.49,13.41,7.50,17.64,16.45,14.16,15.36,21.64,11.05,26.32,23.65,9.42,18.30,22.15,8.90,22.86,11.57,23.74,24.93
1903,19.02,20.57,11.62,7.68,9.73,9.18,16.06,10.08,12.98,7.12,17.52,16.06,13.85,15.35,21.64,10.81,26.31,23.27,8.95,18.07,22.15,8.44,22.85,11.09,23.74,24.71
1904,18.93,20.57,11.60,7.45,9.51,8.97,16.06,9.95,12.77,6.93,17.46,15.87,13.70,15.36,21.64,10.69,26.31,23.07,8.79,17.97,22.16,8.24,22.85,11.00,23.75,24.61
1905,19.16,20.57,11.66,7.99,10.05,9.49,16.06,10.39,13.28,7.39,17.61,16.34,14.07,15.36,21.64,10.98,26.32,23.54,9.30,18.23,22.15,8.77,22.85,11.47,23.74,24.86
1906,19.06,20.57,11.63,7.75,9.81,9.24,16.06,10.22,13.04,7.18,17.54,16.12,13.90,15.36,21.64,10.85,26.31,23.32,9.08,18.11,22.15,8.53,22.85,11.30,23.74,24.75
1907,19.03,20.57,11.63,7.69,9.74,9.18,16.06,10.10,12.99,7.13,17.52,16.06,13.86,15.35,21.64,10.82,26.31,23.27,8.98,18.08,22.15,8.46,22.85,11.12,23.74,24.72
1908,19.02,20.57,11.62,7.67,9.72,9.17,16.06,10.08,12.97,7.10,17.52,16.05,13.84,15.36,21.64,10.81,26.31,23.26,8.95,18.07,22.16,8.44,22.85,11.11,23.75,24.70
1909,18.90,20.57,11.59,7.39,9.44,8.90,16.06,9.86,12.71,6.87,17.44,15.81,13.65,15.35,21.64,10.65,26.31,23.01,8.69,17.93,22.15,8.17,22.84,10.85,23.74,24.57
1910,18.56,19.97,10.51,7.43,9.49,8.90,15.21,9.79,12.72,6.70,16.55,15.68,13.30,14.25,20.86,10.07,25.99,23.05,8.81,17.31,21.69,8.25,21.86,10.99,23.55,24.11
1911,18.97,20.27,11.13,8.01,10.05,9.47,15.65,10.16,13.28,7.30,17.17,16.27,13.89,14.81,21.26,10.69,26.16,23.55,9.14,17.92,21.93,8.72,22.38,11.16,23.64,24.63
1912,19.30,20.56,11.67,8.38,10.46,9.86,16.05,10.63,13.64,7.70,17.67,16.67,14.31,15.34,21.63,11.15,26.32,23.84,9.62,18.38,22.15,9.14,22.85,11.63,23.75,25.02
1913,19.36,20.74,11.95,8.34,10.37,9.82,16.30,10.49,13.59,7.71,17.87,16.67,14.36,15.66,21.84,11.25,26.40,23.75,9.44,18.48,22.28,8.97,23.12,11.43,23.80,25.11
1914,19.32,20.56,11.68,8.41,10.52,9.88,16.06,10.65,13.68,7.72,17.67,16.69,14.32,15.34,21.63,11.15,26.31,23.86,9.72,18.39,22.15,9.21,22.84,11.69,23.75,25.03
1915,19.49,20.64,11.86,8.68,10.83,10.14,16.16,11.01,13.94,7.98,17.87,16.95,14.57,15.49,21.72,11.39,26.36,24.11,10.11,18.61,22.20,9.57,22.98,12.09,23.77,25.23
1916,18.79,20.27,11.04,7.56,9.70,9.06,15.64,9.95,12.86,6.90,16.99,15.88,13.54,14.81,21.27,10.39,26.15,23.11,8.97,17.64,21.94,8.43,22.36,10.99,23.66,24.38
1917,19.06,20.66,11.72,7.83,9.76,9.35,16.19,9.68,13.09,7.25,17.57,16.20,13.94,15.51,21.75,10.86,26.36,23.27,8.55,18.11,22.22,8.21,22.98,10.48,23.77,24.78
1918,19.41,20.62,11.79,8.63,10.63,10.08,16.14,10.54,13.89,7.89,17.79,16.85,14.49,15.46,21.70,11.28,26.35,24.09,9.56,18.52,22.20,9.22,22.94,11.46,23.76,25.17
1919,19.41,20.43,11.47,8.81,10.93,10.20,15.86,11.00,14.09,7.96,17.56,16.92,14.50,15.10,21.45,11.18,26.24,24.34,10.12,18.44,22.04,9.70,22.63,12.10,23.70,25.14
1920,18.98,20.05,10.73,8.27,10.42,9.65,15.33,10.55,13.58,7.35,16.85,16.32,13.88,14.42,20.98,10.50,26.04,23.90,9.72,17.77,21.76,9.27,22.01,11.74,23.59,24.59
1921,18.69,19.73,10.14,8.00,10.19,9.35,14.87,10.35,13.33,7.01,16.33,15.99,13.51,13.81,20.55,10.06,25.86,23.72,9.57,17.34,21.50,9.12,21.48,11.61,23.47,24.23
1922,19.43,20.57,11.71,8.73,10.75,10.17,16.06,10.71,13.97,7.95,17.73,16.91,14.51,15.36,21.64,11.27,26.32,24.17,9.76,18.51,22.15,9.38,22.86,11.69,23.74,25.17
1923,19.45,20.56,11.72,8.83,10.86,10.26,16.06,10.80,14.07,8.02,17.74,16.99,14.56,15.36,21.64,11.29,26.26,24.27,9.85,18.54,22.15,9.49,22.86,11.78,23.74,25.22
1924,19.44,20.57,11.70,8.78,10.83,10.20,16.06,10.80,14.01,7.96,17.71,16.92,14.51,15.36,21.64,11.25,26.30,24.22,9.86,18.49,22.16,9.48,22.86,11.80,23.75,25.18
1925,19.47,20.56,11.71,8.89,10.94,10.32,16.06,10.87,14.13,8.06,17.73,17.03,14.59,15.36,21.64,11.30,26.25,24.33,9.95,18.55,22.15,9.57,22.86,11.90,23.74,25.23
1926,19.75,20.57,11.73,9.55,11.64,10.82,16.06,11.40,14.79,8.38,17.78,17.34,14.81,15.36,21.64,11.41,26.37,25.01,10.68,18.65,22.15,10.35,22.86,12.57,23.74,25.43
1927,19.69,20.57,11.73,9.50,11.47,10.78,16.06,11.07,14.72,8.35,17.78,17.31,14.80,15.36,21.64,11.41,26.30,24.95,10.32,18.64,22.15,10.09,22.86,12.13,23.74,25.41
1928,19.71,20.57,11.73,9.50,11.55,10.78,16.06,11.26,14.73,8.35,17.78,17.32,14.80,15.36,21.64,11.41,26.31,24.96,10.51,18.64,22.16,10.22,22.86,12.37,23.75,25.41
1929,19.65,20.57,11.73,9.36,11.34,10.67,16.06,11.02,14.60,8.28,17.77,17.25,14.75,15.36,21.64,11.39,26.32,24.82,10.22,18.62,22.15,9.97,22.86,12.08,23.74,25.37
1930,19.53,20.57,11.73,8.94,11.04,10.33,16.06,10.99,14.20,8.06,17.76,17.03,14.61,15.36,21.64,11.34,26.33,24.39,10.13,18.56,22.15,9.72,22.86,12.06,23.74,25.25
1931,19.59,20.57,11.73,9.09,11.15,10.46,16.06,11.02,14.34,8.16,17.77,17.13,14.66,15.36,21.64,11.36,26.37,24.58,10.14,18.58,22.15,9.84,22.86,12.00,23.74,25.31
1932,19.52,20.57,11.73,8.99,11.08,10.40,16.06,11.04,14.23,8.12,17.76,17.12,14.63,15.36,21.64,11.37,26.25,24.43,10.16,18.57,22.16,9.76,22.86,12.08,23.75,25.26
1933,19.42,20.56,11.73,8.74,10.80,10.17,16.06,10.83,14.00,7.96,17.76,16.93,14.53,15.36,21.64,11.31,26.21,24.24,9.89,18.54,22.15,9.48,22.86,11.82,23.74,25.21
1934,19.42,20.56,11.73,8.81,10.87,10.22,16.06,10.89,14.06,8.00,17.76,16.97,14.56,15.36,21.64,11.32,26.15,24.27,9.94,18.54,22.15,9.57,22.86,11.85,23.74,25.21
1935,19.47,20.57,11.73,8.89,10.95,10.29,16.06,10.97,14.15,8.04,17.76,16.99,14.58,15.36,21.64,11.33,26.19,24.37,10.05,18.56,22.15,9.65,22.86,11.98,23.74,25.25
1936,19.56,20.58,11.73,9.07,11.12,10.45,16.06,11.07,14.32,8.15,17.77,17.14,14.65,15.36,21.64,11.36,26.29,24.54,10.17,18.58,22.16,9.83,22.86,12.09,23.75,25.29
1937,19.74,20.60,12.22,9.09,11.12,10.53,16.13,11.22,14.40,8.39,18.44,17.29,15.08,15.58,21.64,11.88,26.39,24.65,10.18,19.22,22.15,9.84,23.16,12.07,23.74,25.85
1938,19.58,20.60,12.20,8.75,10.80,10.20,16.13,11.03,14.08,8.10,18.40,17.00,14.87,15.57,21.64,11.73,26.24,24.37,9.93,19.10,22.15,9.56,23.15,11.85,23.74,25.72
1939,19.78,20.60,12.23,9.29,11.30,10.75,16.12,11.33,14.57,8.60,18.46,17.53,15.24,15.59,21.64,12.00,26.27,24.79,10.34,19.30,22.15,9.97,23.17,12.24,23.74,25.91
1940,19.97,20.62,12.44,9.53,11.55,10.99,16.16,11.62,14.81,8.86,18.74,17.78,15.52,15.69,21.65,12.28,26.38,25.02,10.61,19.60,22.16,10.24,23.29,12.51,23.75,26.20
1941,20.21,20.64,12.65,9.90,11.85,11.42,16.19,11.78,15.14,9.36,19.07,18.24,16.02,15.78,21.65,12.68,26.57,25.26,10.79,20.05,22.15,10.40,23.42,12.64,23.74,26.62
