Variable:,tas
,"Papua New Guinea",Central,Chimbu,"East New Britain","East Sepik","Eastern Highlands",Enga,Gulf,Madang,Manus,"Milne Bay",Morobe,"National Capital District","New Ireland",Northern,"Northern Solomons","Southern Highlands","West New Britain","West Sepik",Western,"Western Highlands"
1901,24.63,23.88,21.61,24.80,26.43,20.55,20.07,25.87,24.84,27.03,25.30,22.10,25.81,25.42,23.78,25.61,22.70,25.57,25.63,26.32,20.59
1902,24.63,23.88,21.61,24.80,26.43,20.55,20.07,25.87,24.84,27.03,25.30,22.10,25.81,25.42,23.78,25.61,22.70,25.57,25.63,26.32,20.59
1903,24.64,23.89,21.62,24.82,26.44,20.56,20.08,25.88,24.85,27.04,25.31,22.11,25.82,25.42,23.79,25.61,22.71,25.58,25.63,26.33,20.61
1904,24.14,23.24,21.02,24.40,26.07,19.94,19.60,25.26,24.30,26.75,24.71,21.47,25.17,25.20,23.14,25.50,22.19,25.01,25.42,25.86,20.04
1905,24.44,23.63,21.39,24.65,26.29,20.31,19.89,25.63,24.63,26.92,25.07,21.85,25.56,25.33,23.53,25.57,22.50,25.35,25.54,26.14,20.37
1906,24.70,23.97,21.69,24.86,26.48,20.64,20.14,25.96,24.91,27.09,25.39,22.19,25.90,25.46,23.87,25.64,22.76,25.64,25.67,26.38,20.66
1907,24.34,23.52,21.25,24.55,26.20,20.18,19.78,25.52,24.52,26.86,24.98,21.74,25.46,25.29,23.44,25.53,22.39,25.23,25.50,26.04,20.26
1908,24.34,23.43,21.29,24.56,26.21,20.22,19.79,25.55,24.53,26.87,24.86,21.76,25.35,25.29,23.34,25.54,22.41,25.24,25.50,26.06,20.28
1909,24.98,24.14,22.09,25.16,26.74,21.04,20.49,26.30,25.30,27.28,25.54,22.59,26.02,25.63,24.06,25.72,23.11,26.05,25.82,26.64,21.06
1910,24.90,24.05,22.00,25.11,26.70,20.93,20.42,26.17,25.23,27.24,25.50,22.48,25.95,25.59,23.98,25.71,23.03,25.99,25.79,26.55,20.97
1911,24.52,23.56,21.53,24.78,26.41,20.45,20.04,25.70,24.80,27.01,25.04,21.99,25.45,25.41,23.49,25.61,22.63,25.53,25.61,26.18,20.54
1912,24.71,23.94,21.73,24.87,26.49,20.67,20.15,25.98,24.94,27.08,25.35,22.22,25.85,25.47,23.84,25.64,22.79,25.66,25.67,26.41,20.70
1913,24.39,23.37,21.37,24.69,26.32,20.29,19.92,25.53,24.67,26.94,24.87,21.83,25.24,25.35,23.31,25.58,22.49,25.41,25.57,26.06,20.40
1914,24.24,23.25,21.18,24.52,26.18,20.09,19.74,25.37,24.46,26.84,24.73,21.62,25.15,25.27,23.16,25.53,22.32,25.18,25.49,25.95,20.19
1915,24.91,24.39,21.92,24.96,26.56,20.88,20.27,26.29,25.05,27.13,25.72,22.46,26.37,25.51,24.27,25.66,22.96,25.78,25.71,26.64,20.84
1916,24.91,24.22,21.95,25.03,26.62,20.91,20.33,26.25,25.13,27.20,25.60,22.47,26.15,25.55,24.13,25.68,22.99,25.87,25.75,26.60,20.90
1917,24.78,23.96,21.82,24.97,26.58,20.77,20.27,26.05,25.05,27.15,25.38,22.32,25.85,25.52,23.88,25.66,22.88,25.79,25.72,26.43,20.81
1918,24.10,23.23,20.97,24.34,26.02,19.89,19.53,25.25,24.22,26.70,24.70,21.43,25.17,25.16,23.14,25.48,22.13,24.93,25.38,25.83,19.97
1919,24.20,23.25,21.11,24.45,26.11,20.03,19.65,25.36,24.36,26.77,24.70,21.56,25.18,25.21,23.16,25.51,22.26,25.08,25.44,25.93,20.12
1920,24.59,23.77,21.58,24.78,26.41,20.52,20.04,25.85,24.80,27.02,25.18,22.07,25.71,25.40,23.68,25.60,22.68,25.53,25.61,26.30,20.56
1921,24.55,23.62,21.57,24.81,26.43,20.50,20.07,25.74,24.84,27.04,25.10,22.02,25.50,25.43,23.54,25.62,22.65,25.58,25.63,26.21,20.57
1922,24.51,23.54,21.51,24.78,26.41,20.44,20.04,25.67,24.80,27.02,25.04,21.98,25.43,25.41,23.48,25.62,22.61,25.53,25.62,26.15,20.53
1923,24.20,23.28,21.10,24.46,26.12,20.02,19.67,25.34,24.38,26.79,24.76,21.57,25.21,25.22,23.19,25.51,22.26,25.10,25.45,25.91,20.11
1924,24.78,23.96,21.84,24.98,26.58,20.79,20.27,26.04,25.07,27.15,25.42,22.33,25.86,25.53,23.89,25.66,22.87,25.81,25.72,26.42,20.81
1925,24.34,23.39,21.29,24.60,26.25,20.22,19.83,25.49,24.57,26.90,24.87,21.76,25.29,25.31,23.31,25.56,22.42,25.29,25.52,26.01,20.31
1926,24.89,24.21,21.94,25.01,26.62,20.89,20.33,26.21,25.12,27.18,25.60,22.45,26.13,25.55,24.11,25.68,22.98,25.86,25.75,26.58,20.89
1927,24.58,23.80,21.57,24.76,26.39,20.51,20.02,25.83,24.78,27.00,25.23,22.05,25.73,25.40,23.70,25.60,22.65,25.50,25.61,26.29,20.53
1928,24.68,23.91,21.68,24.84,26.46,20.63,20.11,25.94,24.89,27.06,25.32,22.18,25.83,25.45,23.82,25.63,22.75,25.62,25.65,26.38,20.66
1929,24.28,23.38,21.21,24.52,26.18,20.14,19.74,25.46,24.46,26.83,24.84,21.68,25.30,25.25,23.30,25.54,22.34,25.18,25.48,25.99,20.22
1930,24.34,23.33,21.30,24.63,26.28,20.23,19.86,25.48,24.61,26.90,24.83,21.76,25.21,25.33,23.26,25.56,22.44,25.33,25.54,26.02,20.33
1931,24.26,23.62,21.10,24.36,26.03,20.05,19.56,25.52,24.27,26.70,24.99,21.61,25.63,25.17,23.49,25.48,22.25,24.96,25.39,26.08,20.06
1932,24.66,23.66,21.72,24.91,26.53,20.65,20.20,25.87,24.97,27.12,25.11,22.18,25.53,25.49,23.59,25.65,22.79,25.72,25.70,26.34,20.72
1933,24.79,23.89,21.86,25.02,26.62,20.79,20.31,26.03,25.10,27.18,25.34,22.33,25.77,25.53,23.81,25.68,22.91,25.86,25.74,26.44,20.84
1934,24.72,23.66,21.79,25.03,26.63,20.71,20.32,25.87,25.11,27.19,25.16,22.23,25.52,25.56,23.60,25.69,22.86,25.87,25.75,26.35,20.82
1935,24.57,23.53,21.60,24.90,26.52,20.52,20.16,25.67,24.95,27.11,25.05,22.04,25.41,25.48,23.45,25.64,22.69,25.70,25.68,26.21,20.64
1936,24.60,23.60,21.65,24.89,26.50,20.58,20.16,25.77,24.94,27.08,25.10,22.10,25.47,25.47,23.54,25.64,22.71,25.68,25.67,26.23,20.65
1937,24.77,23.66,21.90,25.10,26.69,20.83,20.41,25.93,25.21,27.24,25.20,22.35,25.48,25.59,23.63,25.70,22.94,25.96,25.79,26.35,20.93
1938,24.57,23.76,21.56,24.79,26.41,20.49,20.05,25.77,24.82,27.01,25.22,22.05,25.68,25.41,23.67,25.60,22.64,25.55,25.61,26.26,20.56
1939,24.52,23.47,21.54,24.85,26.47,20.46,20.10,25.65,24.88,27.06,24.98,21.98,25.34,25.45,23.39,25.62,22.64,25.63,25.65,26.15,20.58
1940,24.56,23.62,21.57,24.82,26.44,20.50,20.07,25.75,24.84,27.03,25.09,22.03,25.50,25.42,23.54,25.62,22.65,25.58,25.63,26.23,20.57
1941,24.11,23.11,21.01,24.39,26.06,19.92,19.59,25.22,24.29,26.74,24.59,21.45,25.03,25.20,23.02,25.50,22.17,25.01,25.42,25.83,20.03
