Variable:,tas
,"West Bank and Gaza","Deir al Balah",Gaza,Jabalya,"Khan Yunis",Rafah,"Al Khalil (Hebron)","Al Quds (Jerusalem)","Ariha (Jericho)",Bethlehem,Jenin,Nablus,Qalqiliya,Ramallah,Salfit,Tubas,Tulkarm,"Administrative unit not available"
1901,18.23,19.72,20.03,19.66,19.72,19.72,17.53,18.14,18.20,18.08,18.42,18.34,18.48,18.21,18.36,18.28,18.34,18.34
1902,17.74,19.26,19.57,19.19,19.26,19.26,17.07,17.66,17.71,17.60,17.92,17.84,17.98,17.72,17.86,17.78,17.84,17.84
1903,16.69,18.21,18.52,18.13,18.21,18.21,16.01,16.61,16.66,16.55,16.87,16.79,16.93,16.67,16.81,16.74,16.79,16.79
1904,17.31,18.84,19.15,18.77,18.84,18.84,16.63,17.22,17.27,17.16,17.49,17.41,17.55,17.29,17.43,17.35,17.41,17.41
1905,17.62,19.13,19.44,19.06,19.13,19.13,16.93,17.53,17.59,17.47,17.81,17.73,17.87,17.60,17.75,17.67,17.73,17.73
1906,17.91,19.44,19.74,19.32,19.44,19.44,17.23,17.82,17.88,17.76,18.08,18.01,18.15,17.88,18.03,17.95,18.01,18.01
1907,17.24,18.74,19.04,18.65,18.74,18.74,16.55,17.15,17.21,17.09,17.42,17.34,17.48,17.21,17.36,17.28,17.34,17.34
1908,17.40,18.92,19.21,18.80,18.92,18.92,16.73,17.32,17.37,17.26,17.56,17.49,17.63,17.38,17.51,17.43,17.49,17.49
1909,18.62,20.13,20.43,20.03,20.13,20.13,17.93,18.54,18.59,18.48,18.78,18.71,18.85,18.60,18.73,18.65,18.71,18.71
1910,17.45,18.95,19.25,18.85,18.95,18.95,16.76,17.36,17.43,17.30,17.64,17.57,17.70,17.43,17.59,17.51,17.57,17.57
1911,17.36,18.84,19.14,18.73,18.84,18.84,16.65,17.27,17.34,17.21,17.56,17.48,17.61,17.34,17.50,17.42,17.48,17.48
1912,17.56,19.08,19.39,19.00,19.08,19.08,16.89,17.48,17.54,17.42,17.74,17.66,17.80,17.54,17.68,17.60,17.66,17.66
1913,17.66,19.14,19.45,19.08,19.14,19.14,16.96,17.57,17.64,17.51,17.86,17.78,17.92,17.64,17.80,17.73,17.78,17.78
1914,18.14,19.63,19.94,19.57,19.63,19.63,17.45,18.06,18.11,18.00,18.32,18.24,18.38,18.12,18.26,18.18,18.24,18.24
1915,18.87,20.43,20.71,20.29,20.43,20.43,18.22,18.82,18.85,18.76,19.01,18.94,19.08,18.86,18.96,18.88,18.94,18.94
1916,19.03,20.56,20.86,20.45,20.56,20.56,18.38,18.97,19.01,18.91,19.19,19.11,19.25,19.02,19.13,19.05,19.11,19.11
1917,18.48,20.00,20.30,19.89,20.00,20.00,17.80,18.40,18.45,18.34,18.65,18.57,18.71,18.46,18.59,18.51,18.57,18.57
1918,18.42,19.95,20.25,19.86,19.95,19.95,17.74,18.33,18.39,18.27,18.60,18.52,18.66,18.40,18.54,18.46,18.52,18.52
1919,18.72,20.26,20.56,20.15,20.26,20.26,18.06,18.65,18.69,18.59,18.88,18.80,18.94,18.70,18.82,18.75,18.80,18.80
1920,18.16,19.68,19.98,19.60,19.68,19.68,17.48,18.08,18.13,18.02,18.33,18.25,18.39,18.14,18.27,18.19,18.25,18.25
1921,17.79,19.32,19.62,19.21,19.32,19.32,17.13,17.73,17.76,17.67,17.93,17.86,18.00,17.78,17.88,17.81,17.86,17.86
1922,18.63,20.16,20.46,20.06,20.16,20.16,17.96,18.56,18.60,18.50,18.79,18.71,18.85,18.61,18.73,18.65,18.71,18.71
1923,18.73,20.23,20.53,20.15,20.23,20.23,18.05,18.66,18.71,18.60,18.90,18.82,18.96,18.72,18.84,18.78,18.82,18.82
1924,18.58,20.13,20.43,20.05,20.13,20.13,17.92,18.49,18.55,18.43,18.76,18.69,18.83,18.56,18.71,18.62,18.69,18.69
1925,18.70,20.19,20.51,20.13,20.19,20.19,18.00,18.60,18.67,18.54,18.90,18.83,18.96,18.68,18.85,18.76,18.83,18.83
1926,18.52,20.03,20.34,19.95,20.03,20.03,17.79,18.40,18.48,18.34,18.75,18.67,18.81,18.49,18.69,18.60,18.67,18.67
1927,18.91,20.44,20.75,20.37,20.44,20.44,18.21,18.80,18.87,18.74,19.12,19.04,19.18,18.88,19.06,18.97,19.04,19.04
