Variable:,tas
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1901,18.80,19.78,19.16,17.50,18.85,17.85
1902,18.94,19.92,19.30,17.63,18.98,17.98
1903,18.79,19.77,19.15,17.48,18.83,17.83
1904,18.50,19.39,18.79,17.18,18.59,17.64
1905,18.43,19.37,18.75,17.12,18.49,17.53
1906,18.07,18.98,18.38,16.77,18.14,17.19
1907,18.07,19.00,18.40,16.77,18.13,17.17
1908,18.63,19.60,18.98,17.33,18.68,17.68
1909,17.77,18.57,18.00,16.44,17.90,17.02
1910,17.77,18.56,18.00,16.45,17.91,17.02
1911,17.95,18.83,18.23,16.64,18.03,17.10
1912,17.82,18.63,18.07,16.49,17.94,17.05
1913,17.77,18.55,18.01,16.46,17.91,17.03
1914,18.03,18.87,18.30,16.72,18.14,17.23
1915,17.96,18.79,18.22,16.65,18.08,17.17
1916,17.71,18.48,17.94,16.39,17.86,16.99
1917,17.43,18.12,17.62,16.10,17.61,16.77
1918,17.66,18.42,17.88,16.35,17.82,16.95
1919,17.81,18.60,18.05,16.49,17.94,17.06
1920,17.79,18.58,18.03,16.47,17.93,17.04
1921,18.56,19.54,18.91,17.26,18.61,17.62
1922,18.49,19.45,18.83,17.18,18.54,17.56
1923,18.45,19.39,18.77,17.15,18.52,17.54
1924,18.65,19.63,19.01,17.34,18.69,17.69
1925,18.57,19.55,18.93,17.27,18.62,17.63
1926,18.77,19.79,19.15,17.46,18.78,17.77
1927,18.66,19.65,19.02,17.36,18.70,17.69
1928,18.79,19.81,19.17,17.48,18.81,17.79
1929,17.56,18.29,17.76,16.24,17.73,16.87
1930,17.72,18.49,17.95,16.41,17.86,16.99
1931,18.30,19.22,18.62,16.98,18.36,17.40
1932,18.04,18.92,18.33,16.73,18.13,17.19
1933,18.02,18.94,18.34,16.72,18.08,17.15
1934,18.03,18.95,18.35,16.72,18.10,17.14
1935,18.21,19.12,18.52,16.88,18.30,17.33
1936,18.07,18.97,18.38,16.75,18.17,17.20
1937,18.03,18.94,18.33,16.70,18.11,17.15
1938,18.22,19.13,18.53,16.90,18.30,17.32
1939,18.30,19.24,18.63,16.98,18.36,17.38
1940,18.52,19.47,18.85,17.20,18.58,17.59
1941,18.74,19.70,19.09,17.44,18.78,17.80
1942,18.36,19.33,18.71,17.08,18.39,17.43
1943,18.44,19.40,18.79,17.15,18.48,17.51
1944,18.46,19.44,18.81,17.16,18.51,17.52
1945,18.42,19.41,18.79,17.12,18.45,17.47
1946,18.38,19.35,18.72,17.07,18.44,17.45
1947,18.27,19.22,18.62,16.98,18.32,17.36
1948,18.45,19.40,18.79,17.14,18.50,17.53
1949,18.76,19.72,19.10,17.45,18.82,17.83
1950,18.10,19.04,18.43,16.80,18.14,17.19
1951,18.55,19.54,18.91,17.26,18.58,17.59
1952,18.71,19.70,19.08,17.41,18.73,17.74
1953,18.81,19.82,19.18,17.50,18.84,17.83
1954,18.64,19.65,19.01,17.34,18.68,17.68
1955,18.55,19.55,18.92,17.25,18.59,17.58
1956,18.47,19.45,18.81,17.15,18.51,17.52
1957,18.74,19.72,19.10,17.42,18.79,17.79
1958,18.99,19.97,19.35,17.69,19.03,18.04
1959,18.71,19.71,19.08,17.40,18.75,17.75
1960,18.56,19.56,18.94,17.26,18.59,17.58
1961,18.62,19.62,18.99,17.31,18.66,17.64
1962,18.44,19.41,18.79,17.14,18.47,17.50
1963,18.44,19.41,18.80,17.16,18.47,17.50
1964,18.46,19.42,18.81,17.16,18.50,17.52
1965,18.52,19.49,18.88,17.23,18.56,17.57
1966,18.73,19.71,19.08,17.42,18.77,17.78
1967,18.50,19.47,18.84,17.18,18.56,17.57
1968,18.23,19.16,18.55,16.92,18.29,17.33
1969,18.81,19.78,19.15,17.47,18.86,17.88
1970,18.60,19.59,18.96,17.30,18.64,17.64
1971,18.39,19.35,18.74,17.09,18.42,17.45
1972,18.63,19.62,18.99,17.32,18.67,17.66
1973,18.74,19.75,19.12,17.44,18.77,17.77
1974,18.47,19.45,18.82,17.16,18.51,17.52
1975,18.45,19.43,18.80,17.14,18.49,17.48
1976,18.72,19.73,19.10,17.43,18.76,17.74
1977,18.78,19.76,19.14,17.47,18.83,17.82
1978,18.72,19.68,19.07,17.40,18.77,17.78
1979,18.63,19.61,18.99,17.34,18.67,17.68
1980,18.75,19.72,19.10,17.45,18.80,17.80
1981,18.76,19.75,19.12,17.46,18.79,17.79
1982,18.83,19.82,19.19,17.55,18.86,17.87
1983,19.03,20.02,19.40,17.72,19.07,18.06
