Variable:,tas
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
1901,25.19,23.41,25.08,27.65,22.39,20.62,28.01,24.40,26.10,26.21,22.07,24.34,25.92,21.79
1902,24.91,23.38,25.02,27.23,22.20,20.24,28.00,24.25,26.02,26.16,21.79,24.09,25.61,21.41
1903,24.34,23.34,24.97,26.51,21.64,19.27,27.99,23.88,25.93,26.07,20.99,23.58,25.04,20.55
1904,24.53,23.34,24.92,26.74,21.86,19.78,27.97,23.86,25.81,26.07,21.34,23.75,25.20,21.01
1905,24.60,23.36,24.98,26.72,21.96,20.07,27.99,24.10,25.95,26.11,21.40,23.78,25.21,21.37
1906,24.68,23.37,25.12,26.66,22.09,20.38,28.01,24.50,26.22,26.09,21.51,23.82,25.17,21.80
1907,24.47,23.35,25.01,26.55,21.83,19.78,27.95,24.06,25.99,26.06,21.18,23.67,25.07,21.19
1908,24.81,23.38,25.05,27.13,22.01,19.96,27.98,24.26,26.13,26.16,21.37,23.97,25.55,21.41
1909,25.10,23.39,25.17,27.20,22.45,21.03,27.94,24.87,26.35,26.15,22.04,24.18,25.59,22.39
1910,24.40,23.33,25.02,26.34,21.84,19.94,28.02,24.15,26.01,26.03,21.20,23.58,24.91,21.35
1911,24.14,23.31,25.02,25.89,21.69,19.83,28.03,24.09,25.98,25.97,20.94,23.31,24.55,21.28
1912,24.51,23.33,24.98,26.57,21.92,20.04,27.96,24.10,25.93,26.05,21.39,23.70,25.07,21.36
1913,24.45,23.33,24.91,26.47,21.92,20.11,27.96,23.99,25.79,26.05,21.38,23.63,25.00,21.31
1914,24.84,23.38,25.07,26.95,22.21,20.56,27.99,24.46,26.12,26.13,21.75,23.97,25.39,21.85
1915,25.21,23.43,25.24,27.28,22.55,21.25,28.00,25.13,26.51,26.21,22.09,24.22,25.68,22.67
1916,25.11,23.40,25.14,27.09,22.50,21.32,27.95,25.06,26.38,26.19,22.07,24.09,25.54,22.69
1917,25.05,23.41,25.09,27.18,22.37,20.88,27.97,24.73,26.24,26.21,21.94,24.11,25.61,22.20
1918,24.94,23.41,25.08,27.03,22.24,20.74,27.97,24.63,26.20,26.21,21.77,23.98,25.50,22.07
1919,25.20,23.42,25.16,27.36,22.52,21.11,27.99,24.91,26.36,26.21,22.12,24.24,25.73,22.44
1920,24.94,23.38,24.97,27.19,22.24,20.57,27.93,24.36,26.00,26.19,21.79,24.06,25.60,21.79
1921,25.01,23.41,25.06,27.34,22.22,20.36,27.96,24.47,26.19,26.21,21.66,24.15,25.72,21.74
1922,25.18,23.41,25.09,27.40,22.48,21.01,27.95,24.81,26.27,26.21,22.10,24.25,25.76,22.33
1923,25.06,23.40,25.06,27.14,22.46,21.08,27.95,24.74,26.20,26.21,22.08,24.14,25.58,22.31
1924,25.22,23.39,25.07,27.55,22.47,20.94,27.97,24.64,26.19,26.19,22.15,24.30,25.85,22.18
