Variable:,tas
,"St. Helena",Ascension,"Saint Helena","Tristan Da Cunha"
1901,17.99,25.69,17.97,12.66
1902,17.98,25.69,17.96,12.66
1903,17.44,25.69,17.42,12.66
1904,17.38,25.70,17.36,12.67
1905,17.92,25.69,17.90,12.66
1906,17.10,25.69,17.08,12.66
1907,17.34,25.69,17.32,12.66
1908,17.33,25.70,17.31,12.67
1909,17.00,25.69,16.98,12.66
1910,17.28,25.69,17.26,12.66
1911,17.62,25.69,17.60,12.66
1912,17.82,25.70,17.80,12.67
1913,18.40,25.69,18.38,12.66
1914,17.80,25.69,17.78,12.66
1915,17.99,25.69,17.97,12.66
1916,17.91,25.70,17.89,12.67
1917,17.97,25.69,17.95,12.66
1918,17.76,25.69,17.74,12.66
1919,17.68,25.69,17.66,12.66
1920,18.58,25.70,18.56,12.67
1921,18.62,25.69,18.60,12.66
1922,17.76,25.69,17.74,12.66
1923,17.90,25.88,17.88,12.66
1924,18.20,25.98,18.18,12.67
1925,18.07,25.91,18.05,12.66
1926,17.26,25.91,17.24,12.66
1927,17.31,25.72,17.29,12.66
1928,17.43,25.54,17.41,12.67
1929,17.22,25.69,17.20,12.66
1930,17.48,25.69,17.46,12.66
1931,17.35,25.60,17.33,12.66
1932,17.38,25.39,17.36,12.67
1933,17.60,25.80,17.57,12.66
1934,17.83,26.23,17.81,12.66
1935,17.57,26.15,17.55,12.66
1936,17.11,25.79,17.09,12.67
1937,17.83,26.08,17.81,12.66
1938,17.36,26.20,17.34,12.66
1939,17.81,25.96,17.79,12.66
1940,18.08,25.90,18.06,12.67
1941,17.75,25.72,17.73,12.66
1942,17.69,25.43,17.67,12.66
1943,17.08,25.14,17.06,12.66
1944,18.14,25.69,18.12,12.67
1945,18.08,25.58,18.06,12.66
1946,17.55,25.57,17.53,12.66
1947,17.69,26.02,17.67,12.66
1948,18.36,25.89,18.34,12.67
1949,18.47,26.24,18.45,12.66
1950,17.82,25.93,17.80,12.66
1951,17.72,25.67,17.70,12.66
1952,18.06,25.84,18.04,12.67
1953,18.05,25.80,18.03,12.66
1954,17.49,25.58,17.47,12.66
1955,17.19,25.79,17.17,12.74
1956,17.39,25.75,17.37,12.98
1957,18.02,26.04,18.00,12.67
1958,17.99,25.70,17.97,13.02
1959,18.16,25.54,18.14,13.01
1960,18.07,25.69,18.05,13.29
1961,17.61,25.87,17.59,12.94
1962,17.75,25.81,17.73,12.64
1963,18.37,26.24,18.35,12.11
1964,18.02,26.17,18.00,11.85
1965,18.07,25.67,18.05,12.25
1966,18.17,26.03,18.15,12.42
1967,17.77,25.66,17.75,12.00
1968,18.12,26.00,18.10,12.78
1969,18.10,25.41,18.08,12.43
1970,17.44,25.08,17.42,12.59
1971,17.73,25.67,17.71,12.63
1972,19.00,25.99,18.98,12.47
1973,19.12,26.28,19.10,12.41
1974,18.19,26.06,18.17,13.02
1975,18.11,25.62,18.09,13.03
1976,17.69,25.16,17.67,13.01
1977,18.14,25.38,18.11,12.60
1978,17.97,25.36,17.95,12.77
1979,18.27,25.77,18.25,13.02
1980,18.05,25.51,18.03,13.05
1981,17.91,25.29,17.89,13.06
1982,17.71,25.42,17.69,13.21
1983,18.12,25.41,18.10,12.54
1984,18.53,25.74,18.51,12.37
1985,18.21,25.57,18.19,12.36
1986,18.67,25.67,18.65,12.64
1987,18.84,25.44,18.82,12.68
1988,18.56,26.02,18.54,12.82
1989,18.38,25.95,18.36,12.62
1990,18.57,25.73,18.55,13.09
1991,18.34,25.67,18.32,12.75
1992,17.73,25.05,17.71,12.43
1993,18.88,25.98,18.86,12.78
1994,18.46,25.78,18.44,13.13
1995,18.69,25.98,18.67,12.65
1996,18.55,26.11,18.53,12.32
1997,18.29,25.64,18.27,13.04
1998,18.35,26.13,18.33,12.78
1999,18.61,26.17,18.59,12.87
2000,18.47,26.05,18.45,13.19
2001,18.35,26.00,18.33,12.60
2002,18.46,25.97,18.44,12.69
2003,18.99,26.14,18.97,12.76
2004,18.25,25.82,18.22,13.31
2005,18.67,25.90,18.65,13.30
2006,18.35,25.95,18.33,13.44
2007,18.23,25.82,18.21,13.38
2008,18.31,26.14,18.29,13.07
2009,18.56,26.14,18.54,13.72
2010,18.53,26.41,18.51,13.06
2011,18.09,25.90,18.07,13.31
2012,17.49,25.48,17.47,13.69
2013,18.23,25.81,18.21,13.34
2014,18.36,25.85,18.34,13.32
2015,18.53,25.78,18.51,13.94
2016,18.87,26.26,18.85,13.29
2017,18.55,26.18,18.53,13.19
2018,18.33,26.19,18.31,13.63
2019,19.22,26.51,19.20,13.16
2020,18.70,26.45,18.68,13.24
2021,18.89,26.30,18.87,13.29
