Variable:,tas
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1901,24.57,24.28,24.59,22.56,23.99,23.90,25.59,26.29,25.12,25.51,23.70,25.04,22.98,23.73,25.98
1902,24.62,24.33,24.64,22.62,24.03,23.94,25.62,26.34,25.17,25.56,23.74,25.09,23.04,23.78,26.02
1903,24.63,24.35,24.65,22.64,24.05,23.96,25.64,26.34,25.19,25.57,23.76,25.10,23.06,23.80,26.03
1904,24.57,24.28,24.59,22.56,23.99,23.90,25.59,26.29,25.12,25.51,23.70,25.04,22.98,23.73,25.98
1905,24.57,24.28,24.59,22.56,23.99,23.90,25.59,26.29,25.12,25.51,23.70,25.04,22.98,23.73,25.98
1906,24.42,24.11,24.43,22.37,23.82,23.74,25.45,26.17,24.97,25.37,23.53,24.89,22.80,23.57,25.85
1907,24.47,24.17,24.49,22.45,23.88,23.80,25.50,26.21,25.02,25.42,23.60,24.95,22.87,23.63,25.90
1908,24.47,24.17,24.48,22.43,23.87,23.79,25.49,26.21,25.03,25.43,23.58,24.94,22.86,23.63,25.90
1909,24.56,24.26,24.58,22.55,23.97,23.89,25.58,26.29,25.12,25.51,23.69,25.03,22.96,23.72,25.97
1910,24.05,23.73,24.06,21.90,23.44,23.37,25.12,25.86,24.59,25.04,23.16,24.53,22.35,23.20,25.54
1911,24.43,24.13,24.45,22.39,23.84,23.76,25.47,26.17,24.97,25.38,23.55,24.91,22.82,23.59,25.86
1912,24.51,24.21,24.54,22.47,23.93,23.84,25.53,26.24,25.07,25.46,23.63,24.99,22.90,23.67,25.92
1913,24.30,23.99,24.33,22.22,23.70,23.61,25.35,26.06,24.87,25.27,23.40,24.79,22.64,23.45,25.75
1914,24.30,24.00,24.32,22.22,23.71,23.63,25.34,26.06,24.85,25.27,23.42,24.78,22.65,23.46,25.75
1915,24.42,24.12,24.44,22.38,23.83,23.74,25.45,26.17,24.97,25.37,23.53,24.90,22.80,23.57,25.85
1916,24.34,24.04,24.36,22.26,23.74,23.66,25.38,26.09,24.89,25.30,23.45,24.82,22.70,23.50,25.79
1917,24.57,24.28,24.59,22.56,23.99,23.90,25.59,26.29,25.12,25.51,23.70,25.04,22.98,23.73,25.98
1918,24.58,24.29,24.61,22.57,24.00,23.92,25.60,26.31,25.13,25.52,23.72,25.06,22.99,23.75,25.99
1919,24.47,24.17,24.49,22.43,23.88,23.80,25.49,26.21,25.02,25.42,23.59,24.94,22.85,23.63,25.89
1920,24.50,24.21,24.52,22.47,23.91,23.83,25.52,26.23,25.04,25.44,23.62,24.97,22.89,23.67,25.92
1921,24.41,24.12,24.43,22.37,23.82,23.74,25.44,26.15,24.95,25.36,23.53,24.89,22.80,23.58,25.84
1922,24.68,24.38,24.69,22.70,24.09,24.01,25.69,26.39,25.22,25.61,23.81,25.14,23.11,23.84,26.07
1923,24.54,24.24,24.56,22.51,23.95,23.86,25.56,26.27,25.09,25.48,23.66,25.01,22.94,23.70,25.95
1924,24.49,24.18,24.51,22.46,23.90,23.81,25.51,26.23,25.05,25.44,23.61,24.96,22.88,23.64,25.91
1925,24.45,24.16,24.47,22.41,23.87,23.79,25.48,26.19,25.01,25.40,23.58,24.92,22.84,23.62,25.87
1926,24.55,24.25,24.57,22.55,23.97,23.88,25.58,26.29,25.10,25.49,23.68,25.02,22.96,23.70,25.97
1927,24.60,24.31,24.62,22.61,24.02,23.93,25.61,26.32,25.15,25.54,23.73,25.07,23.03,23.77,26.00
1928,24.57,24.27,24.59,22.57,23.99,23.90,25.59,26.28,25.12,25.51,23.70,25.04,22.98,23.73,25.98
1929,24.67,24.37,24.69,22.69,24.09,24.01,25.68,26.37,25.22,25.60,23.81,25.14,23.09,23.83,26.06
1930,24.46,24.16,24.48,22.42,23.87,23.79,25.49,26.20,25.00,25.40,23.58,24.94,22.84,23.62,25.89
1931,24.42,24.12,24.44,22.38,23.83,23.75,25.45,26.17,24.98,25.38,23.54,24.90,22.81,23.58,25.86
1932,24.60,24.30,24.61,22.58,24.01,23.93,25.62,26.33,25.15,25.54,23.73,25.06,22.99,23.76,26.01
1933,24.59,24.32,24.60,22.59,24.01,23.94,25.61,26.29,25.12,25.51,23.74,25.05,23.02,23.77,25.98
1934,24.36,24.04,24.37,22.33,23.76,23.68,25.38,26.11,24.91,25.31,23.48,24.83,22.75,23.50,25.79
1935,24.44,24.14,24.46,22.44,23.86,23.77,25.45,26.17,24.99,25.38,23.57,24.91,22.86,23.60,25.84
1936,24.88,24.57,24.90,22.86,24.29,24.20,25.90,26.62,25.43,25.83,24.00,25.35,23.27,24.03,26.30
1937,24.63,24.35,24.64,22.61,24.04,23.96,25.65,26.36,25.17,25.57,23.76,25.09,23.03,23.81,26.04
1938,24.03,23.74,24.06,22.03,23.46,23.37,25.05,25.74,24.58,24.97,23.17,24.51,22.46,23.20,25.43
1939,24.35,24.04,24.36,22.34,23.76,23.67,25.36,26.08,24.90,25.29,23.47,24.81,22.75,23.50,25.76
