Variable:,tas
,"San Marino","Administrative unit not available"
1901,10.82,10.85
1902,11.16,11.19
1903,11.25,11.28
1904,11.75,11.78
1905,11.06,11.09
1906,11.10,11.13
1907,11.09,11.12
1908,10.86,10.89
1909,10.69,10.72
1910,11.10,11.13
1911,11.73,11.76
1912,10.95,10.98
1913,11.25,11.28
1914,11.12,11.15
1915,11.01,11.04
1916,11.61,11.64
1917,11.05,11.08
1918,11.16,11.19
1919,10.94,10.97
1920,12.21,12.24
1921,11.96,11.99
1922,11.20,11.23
1923,11.76,11.79
1924,11.45,11.48
1925,11.28,11.31
1926,11.92,11.95
1927,12.07,12.10
1928,11.89,11.92
1929,11.31,11.34
1930,11.93,11.96
1931,11.17,11.20
1932,11.44,11.47
1933,10.78,10.81
1934,12.15,12.18
1935,11.38,11.41
1936,11.70,11.73
1937,11.66,11.69
1938,11.51,11.54
1939,11.44,11.47
1940,10.37,10.40
1941,10.81,10.84
1942,11.65,11.68
1943,12.33,12.36
1944,11.11,11.14
1945,11.99,12.02
1946,11.85,11.88
1947,12.12,12.15
1948,11.94,11.97
1949,12.07,12.10
1950,12.36,12.39
1951,12.08,12.11
1952,11.74,11.77
1953,11.80,11.83
1954,11.11,11.14
1955,11.55,11.58
1956,10.78,10.81
1957,11.82,11.85
1958,11.98,12.01
1959,11.99,12.02
1960,11.72,11.75
1961,12.31,12.34
1962,11.29,11.32
1963,11.35,11.38
1964,11.59,11.62
1965,11.07,11.10
1966,11.77,11.80
1967,11.72,11.75
1968,11.47,11.50
1969,11.42,11.45
1970,11.50,11.53
1971,11.49,11.52
1972,11.54,11.57
1973,11.49,11.52
1974,11.63,11.66
1975,11.67,11.70
1976,11.31,11.34
1977,11.71,11.74
1978,11.01,11.04
1979,11.79,11.82
1980,11.01,11.04
1981,11.42,11.45
1982,12.27,12.30
1983,11.72,11.75
1984,11.20,11.23
1985,11.68,11.71
1986,11.73,11.76
1987,11.78,11.81
1988,12.14,12.17
1989,11.70,11.73
1990,12.30,12.33
1991,11.53,11.56
1992,12.35,12.38
1993,12.03,12.06
1994,12.90,12.93
1995,11.85,11.88
1996,11.59,11.62
1997,12.60,12.62
1998,12.31,12.34
1999,12.35,12.38
2000,12.78,12.81
2001,12.53,12.56
2002,12.89,12.92
2003,13.01,13.04
2004,12.36,12.39
2005,11.89,11.91
2006,12.65,12.68
2007,13.02,13.05
2008,12.80,12.83
2009,12.88,12.91
2010,12.09,12.12
2011,13.17,13.20
2012,12.95,12.98
2013,12.72,12.75
2014,13.42,13.45
2015,13.28,13.31
2016,13.10,13.13
2017,12.95,12.98
2018,13.68,13.71
2019,13.55,13.58
2020,13.33,13.36
2021,12.95,12.98
