Variable:,tas
,"South Sudan","El Buheyrat",Unity,"Central Equatoria","Eastern Equatoria",Jonglei,"Northern Bahr El Ghazal",Warab,"Western Bahr El Ghazal","Western Equatoria","Upper Nile"
1901,27.33,27.79,28.85,26.20,26.36,28.29,27.38,28.29,26.07,26.03,28.71
1902,27.16,27.71,28.41,26.23,26.44,28.09,27.18,28.05,26.01,26.03,28.06
1903,27.12,27.69,28.22,26.25,26.54,28.06,27.06,27.93,25.98,26.03,27.89
1904,27.08,27.69,28.40,26.06,26.08,27.99,27.18,28.04,26.01,26.02,28.03
1905,27.06,27.68,28.30,26.09,26.14,27.99,27.14,28.00,26.00,26.02,27.87
1906,27.13,27.71,28.49,26.05,26.09,28.05,27.22,28.09,26.03,26.02,28.17
1907,27.02,27.66,28.30,26.03,26.04,27.87,27.14,28.00,26.00,26.01,27.86
1908,27.13,27.70,28.30,26.23,26.44,28.07,27.11,27.98,25.99,26.04,27.96
1909,26.97,27.64,28.41,25.85,25.69,27.77,27.22,28.08,26.03,25.99,27.91
1910,26.77,27.34,27.90,25.91,25.99,27.79,26.55,27.47,25.51,25.74,27.79
1911,26.90,27.46,28.12,25.98,26.06,27.92,26.75,27.66,25.64,25.81,27.99
1912,26.63,27.23,27.83,25.79,25.62,27.53,26.60,27.49,25.53,25.73,27.51
1913,26.48,27.08,27.58,25.74,25.57,27.38,26.40,27.28,25.38,25.65,27.26
1914,27.07,27.70,28.47,25.99,25.87,27.98,27.23,28.10,26.04,26.01,28.09
1915,27.03,27.62,28.47,25.94,25.81,27.95,27.16,28.05,25.95,25.94,28.16
1916,26.37,26.97,27.42,25.68,25.49,27.26,26.25,27.13,25.27,25.58,27.10
1917,26.34,26.98,27.45,25.58,25.26,27.24,26.28,27.15,25.28,25.57,27.12
1918,26.74,27.35,28.08,25.73,25.49,27.54,27.00,27.78,25.90,25.82,27.55
1919,27.33,27.97,28.93,25.96,25.72,28.18,27.75,28.54,26.55,26.18,28.45
1920,26.34,27.02,27.40,25.71,25.54,27.26,26.17,27.12,25.10,25.61,26.97
1921,26.86,27.42,28.00,26.08,26.23,27.73,26.85,27.71,25.73,25.88,27.55
1922,26.81,27.45,27.89,26.12,26.23,27.80,26.59,27.57,25.46,25.87,27.57
1923,26.89,27.50,28.07,26.06,26.16,27.76,26.94,27.80,25.80,25.93,27.58
1924,27.29,27.86,28.65,26.25,26.39,28.17,27.44,28.28,26.27,26.14,28.17
1925,27.05,27.60,28.31,26.11,26.25,27.87,27.21,28.01,26.06,26.00,27.80
1926,27.19,27.72,28.49,26.19,26.42,28.00,27.38,28.17,26.22,26.06,27.99
1927,27.38,27.92,28.81,26.26,26.40,28.25,27.62,28.44,26.39,26.17,28.35
1928,27.61,28.10,29.15,26.33,26.52,28.48,27.89,28.70,26.63,26.26,28.81
1929,26.77,27.43,28.12,25.76,25.47,27.68,26.88,27.77,25.71,25.84,27.75
1930,26.69,27.31,27.97,25.75,25.54,27.54,26.82,27.67,25.70,25.79,27.54
1931,27.16,27.71,28.62,26.01,25.95,28.00,27.42,28.23,26.24,26.02,28.20
1932,27.01,27.61,28.41,25.92,25.79,27.82,27.30,28.09,26.16,25.99,27.87
1933,27.53,28.14,29.18,26.12,25.99,28.37,27.99,28.77,26.75,26.29,28.67
1934,27.10,27.70,28.50,26.01,25.95,27.94,27.37,28.17,26.21,26.04,28.00
1935,27.16,27.75,28.62,25.96,25.83,28.03,27.43,28.24,26.23,26.06,28.23
1936,27.34,27.89,28.88,25.93,25.74,28.12,27.91,28.57,26.68,26.18,28.52
1937,27.25,27.83,28.71,25.94,25.81,28.04,27.74,28.43,26.57,26.15,28.25
1938,27.31,27.86,28.75,25.99,25.90,28.07,27.86,28.49,26.69,26.19,28.25
1939,27.37,27.86,28.88,26.06,26.05,28.20,27.77,28.50,26.50,26.14,28.66
1940,27.35,27.82,28.81,26.09,26.22,28.20,27.60,28.40,26.32,26.09,28.65
1941,27.20,27.82,28.48,26.21,26.25,28.10,27.28,28.14,26.17,26.18,28.05
