Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
1901,23.56,24.58,23.66
1902,23.79,24.83,23.89
1903,23.93,24.97,24.03
1904,23.63,24.67,23.73
1905,24.06,25.10,24.16
1906,24.00,25.04,24.10
1907,24.04,25.10,24.14
1908,23.61,24.66,23.71
1909,24.18,25.25,24.28
1910,23.55,24.58,23.65
1911,24.00,25.04,24.10
1912,24.08,25.11,24.18
1913,23.62,24.67,23.72
1914,24.08,25.12,24.18
1915,23.89,24.94,23.99
1916,23.89,24.94,23.99
1917,23.89,24.94,23.99
1918,23.89,24.94,23.99
1919,23.89,24.94,23.99
1920,23.89,24.94,23.99
1921,23.89,24.94,23.99
1922,23.89,24.94,23.99
1923,23.89,24.94,23.99
1924,23.89,24.94,23.99
1925,23.89,24.94,23.99
1926,23.89,24.94,23.99
1927,23.89,24.94,23.99
1928,23.89,24.94,23.99
1929,23.89,24.94,23.99
1930,23.89,24.94,23.99
1931,23.89,24.94,23.99
1932,23.89,24.94,23.99
1933,23.89,24.94,23.99
1934,23.89,24.94,23.99
1935,23.89,24.94,23.99
1936,23.89,24.94,23.99
1937,23.89,24.94,23.99
1938,23.89,24.94,23.99
1939,23.89,24.94,23.99
1940,23.89,24.94,23.99
1941,24.41,25.46,24.51
1942,24.28,25.33,24.38
1943,23.70,24.75,23.80
1944,24.39,25.41,24.49
1945,24.50,25.55,24.60
1946,24.12,25.14,24.22
1947,24.48,25.51,24.58
1948,24.08,25.10,24.18
1949,24.48,25.51,24.58
1950,24.36,25.43,24.46
1951,24.26,25.28,24.36
1952,24.14,25.14,24.24
1953,24.03,25.05,24.13
1954,23.64,24.64,23.74
1955,23.83,24.82,23.93
1956,23.69,24.67,23.79
1957,24.05,25.04,24.15
1958,23.91,24.96,24.01
1959,24.00,25.06,24.10
1960,24.11,25.13,24.21
1961,23.90,24.93,24.00
1962,23.92,24.95,24.02
1963,24.32,25.37,24.42
1964,23.94,24.98,24.04
1965,23.91,24.92,24.01
1966,24.26,25.29,24.36
1967,23.98,25.03,24.08
1968,23.94,24.98,24.04
1969,24.12,25.15,24.22
1970,24.07,25.13,24.17
1971,23.69,24.71,23.79
1972,23.63,24.70,23.73
1973,24.06,25.12,24.16
1974,23.57,24.63,23.67
1975,23.56,24.61,23.66
1976,23.35,24.40,23.45
1977,23.83,24.91,23.93
1978,23.78,24.85,23.88
1979,23.99,25.03,24.09
1980,24.02,25.04,24.12
1981,23.80,24.87,23.90
1982,23.63,24.66,23.73
1983,23.94,25.01,24.04
1984,24.11,25.11,24.21
1985,23.74,24.78,23.84
1986,23.67,24.68,23.77
1987,24.29,25.32,24.39
1988,24.05,25.06,24.15
1989,24.04,25.03,24.14
1990,23.96,24.98,24.06
1991,23.97,24.94,24.07
1992,23.77,24.79,23.87
1993,23.97,24.98,24.07
1994,23.91,24.92,24.01
1995,24.19,25.16,24.29
1996,23.99,25.01,24.09
1997,23.85,24.90,23.95
1998,24.52,25.53,24.62
1999,24.16,25.14,24.26
2000,24.21,25.23,24.31
2001,24.22,25.23,24.32
2002,24.44,25.40,24.54
2003,24.47,25.49,24.57
2004,24.23,25.28,24.33
2005,24.31,25.32,24.41
2006,24.36,25.39,24.46
2007,24.36,25.39,24.46
2008,24.21,25.25,24.31
2009,24.29,25.36,24.39
2010,24.49,25.57,24.59
2011,24.17,25.20,24.27
2012,24.25,25.27,24.35
2013,24.28,25.34,24.38
2014,24.36,25.41,24.46
2015,24.43,25.50,24.53
2016,24.52,25.63,24.62
2017,24.43,25.53,24.53
2018,24.59,25.61,24.69
2019,24.42,25.48,24.52
2020,24.49,25.58,24.59
2021,24.70,25.74,24.80
