Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1901,19.36,18.61,21.08,18.02,18.82
1902,19.36,18.64,21.08,18.02,18.78
1903,19.46,18.75,21.19,18.13,18.88
1904,19.26,18.49,20.99,17.92,18.73
1905,19.38,18.66,21.09,18.05,18.82
1906,19.05,18.31,20.77,17.71,18.51
1907,18.81,18.08,20.54,17.47,18.27
1908,19.24,18.52,20.96,17.91,18.67
1909,19.13,18.39,20.85,17.80,18.58
1910,18.61,17.86,20.31,17.28,18.09
1911,18.85,18.08,20.56,17.53,18.35
1912,19.45,18.70,21.16,18.12,18.92
1913,19.65,18.90,21.36,18.32,19.13
1914,19.76,19.04,21.47,18.43,19.22
1915,19.37,18.62,21.07,18.04,18.85
1916,19.39,18.66,21.09,18.06,18.86
1917,18.91,18.20,20.62,17.59,18.36
1918,19.05,18.26,20.77,17.72,18.57
1919,19.33,18.56,21.02,18.01,18.84
1920,19.44,18.69,21.14,18.11,18.92
1921,19.01,18.26,20.72,17.69,18.49
1922,19.72,19.01,21.42,18.40,19.17
1923,19.72,18.97,21.43,18.39,19.22
1924,18.95,18.23,20.65,17.63,18.42
1925,19.36,18.58,21.08,18.02,18.87
1926,19.50,18.74,21.21,18.18,18.98
1927,19.65,18.86,21.36,18.33,19.17
1928,19.51,18.79,21.21,18.19,18.97
1929,19.42,18.68,21.12,18.10,18.91
1930,19.15,18.39,20.85,17.83,18.65
1931,19.88,19.11,21.59,18.54,19.37
1932,19.92,19.13,21.63,18.60,19.45
1933,19.84,19.03,21.54,18.51,19.37
1934,20.00,19.21,21.70,18.68,19.53
1935,19.06,18.29,20.76,17.74,18.57
1936,19.41,18.61,21.12,18.08,18.93
1937,19.74,18.94,21.45,18.42,19.27
1938,19.91,19.12,21.61,18.60,19.44
1939,19.33,18.51,21.05,17.99,18.86
1940,20.06,19.26,21.78,18.73,19.60
1941,20.51,19.71,22.22,19.18,20.02
1942,19.99,19.23,21.70,18.66,19.49
1943,19.39,18.61,21.11,18.04,18.89
1944,20.10,19.33,21.81,18.76,19.59
1945,19.80,18.96,21.49,18.47,19.39
1946,20.21,19.42,21.91,18.88,19.73
1947,20.15,19.39,21.86,18.83,19.64
1948,19.90,19.11,21.61,18.56,19.43
1949,19.95,19.15,21.66,18.63,19.49
1950,20.01,19.23,21.73,18.68,19.52
1951,19.56,18.77,21.27,18.24,19.10
1952,20.18,19.38,21.88,18.85,19.72
1953,19.54,18.73,21.26,18.20,19.06
1954,19.58,18.79,21.29,18.24,19.09
1955,19.14,18.35,20.86,17.80,18.65
1956,19.78,19.00,21.49,18.45,19.30
1957,20.27,19.48,21.98,18.94,19.80
1958,20.27,19.47,21.98,18.93,19.79
1959,19.98,19.18,21.69,18.65,19.51
1960,19.77,18.99,21.50,18.43,19.25
1961,20.00,19.21,21.72,18.68,19.51
1962,20.25,19.49,21.94,18.93,19.73
1963,19.62,18.78,21.33,18.31,19.17
1964,19.58,18.77,21.29,18.26,19.11
1965,19.66,18.85,21.36,18.36,19.15
1966,19.88,19.07,21.60,18.56,19.40
1967,19.47,18.59,21.22,18.12,19.07
1968,19.55,18.74,21.26,18.24,19.07
1969,20.18,19.32,21.91,18.85,19.73
1970,20.35,19.58,22.07,19.03,19.85
1971,19.68,18.85,21.40,18.36,19.21
1972,19.74,18.91,21.44,18.43,19.28
1973,19.85,19.06,21.57,18.53,19.35
1974,19.69,18.79,21.43,18.31,19.32
1975,19.53,18.71,21.25,18.20,19.08
1976,19.51,18.62,21.25,18.15,19.11
1977,20.25,19.39,21.98,18.90,19.82
1978,19.93,19.15,21.62,18.60,19.47
1979,20.18,19.39,21.88,18.85,19.70
1980,19.91,19.01,21.66,18.54,19.52
1981,19.40,18.60,21.09,18.06,18.96
1982,20.21,19.42,21.91,18.90,19.71
1983,20.71,19.92,22.42,19.40,20.22
1984,20.08,19.33,21.76,18.78,19.55
1985,20.60,19.79,22.30,19.28,20.16
1986,20.49,19.70,22.19,19.17,20.01
1987,20.62,19.84,22.34,19.29,20.12
1988,20.34,19.56,22.05,18.99,19.86
1989,20.08,19.30,21.79,18.72,19.63
1990,20.04,19.29,21.71,18.73,19.57
1991,20.33,19.52,22.06,18.97,19.88
1992,21.08,20.29,22.77,19.75,20.60
1993,20.73,19.93,22.43,19.41,20.26
1994,19.78,18.97,21.50,18.45,19.32
1995,20.37,19.60,22.08,19.04,19.90
1996,19.89,19.10,21.60,18.55,19.41
1997,20.03,19.26,21.74,18.69,19.55
1998,20.68,19.93,22.38,19.35,20.19
1999,20.59,19.77,22.31,19.26,20.15
2000,19.77,18.93,21.48,18.43,19.32
2001,20.24,19.44,21.95,18.90,19.76
2002,20.35,19.58,22.06,19.03,19.86
2003,20.72,19.91,22.42,19.39,20.25
2004,20.78,19.98,22.47,19.46,20.32
2005,21.10,20.34,22.80,19.78,20.60
2006,20.41,19.63,22.13,19.08,19.91
2007,20.66,19.86,22.37,19.34,20.19
2008,20.81,20.01,22.51,19.49,20.35
2009,20.65,19.86,22.36,19.33,20.18
2010,20.90,20.08,22.60,19.58,20.46
2011,20.39,19.61,22.12,19.05,19.89
2012,20.83,20.04,22.55,19.50,20.33
2013,20.69,19.87,22.39,19.38,20.23
2014,20.77,19.96,22.48,19.44,20.31
2015,21.35,20.58,23.03,20.04,20.85
2016,21.39,20.59,23.09,20.07,20.92
2017,20.89,20.06,22.59,19.57,20.45
2018,21.24,20.44,22.94,19.91,20.75
2019,21.66,20.89,23.33,20.36,21.18
2020,20.87,20.06,22.58,19.54,20.41
2021,20.55,19.73,22.27,19.21,20.08
