Variable:,tas
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
1901,26.77,26.35,27.02,26.66,26.39,27.83
1902,26.83,26.38,27.10,26.73,26.43,27.97
1903,26.93,26.46,27.26,26.73,26.44,28.24
1904,26.93,26.46,27.27,26.73,26.45,28.24
1905,26.54,26.05,26.80,26.52,26.13,27.74
1906,27.19,26.77,27.48,27.01,26.78,28.32
1907,26.81,26.36,27.07,26.73,26.42,27.95
1908,26.87,26.42,27.16,26.73,26.45,28.07
1909,26.68,26.19,26.97,26.58,26.24,27.93
1910,27.03,26.60,27.31,26.87,26.63,28.17
1911,26.67,26.23,26.86,26.70,26.37,27.66
1912,27.03,26.60,27.33,26.85,26.60,28.20
1913,27.29,26.89,27.60,27.05,26.87,28.43
1914,27.53,27.14,27.86,27.23,27.09,28.71
1915,26.73,26.31,26.93,26.73,26.42,27.68
1916,26.59,26.21,26.71,26.73,26.40,27.29
1917,26.65,26.24,26.80,26.73,26.41,27.47
1918,26.60,26.21,26.72,26.73,26.40,27.33
1919,26.93,26.46,27.26,26.73,26.44,28.24
1920,26.98,26.51,27.32,26.78,26.50,28.29
1921,26.92,26.45,27.26,26.72,26.43,28.23
1922,26.79,26.35,27.03,26.74,26.44,27.84
1923,26.67,26.24,26.97,26.50,26.24,27.81
1924,26.91,26.47,27.26,26.69,26.43,28.17
1925,26.35,25.89,26.72,26.10,25.85,27.68
1926,26.88,26.43,27.13,26.84,26.51,27.97
1927,26.14,25.69,26.39,26.11,25.76,27.24
1928,26.20,25.74,26.49,26.10,25.78,27.37
1929,26.03,25.56,26.30,25.99,25.63,27.19
1930,26.88,26.41,27.10,26.89,26.52,27.98
1931,27.24,26.79,27.59,27.01,26.76,28.52
1932,27.17,26.69,27.44,27.11,26.77,28.35
1933,27.09,26.61,27.30,27.09,26.73,28.20
1934,27.36,26.95,27.70,27.11,26.90,28.58
1935,27.50,27.08,27.98,27.01,26.90,28.97
1936,26.84,26.40,27.24,26.53,26.30,28.19
1937,27.98,27.54,28.44,27.49,27.38,29.49
1938,28.18,27.77,28.71,27.58,27.53,29.75
