Variable:,tas
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
1901,15.95,16.08,15.31,16.47,14.36,15.98,16.63
1902,15.98,16.38,14.90,16.70,14.43,15.69,16.65
1903,14.94,14.99,14.65,15.39,13.33,15.15,15.51
1904,15.02,15.32,14.34,15.66,13.44,14.95,15.59
1905,15.09,15.29,14.60,15.70,13.41,15.14,15.64
1906,15.46,15.76,14.90,16.11,13.72,15.46,15.97
1907,14.72,14.96,13.94,15.31,13.18,14.67,15.32
1908,14.98,15.43,13.95,15.80,13.25,14.73,15.62
1909,15.97,16.35,15.08,16.61,14.42,15.79,16.60
1910,15.38,15.53,14.98,15.79,13.86,15.51,15.92
1911,14.40,14.99,13.19,15.24,12.78,14.02,15.01
1912,15.42,15.74,14.76,16.08,13.71,15.39,15.99
1913,15.54,15.86,14.89,16.17,13.94,15.49,16.06
1914,16.21,16.66,15.29,16.95,14.62,16.02,16.74
1915,16.80,17.27,15.73,17.59,15.14,16.53,17.41
1916,14.98,15.29,14.57,15.56,13.26,15.05,15.45
1917,16.04,16.46,15.43,16.71,14.31,15.96,16.52
1918,14.81,15.04,14.43,15.50,13.07,14.89,15.24
1919,15.17,15.15,14.86,15.62,13.51,15.44,15.77
1920,14.10,14.18,13.84,14.47,12.65,14.36,14.54
1921,15.07,15.26,14.40,15.55,13.63,15.06,15.66
1922,16.05,16.32,15.35,16.63,14.44,16.01,16.63
1923,14.99,15.06,14.93,15.31,13.44,15.28,15.46
1924,15.08,15.27,14.61,15.54,13.54,15.17,15.61
1925,16.01,16.29,15.35,16.55,14.47,16.01,16.56
1926,15.51,15.90,14.74,16.17,13.87,15.43,16.03
1927,15.43,15.73,14.76,16.08,13.69,15.44,15.97
1928,14.28,14.67,13.46,15.01,12.54,14.19,14.82
1929,14.16,14.46,13.67,14.80,12.42,14.28,14.57
1930,14.43,14.67,14.20,14.93,12.85,14.57,14.81
1931,14.21,14.59,13.69,14.92,12.41,14.22,14.65
1932,14.67,14.85,14.30,15.12,13.14,14.81,15.12
1933,14.99,15.26,14.35,15.62,13.31,15.01,15.52
1934,14.16,14.24,14.01,14.66,12.41,14.41,14.64
1935,15.13,15.22,14.87,15.62,13.47,15.35,15.64
1936,15.47,15.68,15.02,16.09,13.71,15.58,15.97
1937,14.99,14.95,14.95,15.38,13.33,15.35,15.50
1938,15.80,15.87,15.50,16.32,14.12,16.01,16.33
1939,15.94,16.10,15.38,16.49,14.30,16.02,16.52
1940,16.40,16.71,15.50,17.14,14.70,16.29,17.04
1941,16.69,17.15,15.47,17.51,15.06,16.39,17.34
1942,15.75,16.12,14.69,16.51,14.10,15.56,16.37
1943,14.71,14.93,14.35,15.30,12.97,14.83,15.21
1944,16.14,16.33,15.59,16.75,14.52,16.19,16.70
1945,14.88,15.20,14.06,15.66,13.10,14.78,15.50
1946,15.44,15.75,14.80,16.10,13.75,15.40,15.96
1947,16.16,16.57,15.24,16.98,14.41,15.97,16.75
1948,15.59,15.78,15.08,16.15,14.01,15.66,16.09
1949,14.14,14.27,13.89,14.65,12.43,14.35,14.62
1950,14.32,14.42,14.07,14.90,12.47,14.55,14.87
1951,15.15,15.29,14.71,15.77,13.38,15.29,15.71
1952,15.24,15.48,14.82,15.88,13.46,15.33,15.75
1953,15.55,15.80,14.84,16.17,13.99,15.49,16.15
1954,14.78,14.88,14.47,15.34,12.96,14.99,15.34
1955,16.54,16.74,15.87,17.19,14.93,16.50,17.15
1956,15.08,15.51,14.16,15.83,13.36,14.90,15.68
1957,14.78,14.66,14.82,15.00,13.35,15.16,15.29
1958,15.99,16.31,15.16,16.64,14.37,15.88,16.60
1959,14.74,15.20,13.88,15.48,12.95,14.62,15.30
1960,15.39,15.51,14.87,15.86,13.75,15.53,16.00
1961,16.23,16.41,15.81,16.56,14.86,16.36,16.69
1962,15.65,15.73,15.62,15.95,14.13,15.99,16.06
1963,16.33,16.68,15.48,17.04,14.69,16.17,16.96
1964,14.60,14.74,14.21,14.98,13.13,14.76,15.08
1965,15.84,16.17,14.93,16.57,14.27,15.68,16.44
1966,16.46,16.61,16.13,17.00,14.80,16.58,16.99
1967,15.50,15.74,15.01,15.94,14.07,15.59,15.96
1968,15.68,15.97,15.17,16.23,14.09,15.70,16.14
1969,14.10,14.44,13.37,14.84,12.40,14.01,14.63
1970,16.06,16.34,15.36,16.70,14.35,16.04,16.63
1971,16.39,16.70,15.70,16.98,14.84,16.35,16.91
1972,14.01,13.89,14.20,14.21,12.46,14.57,14.40
1973,15.73,16.05,14.80,16.45,14.10,15.54,16.39
1974,14.66,14.86,14.43,15.07,13.13,14.86,15.07
1975,15.87,15.94,15.54,16.16,14.52,16.06,16.37
1976,14.95,15.24,14.30,15.59,13.22,14.94,15.51
1977,15.89,16.32,14.85,16.71,14.21,15.62,16.52
1978,15.62,15.93,14.88,16.30,13.94,15.55,16.19
1979,16.20,16.34,15.70,16.68,14.72,16.27,16.73
1980,15.86,16.19,14.96,16.64,14.05,15.72,16.55
1981,16.50,16.73,15.93,17.11,14.87,16.48,17.07
1982,15.06,15.29,14.45,15.52,13.57,15.15,15.55
1983,16.69,17.00,15.79,17.20,15.40,16.55,17.25
1984,14.99,15.32,14.32,15.73,13.22,14.91,15.59
1985,15.94,16.27,15.07,16.54,14.30,15.85,16.58
1986,15.93,16.27,15.33,16.32,14.49,15.97,16.41
1987,16.19,16.53,15.02,16.96,14.42,15.96,17.01
1988,16.47,16.92,15.45,17.21,14.78,16.22,17.12
1989,16.22,16.21,15.83,16.46,14.81,16.51,16.80
1990,16.37,16.66,15.47,16.88,14.89,16.36,16.95
1991,15.99,16.22,15.32,16.49,14.48,16.02,16.57
1992,15.29,15.77,14.36,15.99,13.80,15.05,15.80
1993,15.26,15.51,14.40,15.93,13.62,15.24,15.88
1994,15.74,16.05,14.76,16.49,13.95,15.67,16.39
1995,16.93,17.10,16.27,17.31,15.57,16.98,17.53
1996,15.74,15.90,15.19,16.30,13.99,15.89,16.34
1997,16.63,16.87,15.72,17.21,15.13,16.56,17.29
1998,16.50,16.60,15.94,17.02,14.78,16.70,17.11
1999,17.10,17.34,16.29,17.69,15.60,17.04,17.68
2000,16.93,17.19,16.13,17.46,15.41,16.93,17.48
2001,17.18,17.40,16.34,17.78,15.52,17.23,17.80
2002,16.99,17.25,16.04,17.56,15.52,16.97,17.58
2003,16.16,16.47,15.21,16.79,14.55,16.14,16.71
2004,17.05,17.44,16.34,17.53,15.75,16.97,17.45
2005,16.88,17.11,16.30,17.19,15.57,16.97,17.35
2006,16.94,17.20,16.12,17.55,15.30,16.96,17.52
2007,16.60,16.96,16.07,17.05,15.25,16.56,17.00
2008,16.29,16.54,15.63,16.82,14.69,16.34,16.86
2009,16.69,17.04,15.92,17.25,15.13,16.60,17.27
2010,17.53,17.74,16.99,18.05,15.88,17.61,18.13
2011,16.17,16.55,15.39,16.88,14.43,16.05,16.78
2012,16.34,16.47,16.00,16.79,14.68,16.53,16.90
2013,17.35,17.61,16.49,17.95,15.86,17.30,17.93
2014,16.30,16.42,15.84,16.86,14.48,16.49,16.89
2015,17.10,17.38,16.33,17.68,15.53,17.08,17.66
2016,17.28,17.75,16.15,18.01,15.74,17.02,17.86
2017,16.93,17.19,16.22,17.52,15.28,16.96,17.48
2018,17.11,17.39,16.37,17.80,15.28,17.11,17.73
2019,17.33,17.68,16.56,17.94,15.79,17.23,17.89
2020,16.44,16.59,16.11,16.82,15.04,16.56,16.91
2021,17.65,18.01,16.72,18.33,16.05,17.53,18.23
