Variable:,tas
,Tunisia,Ariana,"Ben Arous",Bizerte,Beja,Gabes,Gafsa,Jendouba,Kairouan,Kasserine,Kebili,"Le Kef",Mahdia,Manouba,Monastir,Medenine,Nabeul,Sfax,"Sidi Bouz",Siliana,Sousse,Tataouine,Tozeur,Tunis,Zaghouan
1901,19.06,17.62,17.69,17.20,16.94,19.26,18.43,16.23,17.97,15.64,20.68,15.52,18.60,17.50,18.81,20.11,17.77,18.54,18.00,16.14,18.64,20.70,20.70,17.68,17.48
1902,19.20,17.79,17.86,17.39,17.12,19.42,18.62,16.46,18.12,15.85,20.82,15.74,18.75,17.67,18.97,20.22,17.92,18.68,18.17,16.33,18.79,20.78,20.87,17.85,17.65
1903,18.74,17.36,17.43,16.95,16.68,18.94,18.14,15.97,17.68,15.36,20.36,15.24,18.32,17.25,18.51,19.75,17.49,18.23,17.71,15.87,18.34,20.31,20.42,17.42,17.21
1904,19.06,17.74,17.80,17.37,17.08,19.25,18.49,16.35,18.05,15.72,20.68,15.61,18.66,17.64,18.89,20.04,17.85,18.56,18.05,16.25,18.72,20.58,20.75,17.79,17.59
1905,18.76,17.36,17.43,16.95,16.67,18.95,18.16,15.99,17.68,15.37,20.37,15.27,18.30,17.23,18.51,19.77,17.49,18.22,17.71,15.88,18.33,20.37,20.41,17.42,17.20
1906,18.69,17.25,17.32,16.86,16.59,18.87,18.08,15.87,17.62,15.31,20.28,15.20,18.21,17.15,18.41,19.68,17.38,18.15,17.66,15.80,18.25,20.32,20.32,17.31,17.12
1907,18.63,17.26,17.32,16.87,16.58,18.82,17.99,15.87,17.57,15.23,20.20,15.12,18.20,17.14,18.40,19.65,17.39,18.11,17.58,15.76,18.24,20.25,20.24,17.31,17.10
1908,18.86,17.48,17.55,17.09,16.83,19.08,18.26,16.10,17.81,15.50,20.47,15.38,18.43,17.38,18.61,19.87,17.59,18.35,17.84,16.01,18.46,20.43,20.52,17.54,17.34
1909,18.75,17.34,17.41,16.97,16.70,18.95,18.17,16.00,17.71,15.45,20.35,15.34,18.31,17.23,18.49,19.74,17.44,18.24,17.76,15.92,18.32,20.31,20.42,17.40,17.20
1910,18.68,17.26,17.33,16.88,16.61,18.90,18.09,15.93,17.62,15.31,20.32,15.21,18.23,17.17,18.43,19.68,17.39,18.16,17.65,15.81,18.27,20.26,20.35,17.32,17.13
