Variable:,tas
,Uganda,Abim,Amudat,Amuru,Apac,Budaka,Bugiri,Buikwe,Bukomansimbi,Bukwo,Bulambuli,Buliisa,Bundibugyo,Bushenyi,Buyende,Butambala,Iganga,Kalungu,Kamuli,Kapchorwa,Sheema,Kitgum,Kole,Kotido,Kween,Lamwo,Luuka,Manafwa,Masaka,Masindi,Moroto,Nakapiripirit,Namutumba,Napak,Nebbi,Ngora,Buhweju,Ntoroko,Maracha,Otuke,Oyam,Pader,Rubirizi,Sironko,Soroti,Zombo,Bukedea,Dokolo,Agago,Alebtong,Arua,Bududa,Buvuma,Gomba,Gulu,Kiboga,Kibuku,Kiryandongo,Kumi,Kyankwanzi,Mitooma,Kyegegwa,Kyenjojo,Mpigi,Nwoya,Serere,Lwengo,Mukono,Namayingo,Pallisa,Lira,Rakai,Lyantonde,Adjumani,Busia,Hoima,Jinja,Kabale,Kalangala,Kasese,Kibaale,Kisoro,Moyo,Ntungamo,Ssembabule,Kabarole,Kaberamaido,Kampala,Kamwenge,Kanungu,Kayunga,Mayuge,Nakasongola,Rukungiri,Wakiso,Yumbe,Amolatar,Amuria,Butaleja,Ibanda,Isingiro,Kaabong,Kaliro,Katakwi,Kiruhura,Koboko,Luwero,Mbale,Mbarara,Mityana,Mubende,Nakaseke,Tororo
1901,22.59,23.58,22.33,24.31,23.29,22.59,22.93,22.26,21.20,17.03,21.60,23.88,21.04,20.42,23.42,21.61,23.06,21.22,23.09,20.93,19.66,24.06,23.44,23.42,19.06,23.76,22.99,21.98,21.22,23.08,23.62,23.21,23.21,23.79,24.08,23.77,20.78,21.88,22.69,23.92,23.47,24.09,22.42,21.15,23.89,20.48,21.69,23.63,24.01,23.75,23.98,20.98,22.40,21.44,23.80,21.87,23.53,23.50,23.70,22.38,20.25,21.01,20.89,21.68,23.93,23.63,20.62,22.28,22.66,23.36,23.62,20.61,20.48,24.89,22.41,23.18,22.83,17.31,21.94,20.90,21.73,16.28,25.04,19.22,20.89,21.05,23.67,22.11,21.04,20.78,22.96,22.60,22.98,21.37,21.93,24.75,23.35,24.00,22.78,20.78,19.73,23.23,23.41,24.00,20.50,23.97,22.68,21.50,19.91,21.76,21.33,22.54,22.31
1902,22.68,23.62,22.40,24.36,23.36,22.70,23.07,22.41,21.32,17.12,21.70,23.95,21.12,20.55,23.51,21.73,23.18,21.34,23.19,21.04,19.78,24.11,23.48,23.48,19.15,23.80,23.10,22.10,21.35,23.16,23.67,23.27,23.35,23.83,24.14,23.83,20.90,21.96,22.74,23.95,23.51,24.11,22.54,21.26,23.92,20.54,21.79,23.68,24.05,23.79,24.04,21.09,22.56,21.56,23.84,21.97,23.63,23.57,23.78,22.47,20.38,21.12,20.98,21.80,23.98,23.70,20.75,22.41,22.82,23.46,23.66,20.75,20.61,24.93,22.55,23.26,22.94,17.44,22.10,21.00,21.82,16.41,25.07,19.35,21.01,21.14,23.72,22.24,21.15,20.89,23.06,22.76,23.06,21.49,22.06,24.79,23.43,24.05,22.91,20.90,19.87,23.30,23.51,24.04,20.62,24.00,22.79,21.61,20.03,21.87,21.44,22.63,22.43
1903,22.60,23.64,22.39,24.33,23.29,22.63,22.97,22.28,21.18,17.09,21.65,23.87,21.01,20.41,23.43,21.61,23.09,21.21,23.10,20.99,19.64,24.12,23.44,23.50,19.12,23.81,23.00,22.02,21.21,23.07,23.69,23.25,23.27,23.83,24.09,23.79,20.77,21.86,22.70,23.94,23.47,24.11,22.41,21.20,23.90,20.46,21.74,23.64,24.05,23.76,23.99,21.03,22.42,21.44,23.82,21.86,23.56,23.50,23.73,22.36,20.24,21.00,20.87,21.67,23.94,23.64,20.61,22.29,22.68,23.39,23.63,20.61,20.46,24.92,22.44,23.17,22.84,17.29,21.95,20.88,21.71,16.26,25.07,19.20,20.88,21.02,23.68,22.12,21.03,20.77,22.96,22.62,22.97,21.36,21.94,24.77,23.35,24.03,22.83,20.77,19.73,23.37,23.44,24.02,20.49,23.99,22.68,21.54,19.90,21.76,21.32,22.52,22.35
1904,22.10,23.08,21.75,23.94,22.75,22.01,22.35,21.67,20.65,16.44,21.03,23.45,20.69,20.06,22.81,21.04,22.46,20.67,22.48,20.36,19.28,23.64,22.92,22.93,18.47,23.40,22.38,21.38,20.67,22.61,23.08,22.62,22.63,23.23,23.71,23.16,20.42,21.52,22.44,23.40,22.98,23.65,22.09,20.58,23.28,20.16,21.12,23.07,23.54,23.21,23.68,20.41,21.82,20.90,23.39,21.32,22.94,23.02,23.10,21.86,19.90,20.55,20.45,21.10,23.52,23.03,20.10,21.68,22.08,22.77,23.11,20.09,19.97,24.56,21.81,22.76,22.22,16.97,21.38,20.57,21.28,15.98,24.75,18.83,20.38,20.68,23.10,21.50,20.65,20.47,22.36,22.02,22.42,21.06,21.35,24.48,22.79,23.44,22.19,20.38,19.28,22.81,22.81,23.41,20.04,23.72,22.09,20.92,19.49,21.19,20.82,21.97,21.71
1905,22.18,23.17,21.87,24.01,22.84,22.11,22.46,21.79,20.74,16.57,21.13,23.53,20.72,20.05,22.92,21.15,22.58,20.77,22.60,20.47,19.27,23.71,23.01,23.02,18.60,23.45,22.51,21.51,20.77,22.68,23.18,22.73,22.74,23.33,23.77,23.28,20.41,21.57,22.48,23.49,23.06,23.71,22.07,20.68,23.40,20.22,21.22,23.17,23.62,23.31,23.73,20.52,21.95,21.00,23.45,21.43,23.04,23.10,23.21,21.95,19.88,20.62,20.53,21.21,23.58,23.14,20.17,21.80,22.22,22.87,23.20,20.17,20.03,24.61,21.94,22.82,22.35,16.92,21.50,20.56,21.35,15.91,24.79,18.82,20.45,20.72,23.20,21.62,20.67,20.43,22.47,22.15,22.50,21.02,21.46,24.53,22.88,23.54,22.31,20.39,19.30,22.87,22.92,23.52,20.08,23.77,22.20,21.03,19.49,21.30,20.90,22.07,21.84
1906,21.87,22.96,21.59,23.81,22.53,21.75,22.04,21.36,20.35,16.23,20.78,23.26,20.44,19.72,22.55,20.75,22.17,20.38,22.19,20.11,18.93,23.57,22.73,22.85,18.27,23.33,22.08,21.13,20.36,22.38,22.98,22.45,22.35,23.09,23.55,22.92,20.08,21.31,22.34,23.23,22.79,23.51,21.76,20.32,23.05,20.02,20.86,22.85,23.43,23.01,23.55,20.16,21.52,20.61,23.23,21.04,22.67,22.81,22.87,21.61,19.55,20.29,20.22,20.80,23.34,22.79,19.79,21.38,21.76,22.51,22.92,19.75,19.65,24.45,21.52,22.54,21.92,16.58,21.07,20.26,21.05,15.59,24.67,18.47,20.09,20.42,22.87,21.20,20.35,20.11,22.08,21.70,22.16,20.70,21.05,24.41,22.55,23.25,21.92,20.06,18.91,22.76,22.54,23.21,19.72,23.65,21.80,20.66,19.13,20.90,20.55,21.70,21.46
1907,21.92,22.98,21.61,23.85,22.58,21.80,22.12,21.44,20.40,16.27,20.83,23.30,20.48,19.74,22.60,20.83,22.24,20.43,22.25,20.16,18.95,23.55,22.75,22.85,18.31,23.33,22.15,21.17,20.42,22.44,22.98,22.48,22.42,23.12,23.59,22.98,20.12,21.34,22.37,23.26,22.83,23.53,21.78,20.37,23.13,20.07,20.91,22.89,23.44,23.06,23.59,20.20,21.59,20.69,23.27,21.12,22.72,22.87,22.91,21.68,19.56,20.33,20.26,20.88,23.38,22.83,19.84,21.47,21.85,22.55,22.95,19.82,19.71,24.48,21.59,22.59,21.99,16.59,21.15,20.28,21.10,15.59,24.68,18.48,20.15,20.46,22.91,21.29,20.38,20.13,22.15,21.79,22.22,20.72,21.13,24.43,22.60,23.29,21.98,20.10,18.95,22.75,22.59,23.26,19.76,23.67,21.88,20.71,19.16,20.98,20.61,21.77,21.50
1908,22.51,23.59,22.32,24.31,23.21,22.53,22.86,22.16,21.03,17.01,21.57,23.78,20.92,20.27,23.31,21.46,22.98,21.06,22.99,20.91,19.50,24.08,23.39,23.45,19.04,23.78,22.90,21.92,21.06,22.98,23.64,23.18,23.15,23.78,24.02,23.70,20.63,21.77,22.68,23.89,23.40,24.07,22.28,21.12,23.82,20.43,21.65,23.56,24.02,23.71,23.96,20.95,22.30,21.29,23.78,21.73,23.45,23.42,23.63,22.25,20.10,20.87,20.75,21.53,23.88,23.54,20.46,22.16,22.57,23.28,23.58,20.46,20.32,24.89,22.33,23.06,22.73,17.14,21.82,20.77,21.60,16.12,25.05,19.05,20.74,20.93,23.59,21.99,20.90,20.63,22.84,22.51,22.86,21.23,21.80,24.74,23.25,23.96,22.72,20.63,19.57,23.29,23.32,23.94,20.34,23.96,22.55,21.46,19.74,21.62,21.19,22.40,22.25
1909,21.25,22.33,20.85,23.35,21.85,20.97,21.26,20.57,19.60,15.47,20.01,22.71,20.04,19.29,21.76,19.99,21.38,19.63,21.40,19.34,18.50,23.04,22.07,22.25,17.51,22.88,21.29,20.33,19.64,21.77,22.30,21.71,21.56,22.40,23.08,22.16,19.65,20.86,22.02,22.58,22.18,22.96,21.38,19.55,22.31,19.61,20.09,22.13,22.83,22.35,23.18,19.38,20.75,19.88,22.71,20.32,21.89,22.20,22.10,20.94,19.16,19.69,19.68,20.04,22.82,22.01,19.12,20.60,21.03,21.73,22.28,19.12,19.02,24.04,20.75,21.98,21.13,16.23,20.32,19.88,20.45,15.27,24.31,18.04,19.43,19.99,22.11,20.41,19.86,19.78,21.30,20.95,21.43,20.36,20.27,24.09,21.84,22.54,21.12,19.57,18.37,22.24,21.75,22.48,19.16,23.35,21.03,19.88,18.62,20.15,19.85,20.98,20.66
1910,21.32,22.58,21.05,23.46,21.93,21.05,21.28,20.56,19.62,15.60,20.15,22.72,20.05,19.29,21.83,19.99,21.41,19.65,21.44,19.46,18.49,23.29,22.20,22.53,17.66,23.08,21.32,20.39,19.64,21.79,22.60,21.92,21.60,22.66,23.10,22.28,19.65,20.87,22.07,22.77,22.29,23.15,21.38,19.67,22.47,19.63,20.22,22.26,23.06,22.51,23.21,19.50,20.70,19.90,22.86,20.33,21.96,22.25,22.23,20.95,19.15,19.70,19.69,20.04,22.90,22.12,19.13,20.58,20.97,21.81,22.43,19.10,19.02,24.14,20.75,21.97,21.14,16.24,20.29,19.88,20.44,15.29,24.41,18.03,19.43,20.00,22.24,20.40,19.88,19.80,21.32,20.91,21.45,20.37,20.27,24.17,21.92,22.74,21.17,19.58,18.36,22.56,21.82,22.68,19.17,23.43,21.03,19.97,18.62,20.15,19.86,20.98,20.70
