Variable:,tas
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1901,17.33,18.85,16.81,17.16,17.18,17.29,17.18,16.85,16.46,16.19,16.72,17.79,17.67,17.74,16.30,18.12,16.91,17.37,17.58,16.76
1902,17.37,18.92,16.77,17.35,17.07,17.32,17.11,16.84,16.50,16.18,16.65,17.77,17.61,17.92,16.39,18.15,16.85,17.26,17.69,16.93
1903,16.97,18.43,16.45,17.00,16.66,16.90,16.70,16.48,16.20,15.93,16.35,17.29,17.15,17.51,16.15,17.66,16.48,16.83,17.26,16.60
1904,16.89,18.44,16.24,16.86,16.60,16.81,16.65,16.33,15.99,15.68,16.13,17.34,17.19,17.40,15.94,17.70,16.35,16.83,17.18,16.44
1905,16.68,18.23,16.05,16.69,16.37,16.60,16.42,16.12,15.80,15.49,15.95,17.07,16.92,17.24,15.76,17.45,16.13,16.58,16.99,16.27
1906,17.47,19.04,16.83,17.31,17.25,17.44,17.29,16.94,16.53,16.19,16.72,17.99,17.84,17.94,16.35,18.34,16.98,17.48,17.78,16.88
1907,16.67,18.19,16.06,16.65,16.38,16.59,16.41,16.12,15.80,15.50,15.95,17.07,16.93,17.20,15.75,17.43,16.13,16.59,16.96,16.23
1908,17.13,18.56,16.62,17.00,16.93,17.10,16.97,16.67,16.33,16.05,16.53,17.56,17.44,17.53,16.21,17.87,16.71,17.12,17.38,16.63
1909,16.92,18.44,16.39,16.81,16.70,16.87,16.73,16.43,16.08,15.80,16.28,17.33,17.22,17.36,15.99,17.67,16.47,16.89,17.19,16.42
1910,17.07,18.52,16.52,17.00,16.79,17.04,16.87,16.60,16.25,15.95,16.41,17.45,17.33,17.55,16.13,17.80,16.59,16.99,17.38,16.62
1911,16.47,18.07,15.80,16.39,16.21,16.40,16.24,15.90,15.55,15.22,15.67,16.93,16.78,16.99,15.46,17.29,15.93,16.43,16.77,15.97
1912,17.15,18.75,16.48,17.03,16.90,17.09,16.94,16.58,16.21,15.89,16.37,17.64,17.49,17.62,16.11,17.99,16.61,17.14,17.44,16.62
1913,17.89,19.18,17.52,17.64,17.92,17.88,17.83,17.51,17.13,16.91,17.44,18.31,18.28,18.13,16.98,18.53,17.61,18.06,18.07,17.34
1914,17.34,18.81,16.71,17.35,17.04,17.27,17.07,16.79,16.50,16.19,16.59,17.72,17.58,17.86,16.47,18.08,16.78,17.25,17.63,16.95
1915,17.09,18.50,16.55,17.05,16.90,17.04,16.89,16.60,16.29,15.98,16.44,17.46,17.36,17.56,16.22,17.77,16.63,17.08,17.36,16.68
1916,17.23,18.58,16.78,17.16,17.09,17.17,17.03,16.78,16.50,16.25,16.66,17.57,17.48,17.60,16.46,17.88,16.82,17.23,17.42,16.82
1917,17.06,18.44,16.64,16.89,16.92,17.03,16.90,16.65,16.33,16.09,16.54,17.43,17.35,17.37,16.24,17.72,16.68,17.08,17.27,16.58
1918,17.01,18.38,16.53,16.97,16.79,16.97,16.80,16.57,16.27,16.01,16.43,17.33,17.25,17.44,16.22,17.65,16.57,16.95,17.25,16.62
1919,17.42,18.92,16.80,17.38,17.12,17.37,17.18,16.89,16.59,16.28,16.68,17.84,17.69,17.91,16.54,18.19,16.88,17.34,17.70,17.00
1920,17.36,18.78,16.83,17.29,17.15,17.31,17.15,16.88,16.57,16.30,16.74,17.74,17.64,17.78,16.50,18.06,16.91,17.33,17.61,16.92
1921,16.88,18.34,16.30,16.87,16.54,16.85,16.62,16.38,16.05,15.75,16.19,17.24,17.11,17.42,16.00,17.58,16.36,16.74,17.21,16.47
1922,16.93,18.30,16.41,16.97,16.60,16.88,16.67,16.46,16.18,15.89,16.29,17.22,17.12,17.46,16.14,17.55,16.43,16.78,17.23,16.59
1923,16.85,18.47,16.11,16.89,16.43,16.78,16.52,16.25,15.95,15.60,15.97,17.27,17.08,17.46,15.92,17.67,16.19,16.68,17.20,16.46
1924,16.48,18.05,15.81,16.46,16.16,16.41,16.20,15.92,15.61,15.28,15.69,16.89,16.74,17.01,15.57,17.26,15.90,16.38,16.79,16.06
1925,17.25,18.78,16.63,17.18,16.94,17.21,17.01,16.72,16.40,16.08,16.51,17.67,17.52,17.74,16.34,18.02,16.70,17.16,17.56,16.80
1926,17.85,19.40,17.16,17.77,17.48,17.84,17.62,17.31,16.95,16.58,17.02,18.32,18.15,18.37,16.83,18.68,17.25,17.75,18.20,17.36
1927,17.55,18.99,17.01,17.47,17.26,17.54,17.35,17.08,16.76,16.45,16.89,17.94,17.83,18.02,16.66,18.27,17.07,17.47,17.86,17.10
1928,16.95,18.40,16.34,17.01,16.56,16.89,16.67,16.43,16.14,15.84,16.21,17.29,17.16,17.52,16.14,17.65,16.39,16.79,17.27,16.61
1929,17.61,19.00,17.12,17.47,17.40,17.60,17.43,17.17,16.85,16.57,17.01,17.99,17.90,17.97,16.74,18.29,17.19,17.59,17.87,17.14
1930,17.56,19.05,16.94,17.50,17.23,17.53,17.33,17.05,16.72,16.39,16.81,17.97,17.82,18.04,16.64,18.32,17.02,17.46,17.87,17.11
1931,17.00,18.38,16.29,17.09,16.54,16.95,16.65,16.43,16.17,15.82,16.16,17.41,17.17,17.61,16.15,17.76,16.33,16.80,17.41,16.64
1932,18.12,19.48,17.50,18.08,17.81,18.07,17.89,17.62,17.30,16.97,17.37,18.55,18.37,18.68,17.22,18.89,17.58,18.04,18.49,17.67
1933,17.59,19.28,16.83,17.59,17.21,17.49,17.29,16.98,16.62,16.26,16.66,18.07,17.83,18.26,16.57,18.50,16.91,17.45,17.96,17.14
1934,17.19,18.72,16.39,17.23,16.75,17.17,16.88,16.66,16.31,15.91,16.26,17.63,17.47,17.80,16.29,17.96,16.47,17.04,17.57,16.85
1935,17.42,18.98,16.68,17.35,17.08,17.42,17.18,16.88,16.54,16.18,16.53,17.90,17.72,17.91,16.50,18.21,16.75,17.34,17.71,16.99
1936,17.44,18.96,16.78,17.44,17.02,17.39,17.12,16.91,16.63,16.28,16.65,17.84,17.67,17.97,16.60,18.18,16.84,17.27,17.77,17.05
1937,17.12,18.64,16.48,17.08,16.77,17.08,16.85,16.60,16.31,15.97,16.35,17.54,17.36,17.58,16.28,17.85,16.55,16.99,17.39,16.72
1938,17.26,18.57,16.67,17.28,16.97,17.24,17.04,16.75,16.48,16.15,16.53,17.64,17.52,17.79,16.43,17.90,16.73,17.19,17.60,16.86
1939,17.51,18.99,16.73,17.52,17.10,17.50,17.23,16.95,16.62,16.24,16.59,17.98,17.80,18.10,16.58,18.30,16.80,17.39,17.88,17.08
1940,17.46,18.85,16.77,17.49,17.08,17.43,17.18,16.93,16.65,16.29,16.63,17.86,17.73,18.00,16.62,18.16,16.83,17.34,17.82,17.09
1941,16.99,18.68,16.18,17.09,16.47,16.95,16.67,16.42,16.05,15.70,16.04,17.38,17.23,17.66,16.04,17.83,16.24,16.79,17.35,16.59
1942,17.15,18.78,16.35,17.25,16.65,17.13,16.83,16.58,16.25,15.90,16.22,17.52,17.40,17.82,16.24,17.96,16.41,16.95,17.51,16.78
1943,17.93,19.49,17.21,17.97,17.50,17.93,17.64,17.42,17.08,16.73,17.07,18.33,18.22,18.54,17.04,18.69,17.27,17.75,18.25,17.51
1944,18.09,20.12,17.02,18.20,17.37,18.03,17.68,17.42,17.01,16.58,16.87,18.58,18.35,18.95,16.99,19.16,17.10,17.79,18.54,17.65
1945,18.03,19.89,17.12,18.09,17.53,17.92,17.69,17.36,16.98,16.61,16.99,18.49,18.22,18.75,16.91,19.05,17.25,17.85,18.46,17.58
1946,17.28,18.89,16.58,17.33,16.83,17.24,16.95,16.74,16.42,16.10,16.44,17.65,17.51,17.90,16.40,18.05,16.61,17.08,17.60,16.87
1947,17.36,19.08,16.66,17.44,16.91,17.27,17.00,16.77,16.47,16.17,16.52,17.71,17.55,18.05,16.45,18.19,16.69,17.14,17.68,16.93
1948,17.35,19.19,16.59,17.44,16.85,17.25,16.96,16.74,16.42,16.08,16.45,17.71,17.52,18.09,16.40,18.25,16.63,17.10,17.70,16.92
1949,17.46,19.27,16.57,17.55,16.95,17.37,17.09,16.82,16.47,16.06,16.44,17.89,17.71,18.20,16.47,18.37,16.68,17.25,17.83,17.05
1950,17.47,19.23,16.63,17.55,16.93,17.42,17.11,16.87,16.52,16.12,16.49,17.94,17.75,18.17,16.49,18.35,16.72,17.21,17.84,17.07
1951,17.93,19.55,17.21,17.93,17.41,17.91,17.70,17.39,17.08,16.68,17.06,18.34,18.20,18.50,16.99,18.74,17.29,17.72,18.28,17.55
1952,18.10,19.74,17.36,18.11,17.55,18.09,17.84,17.54,17.23,16.83,17.20,18.50,18.31,18.69,17.15,18.93,17.45,17.85,18.49,17.69
1953,17.95,19.77,17.07,18.04,17.28,17.87,17.55,17.25,16.95,16.57,16.88,18.45,18.13,18.66,16.91,18.93,17.14,17.64,18.41,17.58
1954,17.59,19.23,16.86,17.63,17.07,17.52,17.28,17.00,16.70,16.35,16.71,17.99,17.81,18.22,16.65,18.39,16.93,17.36,17.98,17.20
1955,17.06,18.71,16.34,17.04,16.64,16.98,16.72,16.47,16.16,15.77,16.30,17.52,17.28,17.66,16.12,17.93,16.42,16.84,17.44,16.63
1956,16.83,18.41,16.17,16.77,16.49,16.75,16.52,16.29,15.98,15.58,16.18,17.28,17.04,17.36,15.94,17.64,16.26,16.62,17.18,16.40
