Variable:,tas
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1901,25.04,23.89,26.75,27.23,23.76,26.04,23.97,23.70,26.00,26.48,26.59,26.66,26.86,24.33,18.64,24.51,26.45,26.83,26.11,24.77,22.02,22.17,24.54,26.64,22.53,22.20
1902,24.69,23.70,26.37,26.78,23.30,25.57,23.66,23.20,25.50,26.18,26.13,26.19,26.43,23.85,18.21,24.06,26.10,26.46,25.62,24.43,21.66,21.70,24.04,26.25,22.06,21.74
1903,24.77,23.74,26.44,26.89,23.42,25.68,23.71,23.34,25.63,26.21,26.26,26.30,26.53,23.97,18.31,24.19,26.16,26.55,25.73,24.51,21.75,21.81,24.18,26.34,22.18,21.86
1904,24.64,23.68,26.24,26.92,23.30,25.72,23.49,23.22,25.57,25.92,25.96,26.13,26.44,23.88,18.34,24.03,25.89,26.33,25.72,24.24,21.77,21.79,24.05,26.33,22.01,21.71
1905,24.58,23.63,26.24,26.64,23.18,25.42,23.55,23.11,25.37,26.06,26.03,26.08,26.29,23.72,18.07,23.96,25.99,26.37,25.47,24.32,21.54,21.57,23.94,26.13,21.96,21.64
1906,24.59,23.65,26.25,26.67,23.15,25.45,23.55,23.05,25.35,26.05,25.93,26.01,26.30,23.69,18.10,23.93,25.98,26.33,25.47,24.30,21.56,21.56,23.89,26.13,21.89,21.58
1907,24.69,23.71,26.30,27.01,23.35,25.81,23.53,23.25,25.63,25.94,25.94,26.12,26.52,23.90,18.43,24.07,25.93,26.36,25.79,24.27,21.85,21.86,24.07,26.38,22.02,21.72
1908,24.49,23.59,26.11,26.59,23.02,25.37,23.44,22.93,25.24,25.93,25.82,25.89,26.18,23.57,18.02,23.79,25.84,26.20,25.37,24.17,21.51,21.46,23.77,26.05,21.77,21.45
1909,24.60,23.66,26.22,26.81,23.18,25.60,23.50,23.08,25.44,25.96,25.87,26.00,26.35,23.74,18.23,23.93,25.91,26.27,25.58,24.23,21.68,21.67,23.92,26.23,21.88,21.58
1910,24.62,23.70,26.24,26.81,23.17,25.59,23.54,23.07,25.44,25.97,25.88,26.01,26.37,23.73,18.23,23.93,25.93,26.29,25.58,24.26,21.68,21.66,23.90,26.22,21.86,21.57
1911,24.75,23.80,26.38,26.95,23.32,25.74,23.67,23.21,25.58,26.07,25.97,26.11,26.51,23.87,18.37,24.06,26.06,26.41,25.73,24.36,21.80,21.80,24.04,26.33,22.01,21.71
1912,24.71,23.82,26.38,26.73,23.24,25.51,23.72,23.14,25.42,26.18,26.04,26.08,26.40,23.76,18.15,24.04,26.12,26.46,25.53,24.43,21.60,21.62,23.97,26.18,21.98,21.68
1913,24.78,23.84,26.33,27.16,23.41,25.97,23.59,23.30,25.75,25.90,25.90,26.16,26.62,24.00,18.57,24.13,25.93,26.35,25.94,24.25,21.98,22.00,24.12,26.50,22.06,21.78
1914,24.56,23.75,26.10,26.79,23.19,25.59,23.39,23.11,25.44,25.71,25.90,26.05,26.31,23.77,18.23,23.92,25.75,26.22,25.59,24.13,21.67,21.67,23.95,26.23,21.90,21.60
