Variable:,tas
,Vanuatu,Malampa,Penama,Sanma,Shefa,Tafea,Torba
1901,24.40,24.51,24.28,24.38,24.79,23.31,25.20
1902,24.01,24.05,23.95,24.03,24.23,22.65,25.04
1903,24.39,24.52,24.27,24.38,24.81,23.33,25.21
1904,23.89,23.89,23.85,23.92,24.02,22.41,24.98
1905,24.00,24.03,23.94,24.02,24.21,22.62,25.03
1906,24.21,24.29,24.11,24.21,24.52,22.98,25.12
1907,24.46,24.58,24.34,24.44,24.89,23.42,25.23
1908,24.20,24.27,24.10,24.20,24.50,22.96,25.11
1909,24.53,24.68,24.40,24.50,25.00,23.54,25.27
1910,24.91,25.13,24.73,24.85,25.56,24.18,25.43
1911,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1912,24.16,24.22,24.07,24.16,24.44,22.89,25.09
1913,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1914,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1915,24.15,24.22,24.07,24.16,24.44,22.92,25.09
1916,24.16,24.22,24.07,24.16,24.44,22.93,25.09
1917,24.15,24.22,24.07,24.16,24.44,22.90,25.09
1918,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1919,24.15,24.22,24.07,24.16,24.44,22.88,25.09
1920,24.16,24.22,24.07,24.16,24.44,22.90,25.09
1921,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1922,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1923,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1924,24.16,24.22,24.07,24.16,24.44,22.89,25.09
1925,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1926,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1927,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1928,24.16,24.22,24.07,24.16,24.44,22.89,25.09
1929,24.15,24.22,24.07,24.16,24.44,22.90,25.09
1930,24.15,24.22,24.07,24.16,24.44,22.89,25.09
1931,24.15,24.22,24.07,24.16,24.44,22.90,25.09
1932,24.33,24.37,24.25,24.34,24.54,22.93,25.30
1933,24.21,24.26,24.12,24.22,24.46,22.91,25.14
1934,24.11,24.17,24.02,24.12,24.41,22.88,25.03
1935,24.04,24.11,23.95,24.05,24.38,22.89,24.97
1936,23.90,24.02,23.84,23.89,24.30,22.87,24.82
1937,23.95,24.04,23.85,23.95,24.30,22.86,24.85
1938,24.20,24.25,24.08,24.21,24.45,22.90,25.12
1939,24.15,24.21,24.05,24.16,24.43,22.88,25.07
1940,24.37,24.40,24.28,24.39,24.56,22.90,25.33
1941,24.46,24.55,24.32,24.45,24.84,23.35,25.27
1942,24.43,24.54,24.30,24.41,24.92,23.60,25.15
1943,24.23,24.34,24.12,24.22,24.64,23.18,25.04
1944,24.24,24.31,24.14,24.25,24.57,23.08,25.14
1945,24.47,24.42,24.39,24.52,24.55,22.83,25.60
1946,24.57,24.61,24.46,24.58,24.90,23.47,25.49
1947,24.68,24.70,24.58,24.70,24.95,23.44,25.65
1948,24.49,24.56,24.38,24.49,24.82,23.31,25.39
1949,24.53,24.59,24.42,24.53,24.85,23.29,25.39
1950,24.26,24.38,24.13,24.25,24.71,23.36,25.04
