Variable:,tas
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1901,16.87,15.15,16.19,15.83,15.17,17.07,19.82,16.78,17.81,17.35
1902,16.75,15.00,16.18,15.65,15.00,16.92,19.92,16.80,17.72,17.15
1903,16.63,14.98,16.29,15.24,14.82,16.98,20.08,16.92,17.79,16.89
1904,16.69,15.05,16.01,15.58,15.07,17.03,19.54,16.63,17.59,17.11
1905,16.81,15.09,16.26,15.65,15.01,16.98,19.99,16.85,17.85,17.24
1906,16.52,14.82,15.87,15.43,14.85,16.74,19.50,16.49,17.43,16.97
1907,16.39,14.66,15.65,15.39,14.74,16.55,19.25,16.27,17.21,16.92
1908,16.65,14.92,16.11,15.46,14.84,16.82,19.84,16.71,17.68,17.08
1909,16.78,14.98,15.98,15.85,15.07,16.82,19.64,16.59,17.59,17.36
1910,16.52,14.69,15.59,15.74,14.84,16.47,19.18,16.08,17.28,17.23
1911,16.76,15.00,15.81,15.94,15.17,16.82,19.34,16.29,17.52,17.43
1912,17.05,15.35,16.35,15.97,15.33,17.24,20.00,16.90,17.98,17.55
1913,17.15,15.49,16.50,16.00,15.44,17.44,20.18,17.09,18.12,17.57
1914,17.23,15.59,16.64,16.00,15.51,17.53,20.37,17.23,18.24,17.62
1915,17.04,15.32,16.26,16.01,15.38,17.20,19.94,16.83,17.88,17.55
1916,17.01,15.30,16.29,15.96,15.30,17.19,20.01,16.86,17.92,17.50
1917,16.61,14.79,15.83,15.70,14.88,16.65,19.64,16.42,17.44,17.16
1918,16.84,15.12,15.92,15.98,15.25,16.97,19.43,16.44,17.58,17.45
1919,17.14,15.45,16.28,16.19,15.52,17.26,19.74,16.76,17.97,17.75
1920,17.16,15.44,16.35,16.20,15.53,17.30,20.01,16.91,18.00,17.69
1921,16.65,14.91,15.90,15.65,14.98,16.84,19.61,16.46,17.50,17.14
1922,17.25,15.56,16.68,16.01,15.45,17.44,20.43,17.23,18.32,17.67
1923,17.28,15.64,16.61,16.13,15.60,17.54,20.21,17.16,18.25,17.75
1924,16.71,14.93,15.92,15.77,15.03,16.75,19.62,16.46,17.58,17.27
1925,17.03,15.33,16.16,16.10,15.45,17.25,19.71,16.73,17.79,17.58
1926,17.08,15.44,16.37,15.94,15.42,17.34,19.96,16.93,18.00,17.56
1927,17.52,15.81,16.55,16.67,15.91,17.59,19.99,17.05,18.29,18.20
1928,17.20,15.48,16.51,16.08,15.46,17.27,20.16,17.02,18.22,17.73
1929,17.23,15.51,16.42,16.24,15.57,17.30,20.00,16.91,18.13,17.82
1930,17.09,15.33,16.14,16.28,15.49,17.08,19.66,16.61,17.86,17.77
1931,17.50,15.80,16.75,16.43,15.79,17.69,20.40,17.31,18.44,18.02
1932,17.71,16.10,16.87,16.73,16.11,17.91,20.25,17.32,18.59,18.30
1933,17.57,15.96,16.75,16.47,15.88,17.79,20.13,17.21,18.55,18.20
1934,17.67,16.04,16.87,16.70,16.10,17.93,20.39,17.39,18.51,18.15
1935,16.86,15.16,15.98,15.97,15.20,16.96,19.53,16.47,17.72,17.46
1936,17.18,15.53,16.28,16.21,15.55,17.36,19.78,16.80,18.03,17.77
1937,17.51,15.86,16.60,16.61,15.97,17.70,20.01,17.12,18.28,18.11
1938,17.42,15.86,16.75,16.25,15.81,17.79,20.26,17.28,18.37,17.84
1939,17.22,15.50,16.13,16.51,15.72,17.33,19.53,16.68,17.84,17.91
1940,17.56,16.01,16.84,16.38,15.99,18.02,20.34,17.42,18.47,17.97
1941,17.75,16.25,17.24,16.31,16.04,18.37,20.84,17.88,18.81,18.06
1942,17.51,15.87,16.82,16.38,15.85,17.87,20.45,17.39,18.44,17.93
1943,16.78,15.11,16.05,15.66,15.15,17.19,19.80,16.71,17.64,17.16
1944,17.55,15.97,16.89,16.32,15.87,17.96,20.44,17.47,18.53,17.97
1945,17.71,16.07,16.73,16.71,16.11,17.88,20.01,17.17,18.63,18.43
1946,17.69,16.17,17.08,16.39,16.02,18.14,20.50,17.59,18.77,18.12
1947,17.70,16.07,17.04,16.52,15.97,18.01,20.57,17.55,18.73,18.19
1948,17.41,15.80,16.71,16.24,15.73,17.82,20.25,17.27,18.35,17.87
1949,17.74,16.12,16.91,16.70,16.12,17.94,20.39,17.36,18.66,18.29
1950,17.50,15.98,16.87,16.27,15.92,17.95,20.40,17.41,18.48,17.84
1951,17.12,15.52,16.44,15.95,15.43,17.48,19.98,16.98,18.11,17.58
1952,17.63,16.13,17.07,16.36,15.99,18.11,20.52,17.60,18.66,17.98
1953,17.25,15.59,16.37,16.35,15.78,17.49,19.79,16.89,18.00,17.79
1954,17.07,15.49,16.44,15.92,15.43,17.49,20.06,16.99,17.99,17.42
1955,16.56,14.89,15.88,15.50,14.93,17.00,19.59,16.51,17.37,16.91
1956,17.14,15.62,16.66,15.86,15.50,17.66,20.19,17.20,18.13,17.41
1957,17.54,16.00,17.02,16.18,15.86,18.10,20.77,17.66,18.56,17.78
1958,17.61,16.14,17.10,16.22,15.95,18.16,20.60,17.65,18.69,17.91
1959,17.41,15.78,16.72,16.27,15.75,17.84,20.45,17.34,18.34,17.78
1960,17.52,15.81,16.50,16.60,16.06,17.79,20.18,17.10,18.21,18.06
1961,17.50,16.01,16.80,16.25,15.97,18.01,20.30,17.37,18.39,17.86
1962,17.66,16.15,17.02,16.24,16.20,18.14,20.59,17.61,18.58,18.02
1963,17.44,15.60,16.46,16.81,15.88,17.72,19.90,16.97,18.07,18.07
1964,17.25,15.69,16.49,16.10,15.66,17.63,20.03,17.00,18.23,17.68
1965,17.35,15.94,16.71,15.95,15.79,17.65,20.15,17.13,18.45,17.75
1966,17.72,16.25,16.90,16.37,16.15,17.99,20.41,17.35,18.69,18.28
1967,17.17,15.43,16.04,16.18,15.90,17.66,19.73,16.70,17.73,17.68
1968,16.99,15.48,16.34,15.72,15.42,17.48,19.97,16.97,17.90,17.30
1969,17.66,16.28,16.85,16.20,16.17,18.15,20.34,17.45,18.65,18.09
1970,17.63,16.30,17.11,15.89,16.02,18.15,20.74,17.71,18.86,17.90
1971,17.24,15.82,16.45,15.94,15.68,17.67,19.95,17.04,18.16,17.68
1972,17.62,15.98,16.78,16.76,16.10,17.83,20.01,17.13,18.44,18.23
1973,17.57,15.96,16.75,16.65,15.91,17.77,20.26,17.27,18.42,18.09
1974,17.11,15.42,16.18,16.40,15.73,17.82,19.70,16.86,17.77,17.44
1975,17.10,15.47,16.33,16.22,15.67,17.58,19.75,16.87,17.91,17.46
1976,16.92,15.15,15.97,16.19,15.59,17.57,19.56,16.67,17.51,17.26
1977,17.61,16.07,16.88,16.47,16.20,18.27,20.31,17.49,18.45,17.91
1978,17.41,15.86,16.74,16.41,15.81,17.83,20.05,17.25,18.33,17.81
1979,17.79,16.34,17.13,16.68,16.09,18.10,20.37,17.58,18.79,18.29
1980,17.61,16.02,16.44,16.65,16.23,18.02,19.82,17.05,18.23,18.25
1981,17.10,15.41,16.23,16.18,15.51,17.45,19.58,16.71,18.09,17.66
1982,17.71,16.32,17.13,16.30,16.03,18.11,20.49,17.62,18.77,18.16
1983,18.22,16.98,17.73,16.51,16.61,18.63,21.11,18.17,19.48,18.57
1984,18.07,16.67,17.42,16.87,16.34,18.07,20.60,17.66,19.27,18.66
1985,18.14,16.66,17.43,16.95,16.65,18.63,20.60,17.90,19.09,18.59
1986,18.09,16.61,17.35,16.93,16.40,18.46,20.66,17.84,19.02,18.62
1987,18.16,16.72,17.43,16.79,16.54,18.48,20.87,17.98,19.16,18.66
1988,17.67,15.99,16.98,16.72,16.07,18.22,20.35,17.61,18.46,18.10
1989,17.49,15.75,16.62,16.46,15.96,18.04,20.41,17.38,18.17,17.89
1990,17.73,16.31,17.13,16.38,15.95,17.96,20.62,17.62,18.81,18.22
1991,17.76,16.21,17.05,16.53,16.32,18.35,20.63,17.68,18.59,18.08
1992,18.32,17.03,18.08,16.56,16.59,18.97,21.56,18.54,19.58,18.52
1993,18.26,16.67,17.57,17.04,16.58,18.66,21.04,18.11,19.17,18.76
1994,17.58,15.79,16.54,16.76,15.95,17.72,20.09,17.13,18.28,18.29
1995,17.89,16.36,17.31,16.56,16.02,18.24,20.86,17.83,18.94,18.37
1996,17.33,15.74,16.67,16.15,15.73,17.78,20.20,17.28,18.26,17.72
1997,17.68,16.05,16.86,16.69,15.98,17.94,20.36,17.45,18.54,18.23
