Variable:,tas
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
1901,21.00,18.91,18.74,19.66,21.75,21.84,21.36,20.46,20.66,21.61,19.81
1902,21.39,19.28,19.16,20.15,22.13,22.22,21.78,20.76,21.07,21.98,20.26
1903,21.58,19.49,19.35,20.34,22.33,22.40,21.96,20.95,21.26,22.17,20.45
1904,20.54,18.46,18.25,19.26,21.22,21.31,21.00,20.04,20.17,21.10,19.35
1905,21.40,19.32,19.16,20.16,22.15,22.22,21.78,20.81,21.06,21.98,20.27
1906,20.68,18.58,18.41,19.42,21.40,21.48,21.10,20.12,20.33,21.23,19.52
1907,20.36,18.26,18.10,19.10,21.08,21.15,20.80,19.83,20.00,20.91,19.20
1908,21.21,19.12,18.97,19.97,21.95,22.02,21.59,20.62,20.87,21.78,20.07
1909,20.88,18.79,18.64,19.63,21.62,21.69,21.29,20.33,20.53,21.44,19.73
1910,20.32,18.18,18.06,18.96,21.13,21.19,20.63,19.76,19.96,20.93,19.15
1911,20.38,18.28,18.11,19.03,21.14,21.22,20.74,19.88,20.01,20.98,19.19
1912,21.21,19.08,18.96,19.86,22.02,22.09,21.52,20.65,20.86,21.82,20.04
1913,21.42,19.29,19.17,20.06,22.21,22.30,21.73,20.86,21.07,22.04,20.25
1914,21.75,19.57,19.53,20.39,22.60,22.67,22.01,21.12,21.42,22.38,20.61
1915,21.29,19.11,19.04,19.95,22.14,22.20,21.57,20.65,20.95,21.90,20.16
1916,21.38,19.22,19.14,20.05,22.21,22.27,21.67,20.76,21.04,21.99,20.24
1917,21.18,18.96,18.97,19.81,22.08,22.15,21.39,20.47,20.86,21.84,20.05
1918,20.35,18.30,18.05,19.10,21.06,21.12,20.82,19.90,19.97,20.85,19.19
1919,20.64,18.57,18.36,19.33,21.37,21.43,21.05,20.19,20.26,21.18,19.46
1920,21.27,19.16,19.03,19.97,22.08,22.15,21.61,20.70,20.92,21.82,20.14
1921,20.91,18.78,18.67,19.58,21.72,21.79,21.24,20.33,20.56,21.51,19.75
1922,21.79,19.66,19.57,20.42,22.65,22.71,22.03,21.19,21.45,22.44,20.65
1923,21.30,19.20,19.04,19.98,22.08,22.14,21.66,20.80,20.94,21.88,20.14
1924,20.93,18.78,18.69,19.56,21.76,21.83,21.20,20.33,20.58,21.56,19.77
1925,20.67,18.59,18.38,19.40,21.40,21.46,21.13,20.20,20.30,21.19,19.51
1926,21.03,18.93,18.80,19.79,21.81,21.85,21.44,20.51,20.65,21.54,19.91
1927,20.84,18.76,18.55,19.57,21.56,21.61,21.28,20.41,20.44,21.36,19.67
1928,21.40,19.28,19.16,20.05,22.19,22.27,21.68,20.83,21.04,22.05,20.23
1929,21.19,19.05,19.00,19.90,22.04,22.06,21.50,20.62,20.81,21.78,20.08
1930,20.74,18.64,18.45,19.40,21.49,21.58,21.08,20.23,20.37,21.34,19.55
1931,21.61,19.51,19.34,20.28,22.39,22.46,21.94,21.08,21.23,22.22,20.43
1932,21.07,19.06,18.74,19.74,21.73,21.82,21.51,20.69,20.68,21.67,19.84
1933,20.96,18.93,18.65,19.63,21.65,21.73,21.39,20.55,20.58,21.53,19.75
1934,21.35,19.33,19.05,19.99,21.98,22.11,21.76,20.95,20.99,21.96,20.12
1935,20.62,18.58,18.33,19.20,21.36,21.46,20.95,20.17,20.25,21.27,19.38
1936,20.75,18.68,18.48,19.47,21.49,21.53,21.17,20.31,20.36,21.27,19.59
1937,20.83,18.74,18.55,19.66,21.58,21.59,21.35,20.39,20.43,21.24,19.71
1938,21.22,19.16,18.94,19.92,21.94,22.00,21.64,20.78,20.84,21.77,20.04
1939,20.47,18.32,18.17,19.24,21.21,21.26,20.90,19.97,20.06,21.03,19.30
